DATE,VALUE
2007-01-01,24.5
2007-02-01,24.63
2007-03-01,23.98
2007-04-01,24.99
2007-05-01,23.93
2007-06-01,23.92
2007-07-01,24.4
2007-08-01,24.03
2007-09-01,24.59
2007-10-01,24.08
2007-11-01,24.62
2007-12-01,24.86
2008-01-01,25.23
2008-02-01,23.96
2008-03-01,23.99
2008-04-01,24.22
2008-05-01,23.79
2008-06-01,24.05
2008-07-01,23.59
2008-08-01,23.77
2008-09-01,24.02
2008-10-01,25.47
2008-11-01,26.83
2008-12-01,26.63
2009-01-01,26.65
2009-02-01,26.41
2009-03-01,26.57
2009-04-01,26.91
2009-05-01,26.59
2009-06-01,26.85
2009-07-01,26.88
2009-08-01,26.89
2009-09-01,26.9
2009-10-01,26.8
2009-11-01,27.38
2009-12-01,27.43
2010-01-01,29.04
2010-02-01,28.82
2010-03-01,28.68
2010-04-01,28.2
2010-05-01,27.8
2010-06-01,26.73
2010-07-01,26.84
2010-08-01,26.96
2010-09-01,26.95
2010-10-01,26.8
2010-11-01,26.38
2010-12-01,26.53
2011-01-01,27.69
2011-02-01,26.88
2011-03-01,26.48
2011-04-01,26.11
2011-05-01,26.56
2011-06-01,26.06
2011-07-01,26.52
2011-08-01,26.27
2011-09-01,26.45
2011-10-01,26.73
2011-11-01,26.33
2011-12-01,26.45
2012-01-01,26.67
2012-02-01,26.7
2012-03-01,26.42
2012-04-01,26.89
2012-05-01,26.43
2012-06-01,26.56
2012-07-01,26.85
2012-08-01,26.27
2012-09-01,26.66
2012-10-01,25.76
2012-11-01,26.0
2012-12-01,26.68
2013-01-01,26.32
2013-02-01,26.35
2013-03-01,26.3
2013-04-01,25.84
2013-05-01,25.54
2013-06-01,25.9
2013-07-01,25.44
2013-08-01,25.29
2013-09-01,25.68
2013-10-01,25.24
2013-11-01,25.54
2013-12-01,26.01
2014-01-01,25.78
2014-02-01,27.25
2014-03-01,27.15
2014-04-01,26.53
2014-05-01,26.01
2014-06-01,26.27
2014-07-01,26.0
2014-08-01,25.78
2014-09-01,26.08
2014-10-01,26.1
2014-11-01,26.74
2014-12-01,26.44
2015-01-01,26.54
2015-02-01,27.08
2015-03-01,26.45
2015-04-01,26.43
2015-05-01,26.49
2015-06-01,26.17
2015-07-01,26.72
2015-08-01,27.13
2015-09-01,26.87
2015-10-01,26.58
2015-11-01,27.47
2015-12-01,27.26
2016-01-01,27.71
2016-02-01,28.0
2016-03-01,28.57
2016-04-01,28.52
