DATE,VALUE
2003-10-01,1200.0
2004-01-01,800.0
2004-04-01,1000.0
2004-07-01,1200.0
2004-10-01,1300.0
2005-01-01,1300.0
2005-04-01,1300.0
2005-07-01,1200.0
2005-10-01,900.0
2006-01-01,700.0
2006-04-01,600.0
2006-07-01,300.0
2006-10-01,400.0
2007-01-01,500.0
2007-04-01,400.0
2007-07-01,700.0
2007-10-01,500.0
2008-01-01,600.0
2008-04-01,500.0
2008-07-01,600.0
2008-10-01,700.0
2009-01-01,700.0
2009-04-01,1200.0
2009-07-01,1200.0
2009-10-01,1600.0
2010-01-01,1700.0
2010-04-01,2000.0
2010-07-01,2100.0
2010-10-01,1600.0
2011-01-01,2000.0
2011-04-01,1600.0
2011-07-01,1400.0
2011-10-01,1900.0
2012-01-01,1700.0
2012-04-01,1400.0
2012-07-01,1700.0
2012-10-01,1600.0
2013-01-01,1700.0
2013-04-01,2300.0
2013-07-01,2600.0
2013-10-01,2300.0
2014-01-01,2000.0
2014-04-01,1800.0
2014-07-01,1000.0
2014-10-01,1300.0
2015-01-01,1400.0
2015-04-01,1300.0
2015-07-01,1700.0
2015-10-01,1600.0
2016-01-01,1700.0
2016-04-01,1600.0
