DATE,VALUE
1986-12-01,100.0
1995-01-01,123.3
1995-02-01,123.3
1995-03-01,123.3
1995-04-01,123.3
1995-05-01,123.3
1995-06-01,127.8
1995-07-01,128.0
1995-08-01,128.0
1995-09-01,128.0
1995-10-01,128.0
1995-11-01,128.0
1995-12-01,128.0
1996-01-01,128.0
1996-02-01,128.0
1996-03-01,128.0
1996-04-01,130.4
1996-05-01,130.4
1996-06-01,130.4
1996-07-01,130.4
1996-08-01,130.4
1996-09-01,130.4
1996-10-01,130.4
1996-11-01,130.4
1996-12-01,130.4
1997-01-01,130.4
1997-02-01,130.4
1997-03-01,130.4
1997-04-01,131.8
1997-05-01,131.8
1997-06-01,131.8
1997-07-01,131.8
1997-08-01,131.8
1997-09-01,131.8
1997-10-01,131.8
1997-11-01,131.8
1997-12-01,131.8
1998-01-01,131.8
1998-02-01,131.8
1998-03-01,131.8
1998-04-01,131.8
1998-05-01,131.8
1998-06-01,131.8
1998-07-01,131.8
1998-08-01,131.8
1998-09-01,131.8
1998-10-01,131.8
1998-11-01,131.8
1998-12-01,131.8
1999-01-01,131.8
1999-02-01,131.8
1999-03-01,131.8
1999-04-01,131.8
1999-05-01,131.8
1999-06-01,131.8
1999-07-01,131.8
1999-08-01,131.8
1999-09-01,131.8
1999-10-01,131.8
1999-11-01,131.8
1999-12-01,131.8
2000-01-01,131.8
2000-02-01,131.8
2000-03-01,131.8
2000-04-01,131.8
2000-05-01,131.8
2000-06-01,131.8
2000-07-01,131.8
2000-08-01,131.8
2000-09-01,131.8
2000-10-01,131.8
2000-11-01,131.8
2000-12-01,131.8
2001-01-01,131.8
2001-02-01,131.8
2001-03-01,131.8
2001-04-01,131.8
2001-05-01,131.8
2001-06-01,131.8
2001-07-01,131.8
2001-08-01,131.8
2001-09-01,131.8
2001-10-01,131.8
2001-11-01,131.8
2001-12-01,131.8
2002-01-01,131.8
2002-02-01,131.8
2002-03-01,131.8
2002-04-01,131.8
2002-05-01,131.8
2002-06-01,131.8
2002-07-01,131.8
2002-08-01,131.8
2002-09-01,131.8
2002-10-01,131.8
2002-11-01,131.8
2002-12-01,131.8
2003-01-01,131.0
2003-02-01,131.0
2003-03-01,131.0
2003-04-01,131.0
2003-05-01,131.0
2003-06-01,131.0
2003-07-01,131.8
2003-08-01,131.8
2003-09-01,131.8
2003-10-01,131.8
2003-11-01,131.8
2003-12-01,131.8
2004-01-01,134.8
2004-02-01,135.1
2004-03-01,135.1
2004-04-01,135.1
2004-05-01,135.1
2004-06-01,141.5
2004-07-01,141.5
2004-08-01,141.5
2004-09-01,141.5
2004-10-01,141.5
2004-11-01,141.5
2004-12-01,142.0
2005-01-01,142.0
2005-02-01,142.0
2005-03-01,142.0
2005-04-01,142.0
2005-05-01,142.5
2005-06-01,142.5
2005-07-01,142.3
2005-08-01,142.3
2005-09-01,142.3
2005-10-01,143.4
2005-11-01,143.4
2005-12-01,143.4
2006-01-01,143.4
2006-02-01,143.4
2006-03-01,143.4
2006-04-01,143.4
2006-05-01,143.4
2006-06-01,157.1
2006-07-01,157.1
2006-08-01,157.1
2006-09-01,157.1
2006-10-01,157.1
2006-11-01,157.1
2006-12-01,157.8
2007-01-01,157.8
2007-02-01,157.8
2007-03-01,166.7
2007-04-01,166.7
2007-05-01,166.7
2007-06-01,166.7
2007-07-01,166.7
2007-08-01,166.7
2007-09-01,166.7
2007-10-01,166.7
2007-11-01,166.7
2007-12-01,166.7
2008-01-01,166.7
2008-02-01,183.1
2008-03-01,183.1
2008-04-01,183.1
2008-05-01,183.1
2008-06-01,183.1
2008-07-01,183.1
2008-08-01,197.7
2008-09-01,188.5
2008-10-01,188.1
2008-11-01,188.1
2008-12-01,188.1
2009-01-01,188.1
2009-02-01,188.1
2009-03-01,188.1
2009-04-01,200.2
2009-05-01,200.2
2009-06-01,199.4
2009-07-01,199.4
2009-08-01,199.4
2009-09-01,199.4
2009-10-01,199.4
2009-11-01,199.4
2009-12-01,199.4
2010-01-01,199.4
2010-02-01,199.4
2010-03-01,199.4
2010-04-01,198.8
2010-05-01,198.8
2010-06-01,198.8
2010-07-01,198.8
2010-08-01,198.8
2010-09-01,199.2
2010-10-01,199.2
2010-11-01,199.2
2010-12-01,199.2
2011-01-01,199.2
2011-03-01,206.1
2011-04-01,211.9
2011-05-01,211.9
2011-06-01,211.9
2011-11-01,219.3
2011-12-01,219.3
2012-01-01,219.4
2012-02-01,219.5
2012-03-01,222.4
2012-04-01,222.4
2012-05-01,223.8
2012-06-01,225.5
2012-07-01,231.4
2012-08-01,231.3
2012-09-01,231.3
2012-10-01,231.3
2012-11-01,231.2
2012-12-01,237.8
2013-01-01,244.7
2014-02-01,254.6
2015-01-01,260.0
2015-02-01,252.3
2015-03-01,252.3
2015-04-01,252.3
2015-05-01,246.2
2015-06-01,246.2
2015-07-01,246.2
2015-08-01,246.1
2015-09-01,246.1
2015-10-01,232.1
2015-11-01,232.1
2015-12-01,232.1
2016-01-01,232.1
