DATE,VALUE
1919-01-01,86.4
1919-02-01,80.7
1919-03-01,81.2
1919-04-01,82.1
1919-05-01,86.3
1919-06-01,92.2
1919-07-01,96.6
1919-08-01,98.8
1919-09-01,97.6
1919-10-01,101.9
1919-11-01,103.1
1919-12-01,106.7
1920-01-01,107.7
1920-02-01,106.8
1920-03-01,110.3
1920-04-01,111.6
1920-05-01,111.6
1920-06-01,107.4
1920-07-01,102.9
1920-08-01,100.5
1920-09-01,92.8
1920-10-01,81.5
1920-11-01,69.5
1920-12-01,58.1
1921-01-01,54.0
1921-02-01,67.6
1921-03-01,77.2
1921-04-01,83.3
1921-05-01,87.6
1921-06-01,90.3
1921-07-01,87.3
1921-08-01,91.1
1921-09-01,96.6
1921-10-01,102.3
1921-11-01,105.6
1921-12-01,105.3
1922-01-01,104.5
1922-02-01,108.2
1922-03-01,108.8
1922-04-01,108.0
1922-05-01,105.3
1922-06-01,104.7
1922-07-01,99.0
1922-08-01,102.2
1922-09-01,100.4
1922-10-01,102.5
1922-11-01,104.1
1922-12-01,105.1
1923-01-01,104.5
1923-02-01,105.8
1923-03-01,107.4
1923-04-01,108.1
1923-05-01,108.0
1923-06-01,106.7
1923-07-01,102.5
1923-08-01,102.9
1923-09-01,101.9
1923-10-01,102.9
1923-11-01,103.9
1923-12-01,103.1
1924-01-01,102.5
1924-02-01,103.8
1924-03-01,105.0
1924-04-01,102.9
1924-05-01,98.7
1924-06-01,93.7
1924-07-01,80.1
1924-08-01,82.8
1924-09-01,87.1
1924-10-01,90.0
1924-11-01,92.4
1924-12-01,94.4
1925-01-01,95.4
1925-02-01,99.6
1925-03-01,101.3
1925-04-01,101.8
1925-05-01,101.2
1925-06-01,100.2
1925-07-01,98.4
1925-08-01,98.7
1925-09-01,100.3
1925-10-01,103.5
1925-11-01,104.5
1925-12-01,103.7
1926-01-01,102.9
1926-02-01,104.2
1926-03-01,104.5
1926-04-01,103.0
1926-05-01,101.5
1926-06-01,100.3
1926-07-01,94.6
1926-08-01,97.2
1926-09-01,98.9
1926-10-01,102.0
1926-11-01,103.0
1926-12-01,103.3
1927-01-01,102.4
1927-02-01,103.1
1927-03-01,103.3
1927-04-01,103.6
1927-05-01,103.0
1927-06-01,102.8
1927-07-01,96.7
1927-08-01,98.5
1927-09-01,102.7
1927-10-01,104.6
1927-11-01,106.2
1927-12-01,104.7
1928-01-01,103.0
1928-02-01,104.8
1928-03-01,104.6
1928-04-01,102.7
1928-05-01,101.9
1928-06-01,101.6
1928-07-01,96.9
1928-08-01,98.3
1928-09-01,101.6
1928-10-01,104.0
1928-11-01,106.0
1928-12-01,106.1
1929-01-01,103.8
1929-02-01,105.2
1929-03-01,105.8
1929-04-01,109.0
1929-05-01,108.7
1929-06-01,106.9
1929-07-01,104.0
1929-08-01,104.1
1929-09-01,102.9
1929-10-01,104.5
1929-11-01,104.9
1929-12-01,101.2
1930-01-01,101.7
1930-02-01,104.6
1930-03-01,104.8
1930-04-01,101.4
1930-05-01,96.9
1930-06-01,92.5
1930-07-01,80.7
1930-08-01,82.5
1930-09-01,96.4
1930-10-01,89.9
1930-11-01,91.7
1930-12-01,93.5
1931-01-01,94.9
1931-02-01,99.1
1931-03-01,100.8
1931-04-01,101.6
1931-05-01,100.6
1931-06-01,100.4
1931-07-01,99.1
1931-08-01,99.7
1931-09-01,101.7
1931-10-01,104.3
1931-11-01,105.5
1931-12-01,104.1
1932-01-01,103.1
1932-02-01,104.9
1932-03-01,105.3
1932-04-01,103.8
1932-05-01,101.8
1932-06-01,100.6
1932-07-01,95.1
1932-08-01,97.1
1932-09-01,98.9
1932-10-01,102.2
1932-11-01,102.4
1932-12-01,102.0
1933-01-01,101.4
1933-02-01,102.6
1933-03-01,103.1
1933-04-01,102.6
1933-05-01,102.5
1933-06-01,102.9
1933-07-01,97.4
1933-08-01,100.2
1933-09-01,104.1
1933-10-01,106.5
1933-11-01,107.2
1933-12-01,105.4
1934-01-01,104.6
1934-02-01,106.6
1934-03-01,106.2
1934-04-01,104.9
1934-05-01,105.0
1934-06-01,103.4
1934-07-01,100.8
1934-08-01,100.1
1934-09-01,104.1
1934-10-01,107.4
1934-11-01,107.9
1934-12-01,106.5
1935-01-01,105.0
