DATE,VALUE
1929-01-01,49.5
1930-01-01,51.0
1931-01-01,52.3
1932-01-01,52.9
1933-01-01,52.6
1934-01-01,52.1
1935-01-01,50.6
1936-01-01,51.8
1937-01-01,52.0
1938-01-01,52.4
1939-01-01,52.7
1940-01-01,51.8
1941-01-01,51.3
1942-01-01,52.8
1943-01-01,55.0
1944-01-01,56.1
1945-01-01,56.4
1946-01-01,54.1
1947-01-01,53.6
1948-01-01,52.5
1949-01-01,53.3
1950-01-01,53.0
1951-01-01,54.1
1952-01-01,55.1
1953-01-01,55.8
1954-01-01,55.2
1955-01-01,54.5
1956-01-01,55.2
1957-01-01,55.4
1958-01-01,55.1
1959-01-01,54.8
1960-01-01,55.5
1961-01-01,55.2
1962-01-01,55.0
1963-01-01,54.9
1964-01-01,55.0
1965-01-01,54.7
1966-01-01,55.6
1967-01-01,56.3
1968-01-01,56.6
1969-01-01,57.5
1970-01-01,58.4
1971-01-01,57.6
1972-01-01,57.5
1973-01-01,57.3
1974-01-01,57.8
1975-01-01,56.7
1976-01-01,56.6
1977-01-01,56.6
1978-01-01,56.6
1979-01-01,57.2
1980-01-01,57.7
1981-01-01,56.6
1982-01-01,56.8
1983-01-01,56.2
1984-01-01,55.4
1985-01-01,55.6
1986-01-01,56.4
1987-01-01,56.4
1988-01-01,56.2
1989-01-01,56.2
1990-01-01,56.8
1991-01-01,56.8
1992-01-01,57.2
1993-01-01,56.9
1994-01-01,56.0
1995-01-01,55.5
1996-01-01,55.0
1997-01-01,54.9
1998-01-01,55.5
1999-01-01,55.9
2000-01-01,56.5
2001-01-01,56.4
2002-01-01,55.7
2003-01-01,55.3
2004-01-01,54.9
2005-01-01,54.1
2006-01-01,53.4
2007-01-01,54.7
2008-01-01,55.3
2009-01-01,54.4
2010-01-01,53.4
2011-01-01,53.2
2012-01-01,52.7
2013-01-01,52.6
2014-01-01,52.5
2015-01-01,53.1
