DATE,VALUE
1947-01-01,103.0
1947-02-01,113.0
1947-03-01,112.0
1947-04-01,107.0
1947-05-01,100.0
1947-06-01,99.0
1947-07-01,91.0
1947-08-01,108.0
1947-09-01,109.0
1947-10-01,117.0
1947-11-01,113.0
1947-12-01,104.0
1948-01-01,107.0
1948-02-01,114.0
1948-03-01,107.0
1948-04-01,100.0
1948-05-01,95.0
1948-06-01,98.0
1948-07-01,85.0
1948-08-01,103.0
1948-09-01,104.0
1948-10-01,103.0
1948-11-01,93.0
1948-12-01,90.0
1949-01-01,96.0
1949-02-01,102.0
1949-03-01,101.0
1949-04-01,94.0
1949-05-01,87.0
1949-06-01,92.0
1949-07-01,84.0
1949-08-01,99.0
1949-09-01,99.0
1949-10-01,98.0
1949-11-01,88.0
1949-12-01,88.0
1950-01-01,95.0
1950-02-01,106.0
1950-03-01,106.0
1950-04-01,100.0
1950-05-01,90.0
1950-06-01,97.0
1950-07-01,91.0
1950-08-01,112.0
1950-09-01,111.0
1950-10-01,110.0
1950-11-01,102.0
1950-12-01,98.0
1951-01-01,104.0
1951-02-01,114.0
1951-03-01,110.0
1951-04-01,98.0
1951-05-01,87.0
1951-06-01,92.0
1951-07-01,79.0
1951-08-01,94.0
1951-09-01,92.0
1951-10-01,88.0
1951-11-01,86.0
1951-12-01,83.0
1952-01-01,91.0
1952-02-01,101.0
1952-03-01,102.0
1952-04-01,96.0
1952-05-01,94.0
1952-06-01,96.0
1952-07-01,86.0
1952-08-01,108.0
1952-09-01,101.0
1952-10-01,106.0
1952-11-01,104.0
1952-12-01,98.0
1953-01-01,104.0
1953-02-01,112.0
1953-03-01,110.0
1953-04-01,104.0
1953-05-01,102.0
1953-06-01,97.0
1953-07-01,91.0
1953-08-01,103.0
1953-09-01,94.0
1953-10-01,97.0
1953-11-01,89.0
1953-12-01,87.0
1954-01-01,94.0
1954-02-01,102.0
1954-03-01,100.0
1954-04-01,94.0
1954-05-01,89.0
1954-06-01,94.0
1954-07-01,87.0
1954-08-01,101.0
1954-09-01,94.0
1954-10-01,98.0
1954-11-01,94.0
1954-12-01,94.0
1955-01-01,105.0
1955-02-01,112.0
1955-03-01,113.0
1955-04-01,105.0
1955-05-01,100.0
1955-06-01,105.0
1955-07-01,92.0
1955-08-01,108.0
1955-09-01,107.0
1955-10-01,109.0
1955-11-01,99.0
1955-12-01,102.0
1956-01-01,109.0
1956-02-01,120.0
1956-03-01,112.0
1956-04-01,106.0
1956-05-01,99.0
1956-06-01,100.0
1956-07-01,90.0
1956-08-01,108.0
1956-09-01,104.0
1956-10-01,104.0
1956-11-01,100.0
1956-12-01,95.0
