DATE,VALUE
1993-01-01,94.1
1993-02-01,95.6
1993-03-01,97.2
1993-04-01,97.3
1993-05-01,96.0
1993-06-01,96.5
1993-07-01,96.7
1993-08-01,97.1
1993-09-01,96.9
1993-10-01,97.1
1993-11-01,97.0
1993-12-01,96.6
1994-01-01,96.4
1994-02-01,96.7
1994-03-01,96.8
1994-04-01,96.4
1994-05-01,96.2
1994-06-01,95.8
1994-07-01,95.0
1994-08-01,94.7
1994-09-01,94.3
1994-10-01,94.1
1994-11-01,94.2
1994-12-01,94.2
1995-01-01,94.7
1995-02-01,95.3
1995-03-01,95.4
1995-04-01,95.8
1995-05-01,96.0
1995-06-01,95.1
1995-07-01,94.9
1995-08-01,94.9
1995-09-01,94.7
1995-10-01,94.6
1995-11-01,94.7
1995-12-01,94.6
1996-01-01,94.6
1996-02-01,95.6
1996-03-01,95.9
1996-04-01,96.3
1996-05-01,96.1
1996-06-01,96.5
1996-07-01,97.3
1996-08-01,97.3
1996-09-01,97.1
1996-10-01,97.5
1996-11-01,97.6
1996-12-01,97.7
1997-01-01,98.1
1997-02-01,99.0
1997-03-01,99.1
1997-04-01,98.4
1997-05-01,98.9
1997-06-01,99.6
1997-07-01,99.9
1997-08-01,100.0
1997-09-01,99.9
1997-10-01,99.9
1997-11-01,100.3
1997-12-01,100.0
1998-01-01,100.6
1998-02-01,101.2
1998-03-01,101.4
1998-04-01,101.4
1998-05-01,101.2
1998-06-01,101.2
1998-07-01,101.1
1998-08-01,101.2
1998-09-01,101.4
1998-10-01,101.1
1998-11-01,100.8
1998-12-01,100.7
1999-01-01,101.4
1999-02-01,101.6
1999-03-01,101.2
1999-04-01,101.0
1999-05-01,100.9
1999-06-01,100.7
1999-07-01,100.6
1999-08-01,100.9
1999-09-01,100.1
1999-10-01,100.1
1999-11-01,100.1
1999-12-01,100.1
2000-01-01,100.5
2000-02-01,100.8
2000-03-01,100.9
2000-04-01,100.3
2000-05-01,101.3
2000-06-01,101.5
2000-07-01,101.3
2000-08-01,101.6
2000-09-01,101.5
2000-10-01,101.0
2000-11-01,100.9
2000-12-01,100.7
2001-01-01,101.2
2001-02-01,101.6
2001-03-01,101.6
2001-04-01,101.7
2001-05-01,101.6
2001-06-01,101.3
2001-07-01,101.7
2001-08-01,101.7
2001-09-01,101.3
2001-10-01,101.3
2001-11-01,101.4
2001-12-01,101.2
2002-01-01,102.1
2002-02-01,102.9
2002-03-01,102.9
2002-04-01,102.9
2002-05-01,103.1
2002-06-01,103.0
2002-07-01,102.6
2002-08-01,102.4
2002-09-01,102.3
2002-10-01,102.6
2002-11-01,103.0
2002-12-01,103.2
2003-01-01,103.4
2003-02-01,103.8
2003-03-01,103.7
2003-04-01,103.8
2003-05-01,103.8
2003-06-01,103.7
2003-07-01,103.7
2003-08-01,103.7
2003-09-01,103.5
2003-10-01,103.5
2003-11-01,103.8
2003-12-01,103.3
2004-01-01,103.6
2004-02-01,104.1
2004-03-01,104.3
2004-04-01,104.7
2004-05-01,104.6
2004-06-01,104.4
2004-07-01,104.4
2004-08-01,104.1
2004-09-01,104.0
2004-10-01,104.2
2004-11-01,104.0
2004-12-01,103.9
2005-01-01,104.2
2005-02-01,104.3
2005-03-01,104.6
2005-04-01,104.8
2005-05-01,104.6
2005-06-01,103.1
2005-07-01,103.1
2005-08-01,104.3
2005-09-01,104.4
2005-10-01,104.4
2005-11-01,104.2
2005-12-01,103.9
2006-01-01,104.1
2006-02-01,104.3
2006-03-01,105.2
2006-04-01,105.8
2006-05-01,105.5
2006-06-01,105.2
2006-07-01,105.0
2006-08-01,104.7
2006-09-01,104.5
2006-10-01,104.1
2006-11-01,103.7
2006-12-01,102.8
2007-01-01,102.784
2007-02-01,103.144
2007-03-01,102.886
2007-04-01,103.181
2007-05-01,103.56
2007-06-01,103.416
2007-07-01,102.779
2007-08-01,102.311
2007-09-01,102.759
2007-10-01,103.157
2007-11-01,102.719
2007-12-01,102.691
2008-01-01,102.986
2008-02-01,103.171
2008-03-01,103.548
2008-04-01,103.477
2008-05-01,102.988
2008-06-01,102.306
2008-07-01,102.203
2008-08-01,102.546
2008-09-01,102.706
2008-10-01,102.193
2008-11-01,101.831
2008-12-01,101.629
2009-01-01,101.347
2009-02-01,101.704
2009-03-01,102.0
2009-04-01,102.3
2009-05-01,101.947
2009-06-01,101.871
2009-07-01,101.614
2009-08-01,101.474
2009-09-01,100.801
2009-10-01,100.178
2009-11-01,100.199
2009-12-01,99.873
2010-01-01,99.94
2010-02-01,99.532
2010-03-01,99.915
2010-04-01,100.074
2010-05-01,99.572
2010-06-01,99.814
2010-07-01,99.244
2010-08-01,98.852
2010-09-01,98.638
2010-10-01,98.503
2010-11-01,98.214
2010-12-01,97.167
2011-01-01,97.325
2011-02-01,98.268
2011-03-01,98.719
2011-04-01,98.918
2011-05-01,98.707
2011-06-01,98.373
2011-07-01,98.672
2011-08-01,98.222
2011-09-01,98.491
2011-10-01,98.572
2011-11-01,98.315
2011-12-01,98.225
2012-01-01,98.743
2012-02-01,99.371
2012-03-01,99.856
2012-04-01,99.893
2012-05-01,99.934
2012-06-01,99.717
2012-07-01,99.63
2012-08-01,99.747
2012-09-01,99.712
2012-10-01,99.067
2012-11-01,98.812
2012-12-01,98.515
2013-01-01,98.993
2013-02-01,99.824
2013-03-01,100.251
2013-04-01,100.054
