DATE,VALUE
1990-01-01,104.2
1990-02-01,104.7
1990-03-01,104.7
1990-04-01,106.2
1990-05-01,106.5
1990-06-01,106.4
1990-07-01,106.8
1990-08-01,107.4
1990-09-01,107.2
1990-10-01,107.3
1990-11-01,107.6
1990-12-01,107.9
1991-01-01,107.1
1991-02-01,107.1
1991-03-01,107.7
1991-04-01,108.4
1991-05-01,108.4
1991-06-01,108.7
1991-07-01,109.8
1991-08-01,109.7
1991-09-01,110.3
1991-10-01,109.7
1991-11-01,109.8
1991-12-01,110.2
1992-01-01,111.7
1992-02-01,112.4
1992-03-01,113.0
1992-04-01,113.1
1992-05-01,113.8
1992-06-01,114.0
1992-07-01,114.0
1992-08-01,114.6
1992-09-01,114.8
1992-10-01,116.3
1992-11-01,117.3
1992-12-01,117.5
1993-01-01,117.2
1993-02-01,117.6
1993-03-01,116.8
1993-04-01,118.1
1993-05-01,118.9
1993-06-01,119.0
1993-07-01,119.6
1993-08-01,120.3
1993-09-01,120.8
1993-10-01,122.5
1993-11-01,122.5
1993-12-01,122.8
1994-01-01,122.6
1994-02-01,123.0
1994-03-01,124.0
1994-04-01,124.1
1994-05-01,124.4
1994-06-01,124.1
1994-07-01,125.7
1994-08-01,125.9
1994-09-01,126.6
1994-10-01,126.5
1994-11-01,126.7
1994-12-01,126.9
1995-01-01,128.1
1995-02-01,128.8
1995-03-01,129.5
1995-04-01,130.2
1995-05-01,130.5
1995-06-01,131.2
1995-07-01,131.1
1995-08-01,131.6
1995-09-01,131.8
1995-10-01,132.4
1995-11-01,132.9
1995-12-01,133.9
1996-01-01,134.1
1996-02-01,133.5
1996-03-01,134.0
1996-04-01,134.6
1996-05-01,134.5
1996-06-01,133.9
1996-07-01,135.9
1996-08-01,136.0
1996-09-01,136.2
1996-10-01,137.4
1996-11-01,137.7
1996-12-01,137.7
1997-01-01,138.1
1997-02-01,138.2
1997-03-01,138.2
1997-04-01,139.5
1997-05-01,140.2
1997-06-01,140.1
1997-07-01,139.8
1997-08-01,140.2
1997-09-01,141.0
1997-10-01,140.7
1997-11-01,140.8
1997-12-01,141.2
1998-01-01,142.7
1998-02-01,143.8
1998-03-01,144.0
1998-04-01,144.3
1998-05-01,145.3
1998-06-01,146.2
1998-07-01,147.4
1998-08-01,146.7
1998-09-01,146.7
1998-10-01,147.4
1998-11-01,148.2
1998-12-01,148.5
1999-01-01,148.3
1999-02-01,149.3
1999-03-01,149.6
1999-04-01,147.7
1999-05-01,147.3
1999-06-01,148.3
1999-07-01,149.6
1999-08-01,149.9
1999-09-01,150.1
1999-10-01,149.4
1999-11-01,149.2
1999-12-01,149.6
2000-01-01,148.7
2000-02-01,148.6
2000-03-01,149.2
2000-04-01,148.0
2000-05-01,148.6
2000-06-01,148.0
2000-07-01,147.7
2000-08-01,148.2
2000-09-01,148.6
2000-10-01,149.2
2000-11-01,149.6
2000-12-01,149.4
2001-01-01,150.0
2001-02-01,150.3
2001-03-01,150.6
2001-04-01,151.5
2001-05-01,151.5
2001-06-01,151.5
2001-07-01,151.2
2001-08-01,151.2
2001-09-01,150.7
2001-10-01,151.2
2001-11-01,151.2
2001-12-01,151.7
2002-01-01,151.1
2002-02-01,151.1
2002-03-01,150.8
2002-04-01,150.8
2002-05-01,151.3
2002-06-01,151.1
2002-07-01,152.2
2002-08-01,151.8
2002-09-01,152.1
2002-10-01,151.8
2002-11-01,152.4
2002-12-01,152.4
2003-01-01,152.8
2003-02-01,152.9
2003-03-01,153.0
2003-04-01,153.3
2003-05-01,153.0
2003-06-01,153.9
2003-07-01,154.3
2003-08-01,154.9
2003-09-01,155.7
2003-10-01,156.4
2003-11-01,156.5
2003-12-01,157.4
2004-01-01,158.0
2004-02-01,158.4
2004-03-01,158.6
2004-04-01,158.7
2004-05-01,158.6
2004-06-01,159.3
2004-07-01,159.6
2004-08-01,160.0
2004-09-01,159.6
2004-10-01,160.8
2004-11-01,161.7
2004-12-01,161.4
2005-01-01,162.0
2005-02-01,162.4
2005-03-01,163.3
2005-04-01,164.7
2005-05-01,164.8
2005-06-01,164.8
2005-07-01,164.8
2005-08-01,165.3
2005-09-01,165.3
2005-10-01,165.4
2005-11-01,166.3
2005-12-01,166.7
2006-01-01,167.4
2006-02-01,168.3
2006-03-01,168.8
2006-04-01,168.5
2006-05-01,168.9
2006-06-01,169.1
2006-07-01,169.6
2006-08-01,170.4
2006-09-01,171.3
2006-10-01,170.9
2006-11-01,171.5
2006-12-01,172.0
2007-01-01,173.2
2007-02-01,174.2
2007-03-01,174.2
2007-04-01,173.4
2007-05-01,172.9
2007-06-01,173.2
2007-07-01,173.7
2007-08-01,173.8
2007-09-01,174.1
2007-10-01,174.7
2007-11-01,174.8
2007-12-01,174.7
2008-01-01,174.1
2008-02-01,174.4
2008-03-01,174.2
2008-04-01,176.5
2008-05-01,176.3
2008-06-01,175.7
2008-07-01,175.4
2008-08-01,175.1
2008-09-01,174.4
2008-10-01,173.2
2008-11-01,172.5
2008-12-01,172.0
2009-01-01,171.9
2009-02-01,171.5
2009-03-01,170.8
2009-04-01,170.3
2009-05-01,170.7
2009-06-01,170.1
2009-07-01,169.8
2009-08-01,169.1
2009-09-01,169.3
2009-10-01,169.1
2009-11-01,169.0
2009-12-01,169.5
2010-01-01,168.6
2010-02-01,166.9
2010-03-01,167.7
