DATE,VALUE
1970-01-01,44.954
1971-01-01,46.5
1972-01-01,47.1
1973-01-01,46.7
1974-01-01,47.1
1975-01-01,48.0
1976-01-01,47.8
1977-01-01,48.3
1978-01-01,48.5
1979-01-01,49.0
1980-01-01,49.687
1981-01-01,49.396
1982-01-01,49.17
1983-01-01,48.823
1984-01-01,48.836
1985-01-01,48.449
1986-01-01,48.003
1987-01-01,48.003
1988-01-01,47.876
1989-01-01,47.529
1990-01-01,47.499
1991-01-01,48.574
1992-01-01,50.03
1993-01-01,51.375
1994-01-01,52.708
1995-01-01,53.752
1996-01-01,54.862
1997-01-01,56.6
1998-01-01,58.012
1999-01-01,59.325
2000-01-01,60.302
2001-01-01,60.722
2002-01-01,61.039
2003-01-01,61.534
2004-01-01,61.817
2005-01-01,62.194
2006-01-01,62.636
2007-01-01,63.13
2008-01-01,63.451
2009-01-01,63.791
2010-01-01,63.515
2011-01-01,63.659
2012-01-01,63.901
2013-01-01,64.071
2014-01-01,64.01
2015-01-01,63.724
