DATE,VALUE
1920-01-01,18.7
1920-02-01,18.5
1920-03-01,19.0
1920-04-01,19.5
1920-05-01,19.6
1920-06-01,21.0
1920-07-01,22.1
1920-08-01,22.7
1920-09-01,20.5
1920-10-01,18.8
1920-11-01,18.3
1920-12-01,17.9
1921-01-01,17.1
1921-02-01,16.7
1921-03-01,16.2
1921-04-01,15.6
1921-05-01,16.1
1921-06-01,17.2
1921-07-01,17.8
1921-08-01,17.8
1921-09-01,16.9
1921-10-01,15.5
1921-11-01,14.8
1921-12-01,15.1
1922-01-01,14.6
1922-02-01,14.6
1922-03-01,14.2
1922-04-01,15.2
1922-05-01,15.3
1922-06-01,16.8
1922-07-01,17.4
1922-08-01,17.7
1922-09-01,17.3
1922-10-01,16.1
1922-11-01,15.5
1922-12-01,16.4
1923-01-01,15.4
1923-02-01,15.4
1923-03-01,15.1
1923-04-01,15.6
1923-05-01,15.7
1923-06-01,17.6
1923-07-01,17.6
1923-08-01,18.0
1923-09-01,17.3
1923-10-01,15.6
1923-11-01,15.2
1923-12-01,16.2
1924-01-01,15.1
1924-02-01,15.0
1924-03-01,14.7
1924-04-01,14.7
1924-05-01,14.8
1924-06-01,16.7
1924-07-01,16.4
1924-08-01,17.1
1924-09-01,15.9
1924-10-01,14.3
1924-11-01,14.1
1924-12-01,14.7
1925-01-01,14.4
1925-02-01,14.3
1925-03-01,13.4
1925-04-01,13.5
1925-05-01,14.2
1925-06-01,16.1
1925-07-01,16.1
1925-08-01,16.8
1925-09-01,15.7
1925-10-01,14.2
1925-11-01,13.7
1925-12-01,14.3
1926-01-01,14.0
1926-02-01,14.0
1926-03-01,13.1
1926-04-01,13.5
1926-05-01,13.8
1926-06-01,15.4
1926-07-01,15.5
1926-08-01,15.8
1926-09-01,15.1
1926-10-01,13.6
1926-11-01,13.2
1926-12-01,13.9
1927-01-01,13.4
1927-02-01,13.3
1927-03-01,12.4
1927-04-01,13.0
1927-05-01,13.3
1927-06-01,14.5
1927-07-01,14.8
1927-08-01,14.8
1927-09-01,14.3
1927-10-01,12.8
1927-11-01,12.5
1927-12-01,13.1
1928-01-01,12.7
1928-02-01,12.5
1928-03-01,11.8
1928-04-01,12.4
1928-05-01,12.3
1928-06-01,14.1
1928-07-01,13.9
1928-08-01,14.2
1928-09-01,13.8
1928-10-01,12.2
1928-11-01,12.0
1928-12-01,12.7
1929-01-01,12.2
1929-02-01,12.6
1929-03-01,12.0
1929-04-01,11.9
1929-05-01,12.1
1929-06-01,13.7
1929-07-01,13.4
1929-08-01,14.0
1929-09-01,13.0
1929-10-01,11.6
1929-11-01,11.3
1929-12-01,12.3
1930-01-01,11.4
1930-02-01,11.5
1930-03-01,10.6
1930-04-01,10.8
1930-05-01,11.1
1930-06-01,12.4
1930-07-01,12.2
1930-08-01,12.4
1930-09-01,11.6
1930-10-01,10.4
1930-11-01,10.4
1930-12-01,10.6
1931-01-01,10.1
1931-02-01,10.5
1931-03-01,9.7
1931-04-01,10.5
1931-05-01,10.7
1931-06-01,11.6
1931-07-01,11.3
1931-08-01,11.3
1931-09-01,11.0
1931-10-01,9.4
1931-11-01,9.5
1931-12-01,9.9
1932-01-01,9.3
1932-02-01,9.6
1932-03-01,9.3
1932-04-01,9.1
1932-05-01,9.7
1932-06-01,10.2
1932-07-01,10.5
1932-08-01,10.5
1932-09-01,10.8
1932-10-01,9.2
1932-11-01,9.0
1932-12-01,10.0
1933-01-01,8.7
1933-02-01,8.9
1933-03-01,8.0
1933-04-01,9.1
1933-05-01,9.4
1933-06-01,10.9
1933-07-01,11.4
1933-08-01,11.7
1933-09-01,11.8
1933-10-01,11.0
1933-11-01,9.8
1933-12-01,10.9
1934-01-01,9.9
1934-02-01,10.3
1934-03-01,10.0
1934-04-01,10.5
1934-05-01,10.1
1934-06-01,11.6
1934-07-01,11.8
1934-08-01,12.2
1934-09-01,11.7
1934-10-01,10.8
1934-11-01,10.0
1934-12-01,11.3
1935-01-01,10.4
1935-02-01,10.7
1935-03-01,9.9
1935-04-01,10.3
1935-05-01,10.1
1935-06-01,11.5
1935-07-01,11.5
1935-08-01,12.2
1935-09-01,11.6
1935-10-01,10.5
1935-11-01,10.7
1935-12-01,11.8
