DATE,VALUE
2001-01-01,481.9
2001-02-01,477.2
2001-03-01,478.8
2001-04-01,473.2
2001-05-01,484.7
2001-06-01,484.6
2001-07-01,488.7
2001-08-01,489.3
2001-09-01,492.9
2001-10-01,492.9
2001-11-01,489.1
2001-12-01,489.9
2002-01-01,498.8
2002-02-01,500.1
2002-03-01,502.2
2002-04-01,511.9
2002-05-01,509.0
2002-06-01,511.5
2002-07-01,497.3
2002-08-01,510.9
2002-09-01,506.6
2002-10-01,498.5
2002-11-01,509.0
2002-12-01,527.7
2003-01-01,516.3
2003-02-01,517.0
2003-03-01,517.5
2003-04-01,519.6
2003-05-01,512.9
2003-06-01,512.6
2003-07-01,518.2
2003-08-01,519.4
2003-09-01,524.6
2003-10-01,525.8
2003-11-01,534.5
2003-12-01,530.8
2004-01-01,531.7
2004-02-01,535.4
2004-03-01,539.0
2004-04-01,535.1
2004-05-01,543.4
2004-06-01,545.7
2004-07-01,547.9
2004-08-01,547.6
2004-09-01,546.9
2004-10-01,542.1
2004-11-01,540.5
2004-12-01,543.8
2005-01-01,537.3
2005-02-01,539.5
2005-03-01,539.3
2005-04-01,531.6
2005-05-01,534.4
2005-06-01,539.1
2005-07-01,535.0
2005-08-01,541.9
2005-09-01,537.1
2005-10-01,557.1
2005-11-01,571.0
2005-12-01,529.6
2006-01-01,535.8
2006-02-01,528.6
2006-03-01,536.4
2006-04-01,544.0
2006-05-01,545.1
2006-06-01,542.7
2006-07-01,539.4
2006-08-01,541.3
2006-09-01,551.2
2006-10-01,553.5
2006-11-01,555.0
2006-12-01,562.7
2007-01-01,566.9
2007-02-01,572.2
2007-03-01,576.6
2007-04-01,585.3
2007-05-01,591.8
2007-06-01,588.1
2007-07-01,600.0
2007-08-01,600.8
2007-09-01,602.5
2007-10-01,603.5
2007-11-01,609.3
2007-12-01,607.3
2008-01-01,611.1
2008-02-01,600.9
2008-03-01,610.5
2008-04-01,611.6
2008-05-01,603.4
2008-06-01,615.6
2008-07-01,609.0
2008-08-01,607.0
2008-09-01,603.3
2008-10-01,606.1
2008-11-01,605.7
2008-12-01,606.7
2009-01-01,605.2
2009-02-01,604.6
2009-03-01,601.9
2009-04-01,596.7
2009-05-01,600.5
2009-06-01,608.7
2009-07-01,616.3
2009-08-01,623.0
2009-09-01,614.9
2009-10-01,605.4
2009-11-01,616.2
2009-12-01,612.8
2010-01-01,622.2
2010-02-01,629.6
2010-03-01,618.2
2010-04-01,635.7
2010-05-01,632.1
2010-06-01,621.1
2010-07-01,611.6
2010-08-01,609.5
2010-09-01,603.1
2010-10-01,612.4
2010-11-01,606.0
2010-12-01,614.0
2011-01-01,606.8
2011-02-01,604.2
2011-03-01,606.6
2011-04-01,608.2
2011-05-01,610.2
2011-06-01,615.0
2011-07-01,619.9
2011-08-01,616.0
2011-09-01,619.8
2011-10-01,618.0
2011-11-01,620.8
2011-12-01,624.8
2012-01-01,633.8
2012-02-01,638.6
2012-03-01,640.5
2012-04-01,622.3
2012-05-01,614.7
2012-06-01,611.2
2012-07-01,618.2
2012-08-01,616.5
2012-09-01,624.5
2012-10-01,623.7
2012-11-01,620.6
2012-12-01,607.4
2013-01-01,623.1
2013-02-01,620.2
2013-03-01,620.9
2013-04-01,621.9
2013-05-01,631.9
2013-06-01,631.5
2013-07-01,627.9
2013-08-01,650.8
2013-09-01,634.9
2013-10-01,630.3
2013-11-01,639.7
2013-12-01,644.1
2014-01-01,629.1
2014-02-01,606.0
2014-03-01,664.8
2014-04-01,656.4
2014-05-01,656.7
2014-06-01,664.8
2014-07-01,675.1
2014-08-01,674.1
2014-09-01,675.0
2014-10-01,668.5
2014-11-01,683.6
2014-12-01,673.0
2015-01-01,683.5
2015-02-01,673.6
2015-03-01,684.4
2015-04-01,681.7
2015-05-01,688.8
2015-06-01,688.8
2015-07-01,680.2
2015-08-01,697.0
2015-09-01,697.0
2015-10-01,707.9
2015-11-01,699.1
2015-12-01,725.3
2016-01-01,699.1
2016-02-01,716.4
2016-03-01,710.6
2016-04-01,723.6
