DATE,VALUE
2007-01-01,17.6
2007-02-01,17.5
2007-03-01,17.29
2007-04-01,16.99
2007-05-01,16.85
2007-06-01,17.05
2007-07-01,17.17
2007-08-01,16.87
2007-09-01,17.78
2007-10-01,17.59
2007-11-01,17.65
2007-12-01,17.45
2008-01-01,17.78
2008-02-01,17.56
2008-03-01,17.55
2008-04-01,18.87
2008-05-01,17.95
2008-06-01,18.05
2008-07-01,19.47
2008-08-01,18.38
2008-09-01,18.33
2008-10-01,19.91
2008-11-01,19.98
2008-12-01,19.61
2009-01-01,20.16
2009-02-01,19.9
2009-03-01,20.04
2009-04-01,19.39
2009-05-01,19.03
2009-06-01,19.44
2009-07-01,19.17
2009-08-01,19.32
2009-09-01,19.42
2009-10-01,19.42
2009-11-01,19.49
2009-12-01,19.13
2010-01-01,19.6
2010-02-01,19.55
2010-03-01,19.73
2010-04-01,19.29
2010-05-01,18.79
2010-06-01,18.83
2010-07-01,18.89
2010-08-01,18.85
2010-09-01,18.79
2010-10-01,18.98
2010-11-01,18.87
2010-12-01,19.01
2011-01-01,19.51
2011-02-01,19.46
2011-03-01,19.14
2011-04-01,19.6
2011-05-01,19.47
2011-06-01,19.46
2011-07-01,19.54
2011-08-01,19.42
2011-09-01,19.67
2011-10-01,20.0
2011-11-01,19.87
2011-12-01,19.71
2012-01-01,20.3
2012-02-01,20.47
2012-03-01,20.4
2012-04-01,20.63
2012-05-01,20.36
2012-06-01,20.75
2012-07-01,20.69
2012-08-01,20.7
2012-09-01,20.91
2012-10-01,20.7
2012-11-01,20.7
2012-12-01,21.06
2013-01-01,20.92
2013-02-01,20.7
2013-03-01,20.72
2013-04-01,20.7
2013-05-01,20.54
2013-06-01,20.82
2013-07-01,20.82
2013-08-01,20.71
2013-09-01,21.07
2013-10-01,20.9
2013-11-01,20.85
2013-12-01,20.96
2014-01-01,21.29
2014-02-01,21.57
2014-03-01,21.96
2014-04-01,21.01
2014-05-01,20.95
2014-06-01,21.07
2014-07-01,20.73
2014-08-01,20.78
2014-09-01,21.13
2014-10-01,20.46
2014-11-01,20.72
2014-12-01,20.43
2015-01-01,20.66
2015-02-01,21.08
2015-03-01,20.45
2015-04-01,20.56
2015-05-01,20.36
2015-06-01,20.64
2015-07-01,20.64
2015-08-01,21.03
2015-09-01,21.15
2015-10-01,21.47
2015-11-01,21.28
2015-12-01,20.98
2016-01-01,21.5
2016-02-01,21.4
2016-03-01,21.72
2016-04-01,21.66
