DATE,VALUE
1952-12-01,23.1
1953-01-01,23.0
1953-02-01,23.0
1953-03-01,23.1
1953-04-01,23.4
1953-05-01,23.2
1953-06-01,23.3
1953-07-01,23.5
1953-08-01,23.8
1953-09-01,23.8
1953-10-01,23.9
1953-11-01,23.9
1953-12-01,23.9
1954-01-01,24.3
1954-02-01,24.5
1954-03-01,24.0
1954-04-01,23.7
1954-05-01,23.8
1954-06-01,23.9
1954-07-01,24.0
1954-08-01,24.1
1954-09-01,24.1
1954-10-01,24.2
1954-11-01,24.1
1954-12-01,24.3
1955-01-01,24.5
1955-02-01,24.3
1955-03-01,24.6
1955-04-01,24.4
1955-05-01,24.4
1955-06-01,24.6
1955-07-01,24.8
1955-08-01,24.9
1955-09-01,24.9
1955-10-01,25.0
1955-11-01,24.8
1955-12-01,24.9
1956-01-01,24.8
1956-02-01,24.9
1956-03-01,24.9
1956-04-01,24.7
1956-05-01,24.7
1956-06-01,24.7
1956-07-01,25.2
1956-08-01,25.2
1956-09-01,25.2
1956-10-01,25.4
1956-11-01,25.4
1956-12-01,25.6
1957-01-01,25.4
1957-02-01,25.7
1957-03-01,25.8
1957-04-01,26.1
1957-05-01,26.0
1957-06-01,26.1
1957-07-01,26.4
1957-08-01,26.3
1957-09-01,26.4
1957-10-01,26.9
1957-11-01,26.9
1957-12-01,26.9
1958-01-01,26.9
1958-02-01,27.0
1958-03-01,27.0
1958-04-01,27.0
1958-05-01,27.1
1958-06-01,27.4
1958-07-01,27.2
1958-08-01,27.2
1958-09-01,27.2
1958-10-01,27.2
1958-11-01,27.3
1958-12-01,27.3
1959-01-01,27.3
1959-02-01,27.4
1959-03-01,27.4
1959-04-01,27.5
1959-05-01,27.5
1959-06-01,27.6
1959-07-01,27.7
1959-08-01,27.7
1959-09-01,27.8
1959-10-01,27.7
1959-11-01,27.7
1959-12-01,27.7
1960-01-01,27.7
1960-02-01,27.7
1960-03-01,27.8
1960-04-01,27.8
1960-05-01,27.8
1960-06-01,27.9
1960-07-01,28.0
1960-08-01,28.0
1960-09-01,27.9
1960-10-01,28.0
1960-11-01,28.0
1960-12-01,28.0
1961-01-01,28.0
1961-02-01,28.0
1961-03-01,28.0
1961-04-01,28.1
1961-05-01,28.1
1961-06-01,28.1
1961-07-01,28.5
1961-08-01,28.4
1961-09-01,28.5
1961-10-01,28.6
1961-11-01,28.6
1961-12-01,28.7
1962-01-01,28.7
1962-02-01,28.8
1962-03-01,28.7
1962-04-01,28.8
1962-05-01,29.1
1962-06-01,29.1
1962-07-01,29.3
1962-08-01,29.3
1962-09-01,29.3
1962-10-01,29.4
1962-11-01,29.4
1962-12-01,29.5
1963-01-01,29.5
1963-02-01,29.5
1963-03-01,29.5
1963-04-01,29.5
1963-05-01,29.5
1963-06-01,29.6
1963-07-01,29.5
1963-08-01,29.6
1963-09-01,29.5
1963-10-01,29.6
1963-11-01,29.6
1963-12-01,29.5
1964-01-01,29.5
1964-02-01,29.5
1964-03-01,29.6
1964-04-01,29.6
1964-05-01,29.6
1964-06-01,29.6
1964-07-01,29.6
1964-08-01,29.7
1964-09-01,29.7
1964-10-01,29.7
1964-11-01,29.8
1964-12-01,29.8
1965-01-01,29.8
1965-02-01,29.9
1965-03-01,29.9
1965-04-01,29.9
1965-05-01,29.9
1965-06-01,30.0
1965-07-01,30.2
1965-08-01,30.5
1965-09-01,30.6
1965-10-01,30.7
1965-11-01,30.8
1965-12-01,30.9
1966-01-01,30.9
1966-02-01,31.0
1966-03-01,31.1
1966-04-01,31.3
1966-05-01,31.3
1966-06-01,31.5
1966-07-01,31.6
1966-08-01,31.6
1966-09-01,31.8
1966-10-01,31.9
1966-11-01,31.9
1966-12-01,32.1
1967-01-01,32.2
1967-02-01,32.2
1967-03-01,32.3
1967-04-01,32.3
1967-05-01,32.5
1967-06-01,32.5
1967-07-01,32.9
1967-08-01,32.9
1967-09-01,33.1
1967-10-01,33.2
1967-11-01,33.5
1967-12-01,33.5
1968-01-01,33.5
1968-02-01,33.6
1968-03-01,33.7
1968-04-01,33.9
1968-05-01,33.9
1968-06-01,34.1
1968-07-01,34.6
1968-08-01,34.9
1968-09-01,35.2
1968-10-01,35.6
1968-11-01,35.6
1968-12-01,35.7
1969-01-01,35.7
1969-02-01,36.0
1969-03-01,36.1
1969-04-01,36.3
1969-05-01,36.3
1969-06-01,36.4
1969-07-01,36.6
1969-08-01,36.9
1969-09-01,37.0
1969-10-01,37.4
1969-11-01,37.5
1969-12-01,37.7
1970-01-01,38.3
1970-02-01,38.4
1970-03-01,38.4
1970-04-01,38.4
1970-05-01,38.6
1970-06-01,38.7
1970-07-01,39.1
1970-08-01,39.5
1970-09-01,39.7
1970-10-01,39.9
1970-11-01,40.0
1970-12-01,40.1
1971-01-01,40.5
1971-02-01,40.6
1971-03-01,40.7
1971-04-01,40.9
1971-05-01,41.0
1971-06-01,41.0
1971-07-01,41.1
1971-08-01,41.1
1971-09-01,41.1
1971-10-01,41.2
1971-11-01,41.2
1971-12-01,41.3
1972-01-01,41.4
1972-02-01,41.5
1972-03-01,41.7
1972-04-01,42.0
1972-05-01,42.2
1972-06-01,42.2
1972-07-01,42.3
1972-08-01,42.3
1972-09-01,42.6
1972-10-01,42.9
1972-11-01,43.0
1972-12-01,43.1
1973-01-01,43.1
1973-02-01,43.1
1973-03-01,43.6
1973-04-01,44.4
1973-05-01,45.0
1973-06-01,45.4
1973-07-01,45.9
1973-08-01,46.4
1973-09-01,46.9
1973-10-01,47.5
1973-11-01,47.9
1973-12-01,48.4
1974-01-01,49.2
1974-02-01,49.3
1974-03-01,49.6
1974-04-01,50.0
1974-05-01,50.3
1974-06-01,50.9
1974-07-01,51.4
1974-08-01,51.7
1974-09-01,52.1
1974-10-01,52.8
1974-11-01,53.1
1974-12-01,53.5
1975-01-01,54.3
1975-02-01,55.0
1975-03-01,55.1
1975-04-01,55.6
1975-05-01,55.7
1975-06-01,55.9
1975-07-01,56.6
1975-08-01,56.7
1975-09-01,56.8
1975-10-01,57.7
1975-11-01,58.3
1975-12-01,58.6
1976-01-01,58.8
1976-02-01,58.9
1976-03-01,59.3
1976-04-01,59.6
1976-05-01,59.8
1976-06-01,60.1
1976-07-01,60.5
1976-08-01,60.7
1976-09-01,60.8
1976-10-01,61.1
1976-11-01,61.2
1976-12-01,61.5
1977-01-01,62.3
1977-02-01,62.6
1977-03-01,63.4
1977-04-01,64.2
1977-05-01,64.8
1977-06-01,64.9
1977-07-01,65.3
1977-08-01,65.1
1977-09-01,65.1
1977-10-01,65.9
1977-11-01,66.0
1977-12-01,66.1
1978-01-01,68.1
1978-02-01,68.8
1978-03-01,69.8
1978-04-01,70.5
1978-05-01,70.6
1978-06-01,71.5
1978-07-01,71.6
1978-08-01,72.8
1978-09-01,72.3
1978-10-01,72.4
1978-11-01,73.9
1978-12-01,74.1
1979-01-01,74.7
1979-02-01,75.1
1979-03-01,77.3
1979-04-01,78.0
1979-05-01,78.6
1979-06-01,79.2
1979-07-01,81.4
1979-08-01,81.6
1979-09-01,81.1
1979-10-01,82.0
1979-11-01,83.9
1979-12-01,84.6
1980-01-01,84.5
1980-02-01,85.0
1980-03-01,86.3
1980-04-01,87.8
1980-05-01,88.8
1980-06-01,88.9
1980-07-01,89.7
1980-08-01,89.9
1980-09-01,90.4
1980-10-01,91.4
1980-11-01,91.6
1980-12-01,91.7
1981-01-01,92.3
1981-02-01,92.7
1981-03-01,92.7
1981-04-01,92.7
1981-05-01,92.8
1981-06-01,93.5
1981-07-01,93.3
1981-08-01,94.5
1981-09-01,94.9
1981-10-01,94.9
1981-11-01,94.9
1981-12-01,94.9
1982-01-01,94.9
1982-02-01,94.1
1982-03-01,94.1
1982-04-01,96.0
1982-05-01,97.5
1982-06-01,97.5
1982-07-01,97.7
1982-08-01,97.7
1982-09-01,98.1
1982-10-01,98.0
1982-11-01,98.5
1982-12-01,99.1
1983-01-01,99.9
1983-02-01,99.7
1983-03-01,100.4
1983-04-01,100.7
1983-05-01,100.2
1983-06-01,100.2
1983-07-01,100.2
1983-08-01,100.2
1983-09-01,100.5
1983-10-01,100.5
1983-11-01,101.4
1983-12-01,101.9
1984-01-01,102.1
1984-02-01,101.8
1984-03-01,101.7
1984-04-01,101.9
1984-05-01,102.3
1984-06-01,101.9
1984-07-01,103.0
1984-08-01,103.0
1984-09-01,103.4
1984-10-01,103.4
1984-11-01,103.4
1984-12-01,103.3
1985-01-01,103.3
1985-02-01,105.9
1985-03-01,105.7
1985-04-01,106.2
1985-05-01,106.2
1985-06-01,107.1
1985-07-01,107.0
1985-08-01,106.8
1985-09-01,106.6
1985-10-01,105.1
1985-11-01,106.2
1985-12-01,106.1
1986-01-01,106.2
1986-02-01,107.3
1986-03-01,107.4
1986-04-01,107.4
1986-05-01,107.5
1986-06-01,109.1
1986-07-01,108.9
1986-08-01,110.0
1986-09-01,109.5
1986-10-01,107.0
1986-11-01,109.9
1986-12-01,109.9
1987-01-01,110.1
1987-02-01,110.8
1987-03-01,110.8
1987-04-01,110.8
1987-05-01,110.8
1987-06-01,111.0
1987-07-01,111.0
1987-08-01,111.9
1987-09-01,111.3
1987-10-01,111.3
1987-11-01,111.0
1987-12-01,111.2
1988-01-01,111.1
1988-02-01,111.9
1988-03-01,111.9
1988-04-01,111.9
1988-05-01,112.6
1988-06-01,113.2
1988-07-01,115.3
1988-08-01,115.2
1988-09-01,115.5
1988-10-01,115.1
1988-11-01,115.0
1988-12-01,115.3
1989-01-01,115.8
1989-02-01,115.1
1989-03-01,115.9
1989-04-01,116.6
1989-05-01,116.3
1989-06-01,116.2
1989-07-01,117.4
1989-08-01,117.0
1989-09-01,117.5
1989-10-01,117.6
1989-11-01,117.1
1989-12-01,118.0
1990-01-01,117.7
1990-02-01,120.7
1990-03-01,121.2
1990-04-01,121.5
1990-05-01,121.8
1990-06-01,122.0
1990-07-01,123.2
1990-08-01,123.5
1990-09-01,123.7
1990-10-01,123.8
1990-11-01,125.1
1990-12-01,125.5
1991-01-01,125.3
1991-02-01,125.9
1991-03-01,126.1
1991-04-01,126.0
1991-05-01,126.5
1991-06-01,126.7
1991-07-01,127.0
1991-08-01,127.6
1991-09-01,127.8
1991-10-01,128.1
1991-11-01,128.2
1991-12-01,129.2
1992-01-01,130.3
1992-02-01,130.5
1992-03-01,130.5
1992-04-01,130.4
1992-05-01,131.6
1992-06-01,131.3
1992-07-01,131.5
1992-08-01,131.1
1992-09-01,132.6
1992-10-01,132.6
1992-11-01,132.6
1992-12-01,133.3
1993-01-01,133.2
1993-02-01,133.9
1993-03-01,133.8
1993-04-01,134.2
1993-05-01,134.9
1993-06-01,135.1
1993-07-01,135.5
1993-08-01,135.3
1993-09-01,135.1
1993-10-01,135.2
1993-11-01,135.5
1993-12-01,135.4
1994-01-01,135.9
1994-02-01,135.8
1994-03-01,135.6
1994-04-01,136.0
1994-05-01,136.9
1994-06-01,136.2
1994-07-01,136.2
1994-08-01,136.5
1994-09-01,136.5
1994-10-01,136.5
1994-11-01,136.8
1994-12-01,137.1
1995-01-01,138.2
1995-02-01,138.0
1995-03-01,139.0
1995-04-01,138.9
1995-05-01,139.4
1995-06-01,139.5
1995-07-01,139.9
1995-08-01,139.9
1995-09-01,139.9
1995-10-01,140.2
1995-11-01,140.2
1995-12-01,140.5
1996-01-01,140.7
1996-02-01,141.3
1996-03-01,141.5
1996-04-01,142.1
1996-05-01,142.6
1996-06-01,142.4
1996-07-01,142.7
