DATE,VALUE
2007-06-01,100.0
2007-07-01,100.7
2007-08-01,100.8
2007-09-01,100.7
2007-10-01,102.5
2007-11-01,102.5
2007-12-01,102.4
2008-01-01,102.8
2008-02-01,102.8
2008-03-01,102.8
2008-04-01,103.2
2008-05-01,103.1
2008-06-01,103.1
2008-07-01,105.7
2008-08-01,105.7
2008-09-01,105.8
2008-10-01,110.5
2008-11-01,110.4
2008-12-01,110.4
2009-01-01,111.8
2009-02-01,111.8
2009-03-01,110.9
2009-04-01,109.4
2009-05-01,109.4
2009-06-01,108.4
2009-07-01,105.4
2009-08-01,105.2
2009-09-01,105.0
2009-10-01,105.6
2009-11-01,105.4
2009-12-01,105.2
2010-01-01,105.2
2010-02-01,105.1
2010-03-01,104.9
2010-04-01,105.1
2010-05-01,105.1
2010-06-01,104.9
2010-07-01,105.3
2010-08-01,105.3
2010-09-01,105.3
2010-10-01,105.6
2010-11-01,105.6
2010-12-01,105.6
2011-01-01,105.7
2011-02-01,105.4
2011-03-01,105.4
2011-04-01,106.3
2011-05-01,106.3
2011-06-01,106.3
2011-07-01,107.7
2011-08-01,107.7
2011-09-01,107.6
2011-10-01,109.1
2011-11-01,109.0
2011-12-01,108.7
2012-01-01,109.4
2012-02-01,109.5
2012-03-01,109.7
2012-04-01,110.1
2012-05-01,110.0
2012-06-01,109.9
2012-07-01,109.9
2012-08-01,109.9
2012-09-01,109.7
2012-10-01,110.2
2012-11-01,110.2
2012-12-01,110.2
2013-01-01,110.9
2013-02-01,110.9
2013-03-01,111.0
2013-04-01,111.6
2013-05-01,111.7
2013-06-01,111.8
2013-07-01,112.4
2013-08-01,112.4
2013-09-01,112.6
2013-10-01,114.7
2013-11-01,114.6
2013-12-01,114.7
2014-01-01,115.3
2014-02-01,115.3
2014-03-01,115.4
2014-04-01,115.6
2014-05-01,115.6
2014-06-01,115.7
2014-07-01,116.3
2014-08-01,116.3
2014-09-01,116.4
2014-10-01,116.9
2014-11-01,117.0
2014-12-01,116.9
2015-01-01,117.6
2015-02-01,117.6
2015-03-01,117.7
2015-04-01,117.5
2015-05-01,117.8
2015-06-01,117.8
2015-07-01,118.7
2015-08-01,118.6
2015-09-01,118.4
2015-10-01,119.2
2015-11-01,119.3
2015-12-01,119.5
2016-01-01,119.1
2016-02-01,119.0
2016-03-01,119.0
2016-04-01,119.8
2016-05-01,119.3
2016-06-01,119.2
2016-07-01,118.2
2016-08-01,118.1
2016-09-01,118.6
