DATE,VALUE
2006-06-01,100.0
2006-07-01,100.4
2006-08-01,100.4
2006-09-01,100.4
2006-10-01,100.6
2006-11-01,100.8
2006-12-01,100.9
2007-01-01,101.9
2007-02-01,102.6
2007-03-01,102.6
2007-04-01,102.5
2007-05-01,102.5
2007-06-01,102.4
2007-07-01,102.4
2007-08-01,102.4
2007-09-01,103.1
2007-10-01,103.1
2007-11-01,103.2
2007-12-01,104.7
2008-01-01,104.8
2008-02-01,105.1
2008-03-01,105.1
2008-04-01,105.3
2008-05-01,105.4
2008-06-01,105.4
2008-07-01,106.1
2008-08-01,106.1
2008-09-01,106.1
2008-10-01,106.4
2008-11-01,106.5
2008-12-01,106.5
2009-01-01,107.2
2009-02-01,107.2
2009-03-01,107.2
2009-04-01,107.7
2009-05-01,107.7
2009-06-01,107.0
2009-07-01,107.1
2009-08-01,107.1
2009-09-01,107.1
2009-10-01,107.1
2009-11-01,107.4
2009-12-01,107.7
2010-01-01,108.1
2010-02-01,108.1
2010-03-01,107.9
2010-04-01,108.0
2010-05-01,108.0
2010-06-01,108.2
2010-07-01,108.8
2010-08-01,108.6
2010-09-01,108.7
2010-10-01,109.1
2010-11-01,109.1
2010-12-01,109.2
2011-01-01,109.4
2011-02-01,109.4
2011-03-01,109.1
2011-04-01,109.1
2011-05-01,109.1
2011-06-01,109.2
2011-07-01,110.2
2011-08-01,109.5
2011-09-01,109.7
2011-10-01,109.7
2011-11-01,109.9
2011-12-01,109.7
2012-01-01,110.2
2012-02-01,110.2
2012-03-01,109.6
2012-04-01,109.6
2012-05-01,109.6
2012-06-01,110.4
2012-07-01,111.0
2012-08-01,110.5
2012-09-01,111.1
2012-10-01,111.1
2012-11-01,111.0
2012-12-01,110.9
2013-01-01,112.9
2013-02-01,112.6
2013-03-01,112.5
2013-04-01,112.4
2013-05-01,112.3
2013-06-01,112.4
2013-07-01,111.0
2013-08-01,110.8
2013-09-01,110.7
2013-10-01,110.2
2013-11-01,110.2
2013-12-01,109.8
2014-01-01,110.7
2014-02-01,110.9
2014-03-01,110.9
2014-04-01,110.8
2014-05-01,110.5
2014-06-01,110.5
2014-07-01,109.8
2014-08-01,110.3
2014-09-01,110.2
2014-10-01,112.0
2014-11-01,112.0
2014-12-01,111.7
2015-01-01,112.2
2015-02-01,112.5
2015-03-01,112.7
2015-04-01,112.7
2015-05-01,112.8
2015-06-01,113.1
2015-07-01,112.4
2015-08-01,112.0
2015-09-01,111.9
2015-10-01,111.6
2015-11-01,111.7
2015-12-01,111.4
2016-01-01,111.8
2016-02-01,112.2
2016-03-01,112.4
2016-04-01,112.3
2016-05-01,112.4
2016-06-01,113.1
2016-07-01,112.8
2016-08-01,113.2
2016-09-01,112.5
