DATE,VALUE
1950-01-01,135.0
1951-01-01,158.0
1952-01-01,189.0
1953-01-01,205.0
1954-01-01,215.0
1955-01-01,222.0
1956-01-01,224.0
1957-01-01,231.0
1958-01-01,224.0
1959-01-01,224.0
1960-01-01,229.0
1961-01-01,238.0
1962-01-01,246.0
1963-01-01,256.0
1964-01-01,263.0
1965-01-01,271.0
1966-01-01,271.0
1967-01-01,278.0
1968-01-01,285.0
1969-01-01,296.0
1970-01-01,302.583
1971-01-01,315.51
1972-01-01,324.464
1973-01-01,330.543
1974-01-01,341.063
1975-01-01,376.17
1976-01-01,400.969
1977-01-01,403.436
1978-01-01,404.766
1979-01-01,402.753
1980-01-01,405.315
1981-01-01,418.491
1982-01-01,449.606
1983-01-01,488.417
1984-01-01,513.702
1985-01-01,532.495
1986-01-01,544.268
1987-01-01,539.309
1988-01-01,541.983
1989-01-01,547.159
1990-01-01,553.12
1991-01-01,569.273
1992-01-01,587.073
1993-01-01,596.993
1994-01-01,600.624
1995-01-01,601.345
1996-01-01,604.918
1997-01-01,608.846
1998-01-01,615.205
1999-01-01,619.5
2000-01-01,627.963
2001-01-01,633.714
2002-01-01,642.337
2003-01-01,648.414
2004-01-01,659.286
2005-01-01,666.946
2006-01-01,675.302
2007-01-01,680.3
2008-01-01,687.455
2009-01-01,698.895
2010-01-01,713.856
2011-01-01,722.572
2012-01-01,731.081
2013-01-01,737.259
2014-01-01,736.732
2015-01-01,738.432
