DATE,VALUE
2003-04-01,4.2
2003-07-01,4.3
2003-10-01,3.6
2004-01-01,3.3
2004-04-01,3.5
2004-07-01,3.6
2004-10-01,4.0
2005-01-01,3.4
2005-04-01,3.4
2005-07-01,3.5
2005-10-01,3.3
2006-01-01,3.2
2006-04-01,3.1
2006-07-01,3.3
2006-10-01,3.0
2007-01-01,2.7
2007-04-01,2.8
2007-07-01,2.8
2007-10-01,2.7
2008-01-01,2.9
2008-04-01,2.8
2008-07-01,3.4
2008-10-01,3.2
2009-01-01,3.2
2009-04-01,3.0
2009-07-01,3.3
2009-10-01,3.6
2010-01-01,3.5
2010-04-01,3.5
2010-07-01,3.4
2010-10-01,3.0
2011-01-01,3.1
2011-04-01,3.2
2011-07-01,3.0
2011-10-01,2.8
2012-01-01,3.1
2012-04-01,2.6
2012-07-01,3.2
2012-10-01,3.1
2013-01-01,3.2
2013-04-01,3.1
2013-07-01,3.1
2013-10-01,3.3
2014-01-01,3.4
2014-04-01,3.4
2014-07-01,3.2
2014-10-01,2.9
2015-01-01,2.9
2015-04-01,2.9
2015-07-01,3.0
2015-10-01,2.9
2016-01-01,2.9
2016-04-01,3.0
2016-07-01,2.9
