DATE,VALUE
1917-01-01,119.5
1917-02-01,119.5
1917-03-01,137.5
1917-04-01,137.5
1917-05-01,152.5
1917-06-01,152.5
1917-07-01,169.0
1917-08-01,169.0
1917-09-01,185.5
1917-10-01,185.5
1917-11-01,196.0
1917-12-01,196.0
1918-01-01,200.5
1918-02-01,200.5
1918-03-01,196.0
1918-04-01,196.0
1918-05-01,188.5
1918-06-01,188.5
1918-07-01,190.0
1918-08-01,190.0
1918-09-01,190.0
1918-10-01,190.0
1918-11-01,185.5
1918-12-01,185.5
1919-01-01,193.0
1919-02-01,193.0
1919-03-01,182.5
1919-04-01,182.5
1919-05-01,170.5
1919-06-01,170.5
1919-07-01,166.0
1919-08-01,166.0
1919-09-01,166.0
1919-10-01,166.0
1919-11-01,166.0
1919-12-01,166.0
1920-01-01,166.0
1920-02-01,166.0
1920-03-01,175.0
1920-04-01,175.0
1920-05-01,187.0
1920-06-01,187.0
1920-07-01,208.0
1920-08-01,208.0
1920-09-01,206.5
1920-10-01,206.5
1920-11-01,209.5
1920-12-01,209.5
1921-01-01,190.0
1921-02-01,190.0
1921-03-01,164.5
1921-04-01,164.5
1921-05-01,154.0
1921-06-01,154.0
1921-07-01,151.0
1921-08-01,151.0
1921-09-01,128.5
1921-10-01,128.5
1921-11-01,118.0
1921-12-01,118.0
1922-01-01,119.5
1922-02-01,119.5
1922-03-01,119.5
1922-04-01,119.5
1922-05-01,119.5
1922-06-01,119.5
1922-07-01,122.5
1922-08-01,122.5
1922-09-01,127.0
1922-10-01,127.0
1922-11-01,131.5
1922-12-01,131.5
1923-01-01,134.5
1923-02-01,134.5
1923-03-01,134.5
1923-04-01,134.5
1923-05-01,134.5
1923-06-01,134.5
1923-07-01,137.5
1923-08-01,137.5
1923-09-01,143.5
1923-10-01,143.5
1923-11-01,146.5
1923-12-01,146.5
1924-01-01,148.0
1924-02-01,148.0
1924-03-01,148.0
1924-04-01,148.0
1924-05-01,148.0
1924-06-01,148.0
1924-07-01,146.5
1924-08-01,146.5
1924-09-01,143.5
1924-10-01,143.5
1924-11-01,140.5
1924-12-01,140.5
1925-01-01,139.0
1925-02-01,139.0
1925-03-01,137.5
1925-04-01,137.5
1925-05-01,133.0
1925-06-01,133.0
1925-07-01,127.0
1925-08-01,127.0
1925-09-01,127.0
1925-10-01,127.0
1925-11-01,127.0
1925-12-01,127.0
1926-01-01,128.5
1926-02-01,128.5
1926-03-01,131.5
1926-04-01,131.5
1926-05-01,133.0
1926-06-01,133.0
1926-07-01,133.0
1926-08-01,133.0
1926-09-01,133.0
1926-10-01,133.0
1926-11-01,133.0
1926-12-01,133.0
1927-01-01,133.0
1927-02-01,133.0
1927-03-01,128.5
1927-04-01,128.5
1927-05-01,125.5
1927-06-01,125.5
1927-07-01,125.5
1927-08-01,125.5
1927-09-01,125.5
1927-10-01,125.5
1927-11-01,128.5
1927-12-01,128.5
1928-01-01,125.5
1928-02-01,125.5
1928-03-01,125.5
1928-04-01,125.5
1928-05-01,125.5
1928-06-01,125.5
1928-07-01,125.5
1928-08-01,125.5
1928-09-01,125.5
1928-10-01,125.5
1928-11-01,125.5
1928-12-01,125.5
1929-01-01,125.5
1929-02-01,125.5
1929-03-01,125.5
1929-04-01,125.5
1929-05-01,127.0
1929-06-01,127.0
1929-07-01,127.0
1929-08-01,127.0
1929-09-01,127.0
1929-10-01,127.0
1929-11-01,127.0
1929-12-01,127.0
1930-01-01,127.0
1930-02-01,127.0
1930-03-01,122.5
1930-04-01,122.5
1930-05-01,122.5
1930-06-01,122.5
1930-07-01,118.0
1930-08-01,118.0
1930-09-01,118.0
1930-10-01,118.0
1930-11-01,116.5
1930-12-01,116.5
1931-01-01,113.5
1931-02-01,113.5
1931-03-01,115.0
1931-04-01,115.0
1931-05-01,110.5
1931-06-01,110.5
1931-07-01,107.5
1931-08-01,107.5
1931-09-01,107.5
