DATE,VALUE
1947-04-01,0.1
1947-07-01,0.06
1947-10-01,0.02
1948-01-01,-0.03
1948-04-01,0.02
1948-07-01,0.03
1948-10-01,0.01
1949-01-01,0.0
1949-04-01,-0.02
1949-07-01,-0.01
1949-10-01,0.02
1950-01-01,0.02
1950-04-01,-0.03
1950-07-01,0.03
1950-10-01,0.05
1951-01-01,0.1
1951-04-01,0.02
1951-07-01,0.02
1951-10-01,-0.02
1952-01-01,0.02
1952-04-01,-0.03
1952-07-01,-0.08
1952-10-01,-0.04
1953-01-01,0.03
1953-04-01,0.02
1953-07-01,0.01
1953-10-01,0.01
1954-01-01,-0.04
1954-04-01,0.03
1954-07-01,0.0
1954-10-01,0.07
1955-01-01,-0.01
1955-04-01,-0.04
1955-07-01,-0.01
1955-10-01,0.02
1956-01-01,0.08
1956-04-01,-0.13
1956-07-01,0.19
1956-10-01,-0.04
1957-01-01,0.09
1957-04-01,-0.02
1957-07-01,-0.01
1957-10-01,0.15
1958-01-01,-0.08
1958-04-01,0.02
1958-07-01,0.0
1958-10-01,0.0
1959-01-01,0.0
1959-04-01,0.01
1959-07-01,0.02
1959-10-01,0.02
1960-01-01,-0.04
1960-04-01,0.01
1960-07-01,-0.03
1960-10-01,-0.03
1961-01-01,-0.03
1961-04-01,0.01
1961-07-01,-0.06
1961-10-01,0.01
1962-01-01,-0.03
1962-04-01,0.0
1962-07-01,-0.04
1962-10-01,-0.04
1963-01-01,-0.04
1963-04-01,-0.01
1963-07-01,-0.03
1963-10-01,-0.03
1964-01-01,0.0
1964-04-01,-0.01
1964-07-01,-0.04
1964-10-01,0.0
1965-01-01,-0.02
1965-04-01,-0.07
1965-07-01,0.04
1965-10-01,-0.11
1966-01-01,-0.05
1966-04-01,-0.05
1966-07-01,-0.08
1966-10-01,-0.05
1967-01-01,-0.02
1967-04-01,-0.01
1967-07-01,0.01
1967-10-01,-0.01
1968-01-01,-0.02
1968-04-01,0.0
1968-07-01,0.0
1968-10-01,0.03
1969-01-01,0.01
1969-04-01,0.0
1969-07-01,0.01
1969-10-01,0.02
1970-01-01,0.04
1970-04-01,0.02
1970-07-01,-0.01
1970-10-01,0.01
1971-01-01,0.02
1971-04-01,-0.02
1971-07-01,-0.04
1971-10-01,-0.04
1972-01-01,-0.06
1972-04-01,-0.05
1972-07-01,-0.03
1972-10-01,0.0
1973-01-01,0.08
1973-04-01,0.05
1973-07-01,-0.03
1973-10-01,-0.05
1974-01-01,0.01
1974-04-01,0.14
1974-07-01,0.14
1974-10-01,0.15
1975-01-01,0.15
1975-04-01,0.07
1975-07-01,0.0
1975-10-01,0.03
1976-01-01,0.04
1976-04-01,0.03
1976-07-01,0.01
1976-10-01,-0.03
1977-01-01,0.04
1977-04-01,-0.03
1977-07-01,-0.1
1977-10-01,-0.15
1978-01-01,-0.12
1978-04-01,-0.07
1978-07-01,-0.07
1978-10-01,-0.05
1979-01-01,0.06
1979-04-01,0.04
1979-07-01,-0.03
1979-10-01,-0.02
1980-01-01,0.08
1980-04-01,0.08
1980-07-01,0.08
1980-10-01,0.08
1981-01-01,0.15
1981-04-01,0.06
1981-07-01,-0.02
1981-10-01,-0.06
1982-01-01,-0.08
1982-04-01,0.06
1982-07-01,0.03
1982-10-01,0.06
1983-01-01,-0.07
1983-04-01,-0.1
1983-07-01,-0.08
1983-10-01,-0.05
1984-01-01,-0.1
1984-04-01,-0.08
1984-07-01,-0.11
1984-10-01,-0.09
1985-01-01,-0.12
1985-04-01,-0.14
1985-07-01,-0.13
1985-10-01,-0.11
1986-01-01,-0.18
1986-04-01,-0.04
1986-07-01,0.11
1986-10-01,-0.01
1987-01-01,-0.13
1987-04-01,-0.15
1987-07-01,-0.13
1987-10-01,0.07
1988-01-01,0.01
1988-04-01,-0.13
1988-07-01,-0.09
1988-10-01,0.0
1989-01-01,-0.05
1989-04-01,-0.12
1989-07-01,-0.08
1989-10-01,-0.1
1990-01-01,-0.07
1990-04-01,-0.04
1990-07-01,0.02
1990-10-01,0.0
1991-01-01,0.02
1991-04-01,-0.1
1991-07-01,-0.16
1991-10-01,-0.13
1992-01-01,-0.12
1992-04-01,-0.18
1992-07-01,-0.12
1992-10-01,-0.14
1993-01-01,-0.04
1993-04-01,-0.12
1993-07-01,-0.12
1993-10-01,-0.12
1994-01-01,-0.08
1994-04-01,-0.09
1994-07-01,-0.13
1994-10-01,-0.17
1995-01-01,-0.1
1995-04-01,-0.11
1995-07-01,-0.21
1995-10-01,-0.26
1996-01-01,-0.3
1996-04-01,-0.37
1996-07-01,-0.24
1996-10-01,-0.25
1997-01-01,-0.3
1997-04-01,-0.27
1997-07-01,-0.31
1997-10-01,-0.31
1998-01-01,-0.47
1998-04-01,-0.38
1998-07-01,-0.33
1998-10-01,-0.32
1999-01-01,-0.22
1999-04-01,-0.24
1999-07-01,-0.22
1999-10-01,-0.17
2000-01-01,-0.09
2000-04-01,-0.09
2000-07-01,-0.01
2000-10-01,-0.12
2001-01-01,-0.37
2001-04-01,-0.17
2001-07-01,-0.32
2001-10-01,-0.22
2002-01-01,-0.18
2002-04-01,-0.21
2002-07-01,-0.12
2002-10-01,-0.12
2003-01-01,-0.15
2003-04-01,-0.06
2003-07-01,-0.16
2003-10-01,-0.26
2004-01-01,-0.13
2004-04-01,-0.11
2004-07-01,-0.08
2004-10-01,-0.14
2005-01-01,-0.06
2005-04-01,-0.09
