DATE,VALUE
1999-12-01,100.0
2000-01-01,103.8
2000-02-01,103.9
2000-03-01,103.8
2000-04-01,103.8
2000-05-01,103.3
2000-06-01,103.3
2000-07-01,103.3
2000-08-01,103.3
2000-09-01,103.4
2000-10-01,103.4
2000-11-01,103.5
2000-12-01,103.5
2001-01-01,103.8
2001-02-01,103.8
2001-03-01,103.9
2001-04-01,103.9
2001-05-01,102.8
2001-06-01,102.8
2001-07-01,102.8
2001-08-01,102.8
2001-09-01,102.8
2001-10-01,103.0
2001-11-01,103.0
2001-12-01,103.0
2002-01-01,101.1
2002-02-01,101.1
2002-03-01,101.1
2002-04-01,101.1
2002-05-01,101.1
2002-06-01,101.1
2002-07-01,101.2
2002-08-01,101.2
2002-09-01,101.2
2002-10-01,101.2
2002-11-01,101.2
2002-12-01,101.2
2003-01-01,101.4
2003-02-01,101.4
2003-03-01,101.4
2003-04-01,102.6
2003-05-01,102.9
2003-06-01,102.7
2003-07-01,102.7
2003-08-01,102.7
2003-09-01,102.7
2003-10-01,102.6
2003-11-01,102.5
2003-12-01,102.6
2004-01-01,102.3
2004-02-01,102.4
2004-03-01,102.4
2004-04-01,102.8
2004-05-01,102.8
2004-06-01,102.8
2004-07-01,102.7
2004-08-01,102.7
2004-09-01,102.7
2004-10-01,102.7
2004-11-01,102.7
2004-12-01,102.7
2005-01-01,103.5
2005-02-01,104.0
2005-03-01,104.0
2005-04-01,104.0
2005-05-01,104.0
2005-06-01,104.0
2005-07-01,104.0
2005-08-01,103.7
2005-09-01,103.7
2005-10-01,103.7
2005-11-01,103.7
2005-12-01,103.7
2006-01-01,103.4
2006-02-01,103.5
2006-03-01,103.4
2006-04-01,103.4
2006-05-01,103.4
2006-06-01,103.4
2006-07-01,103.4
2006-08-01,103.4
2006-09-01,103.4
2006-10-01,103.4
2006-11-01,103.4
2006-12-01,103.4
2007-01-01,103.3
2007-02-01,103.3
2007-03-01,103.3
2007-04-01,103.3
2007-05-01,103.3
2007-06-01,103.2
2007-07-01,103.2
2007-08-01,103.2
2007-09-01,103.2
2007-10-01,103.2
2007-11-01,103.2
2007-12-01,103.7
2008-01-01,103.6
2008-02-01,103.6
2008-03-01,103.6
2008-04-01,103.6
2008-05-01,103.6
2008-06-01,103.6
2008-07-01,103.6
2008-08-01,103.5
2008-09-01,104.0
2008-10-01,104.0
2008-11-01,103.8
2008-12-01,103.8
2009-01-01,104.3
2009-02-01,104.3
2009-03-01,104.3
2009-04-01,104.3
2009-05-01,104.3
2009-06-01,104.3
2009-07-01,104.3
2009-08-01,104.3
2009-09-01,104.3
2009-10-01,104.5
2009-11-01,104.5
2009-12-01,104.5
2010-01-01,104.8
2010-02-01,104.8
2010-03-01,104.9
2010-04-01,105.4
2010-05-01,105.4
2010-06-01,106.1
2010-07-01,106.1
2010-08-01,106.4
2010-09-01,106.4
2010-10-01,107.8
2010-11-01,107.8
2010-12-01,107.8
2011-01-01,109.7
2011-02-01,110.4
2011-03-01,110.4
2011-04-01,111.0
2011-05-01,110.5
2011-06-01,110.6
2011-07-01,110.6
2011-08-01,110.6
2011-09-01,110.6
2011-10-01,110.6
2011-11-01,110.6
2011-12-01,111.2
2012-01-01,111.6
2012-02-01,111.6
2012-03-01,111.6
2012-04-01,111.7
2012-05-01,111.5
2012-06-01,111.5
2012-07-01,111.5
2012-08-01,111.4
2012-09-01,111.8
2012-10-01,111.8
2012-11-01,111.8
2012-12-01,111.2
2013-01-01,111.7
2013-02-01,111.6
2013-03-01,112.3
2013-04-01,111.9
2013-05-01,111.8
2013-06-01,112.0
2013-07-01,112.3
2013-08-01,112.3
2013-09-01,112.3
2013-10-01,112.3
2013-11-01,112.3
2013-12-01,112.3
2014-01-01,114.0
2014-02-01,114.0
2014-03-01,114.2
2014-04-01,114.2
2014-05-01,114.2
2014-06-01,114.2
2014-07-01,114.4
2014-08-01,114.4
2014-09-01,114.4
2014-10-01,114.4
2014-11-01,114.4
2014-12-01,114.4
2015-01-01,113.6
2015-02-01,113.7
2015-03-01,113.7
2015-04-01,113.3
2015-05-01,113.3
2015-06-01,113.3
2015-07-01,113.6
2015-08-01,113.6
2015-09-01,113.6
2015-10-01,113.6
2015-11-01,113.6
2015-12-01,113.7
2016-01-01,113.0
2016-02-01,113.0
2016-03-01,113.0
2016-04-01,113.0
2016-05-01,113.0
2016-06-01,113.0
2016-07-01,113.0
2016-08-01,113.0
2016-09-01,113.0
