DATE,VALUE
1970-01-01,219.743
1971-01-01,223.2
1972-01-01,224.1
1973-01-01,225.2
1974-01-01,225.9
1975-01-01,225.7
1976-01-01,226.1
1977-01-01,226.9
1978-01-01,227.1
1979-01-01,226.7
1980-01-01,228.059
1981-01-01,224.132
1982-01-01,220.925
1983-01-01,217.784
1984-01-01,216.71
1985-01-01,215.04
1986-01-01,214.972
1987-01-01,214.098
1988-01-01,213.522
1989-01-01,212.303
1990-01-01,212.071
1991-01-01,212.384
1992-01-01,212.421
1993-01-01,212.165
1994-01-01,212.262
1995-01-01,212.076
1996-01-01,211.927
1997-01-01,211.406
1998-01-01,210.839
1999-01-01,210.4
2000-01-01,209.933
2001-01-01,209.337
2002-01-01,209.054
2003-01-01,208.295
2004-01-01,207.787
2005-01-01,206.427
2006-01-01,204.673
2007-01-01,201.953
2008-01-01,200.67
2009-01-01,199.466
2010-01-01,199.916
2011-01-01,198.855
2012-01-01,198.329
2013-01-01,196.764
2014-01-01,195.142
2015-01-01,193.307
