DATE,VALUE
2004-01-01,98.1
2004-02-01,98.0
2004-03-01,97.7
2004-04-01,98.0
2004-05-01,97.5
2004-06-01,97.1
2004-07-01,97.5
2004-08-01,97.8
2004-09-01,97.7
2004-10-01,98.2
2004-11-01,98.2
2004-12-01,99.1
2005-01-01,98.7
2005-02-01,98.5
2005-03-01,98.2
2005-04-01,98.1
2005-05-01,97.9
2005-06-01,98.0
2005-07-01,97.9
2005-08-01,97.0
2005-09-01,97.7
2005-10-01,96.9
2005-11-01,97.1
2005-12-01,97.2
2006-01-01,96.9
2006-02-01,97.4
2006-03-01,97.8
2006-04-01,97.4
2006-05-01,97.5
2006-06-01,97.9
2006-07-01,97.9
2006-08-01,98.5
2006-09-01,97.9
2006-10-01,98.0
2006-11-01,97.7
2006-12-01,97.0
2007-01-01,95.163
2007-02-01,95.49
2007-03-01,95.016
2007-04-01,95.413
2007-05-01,95.393
2007-06-01,95.077
2007-07-01,95.331
2007-08-01,95.669
2007-09-01,95.269
2007-10-01,94.375
2007-11-01,94.508
2007-12-01,95.018
2008-01-01,95.087
2008-02-01,95.611
2008-03-01,96.143
2008-04-01,96.645
2008-05-01,96.837
2008-06-01,95.899
2008-07-01,96.26
2008-08-01,96.56
2008-09-01,96.49
2008-10-01,96.737
2008-11-01,96.968
2008-12-01,96.68
2009-01-01,96.816
2009-02-01,96.759
2009-03-01,96.737
2009-04-01,96.805
2009-05-01,97.691
2009-06-01,97.316
2009-07-01,96.644
2009-08-01,97.563
2009-09-01,97.705
2009-10-01,98.065
2009-11-01,98.221
2009-12-01,97.671
2010-01-01,98.821
2010-02-01,98.441
2010-03-01,97.75
2010-04-01,98.106
2010-05-01,97.831
2010-06-01,97.559
2010-07-01,97.274
2010-08-01,97.012
2010-09-01,97.711
2010-10-01,96.847
2010-11-01,96.163
2010-12-01,96.452
2011-01-01,96.687
2011-02-01,95.835
2011-03-01,95.923
2011-04-01,95.999
2011-05-01,95.378
2011-06-01,95.018
2011-07-01,94.302
2011-08-01,94.457
2011-09-01,95.567
2011-10-01,95.342
2011-11-01,95.219
2011-12-01,95.271
2012-01-01,95.329
2012-02-01,95.075
2012-03-01,94.838
2012-04-01,95.03
2012-05-01,95.083
2012-06-01,95.599
2012-07-01,95.565
2012-08-01,95.945
2012-09-01,96.127
2012-10-01,96.572
2012-11-01,96.621
2012-12-01,95.987
2013-01-01,96.495
2013-02-01,96.514
2013-03-01,97.2
2013-04-01,97.291
2013-05-01,98.017
2013-06-01,99.081
2013-07-01,98.903
2013-08-01,98.563
2013-09-01,98.847
2013-10-01,98.769
2013-11-01,97.612
2013-12-01,97.431
2014-01-01,97.528
2014-02-01,97.581
2014-03-01,98.226
2014-04-01,98.562
2014-05-01,98.451
2014-06-01,98.224
2014-07-01,98.505
2014-08-01,97.762
2014-09-01,99.007
2014-10-01,99.813
2014-11-01,99.911
2014-12-01,99.802
2015-01-01,98.6
2015-02-01,97.438
2015-03-01,98.15
2015-04-01,98.162
2015-05-01,98.636
2015-06-01,98.768
2015-07-01,100.601
2015-08-01,99.999
2015-09-01,99.525
2015-10-01,100.389
2015-11-01,99.923
2015-12-01,98.885
2016-01-01,100.198
2016-02-01,100.652
2016-03-01,100.498
2016-04-01,100.953
2016-05-01,100.972
2016-06-01,100.939
2016-07-01,101.886
2016-08-01,101.865
