DATE,VALUE
1957-01-01,37.0
1957-02-01,37.1
1957-03-01,37.2
1957-04-01,37.3
1957-05-01,37.2
1957-06-01,37.3
1957-07-01,37.3
1957-08-01,37.5
1957-09-01,37.5
1957-10-01,37.5
1957-11-01,37.7
1957-12-01,37.7
1958-01-01,37.8
1958-02-01,37.8
1958-03-01,37.8
1958-04-01,37.8
1958-05-01,37.8
1958-06-01,37.8
1958-07-01,37.8
1958-08-01,37.8
1958-09-01,37.8
1958-10-01,37.9
1958-11-01,38.0
1958-12-01,38.2
1959-01-01,38.0
1959-02-01,38.1
1959-03-01,38.2
1959-04-01,38.2
1959-05-01,38.3
1959-06-01,38.4
1959-07-01,38.5
1959-08-01,38.5
1959-09-01,38.5
1959-10-01,38.6
1959-11-01,38.6
1959-12-01,38.6
1960-01-01,38.7
1960-02-01,38.7
1960-03-01,38.6
1960-04-01,38.6
1960-05-01,38.5
1960-06-01,38.5
1960-07-01,38.4
1960-08-01,38.5
1960-09-01,38.5
1960-10-01,38.5
1960-11-01,38.3
1960-12-01,38.4
1961-01-01,38.4
1961-02-01,38.5
1961-03-01,38.5
1961-04-01,38.5
1961-05-01,38.5
1961-06-01,38.6
1961-07-01,38.7
1961-08-01,38.7
1961-09-01,38.8
1961-10-01,38.8
1961-11-01,38.8
1961-12-01,38.8
1962-01-01,38.8
1962-02-01,38.8
1962-03-01,38.9
1962-04-01,38.9
1962-05-01,38.9
1962-06-01,39.0
1962-07-01,39.0
1962-08-01,39.0
1962-09-01,39.1
1962-10-01,39.0
1962-11-01,39.0
1962-12-01,39.0
1963-01-01,38.9
1963-02-01,38.9
1963-03-01,39.0
1963-04-01,39.1
1963-05-01,39.0
1963-06-01,39.2
1963-07-01,39.2
1963-08-01,39.3
1963-09-01,39.4
1963-10-01,39.4
1963-11-01,39.5
1963-12-01,39.6
1964-01-01,39.6
1964-02-01,39.6
1964-03-01,39.6
1964-04-01,39.6
1964-05-01,39.6
1964-06-01,39.6
1964-07-01,39.6
1964-08-01,39.6
1964-09-01,39.6
1964-10-01,39.6
1964-11-01,39.6
1964-12-01,39.7
1965-01-01,39.9
1965-02-01,39.8
1965-03-01,39.9
1965-04-01,39.8
1965-05-01,39.8
1965-06-01,39.8
1965-07-01,39.6
1965-08-01,39.7
1965-09-01,39.7
1965-10-01,39.7
1965-11-01,39.8
1965-12-01,39.9
1966-01-01,39.9
1966-02-01,39.9
1966-03-01,40.0
1966-04-01,40.1
1966-05-01,40.2
1966-06-01,40.3
1966-07-01,40.4
1966-08-01,40.4
1966-09-01,40.5
1966-10-01,40.6
1966-11-01,40.6
1966-12-01,40.6
1967-01-01,40.7
1967-02-01,40.7
1967-03-01,40.8
1967-04-01,40.9
1967-05-01,41.0
1967-06-01,41.1
1967-07-01,41.3
1967-08-01,41.5
1967-09-01,41.6
1967-10-01,41.7
1967-11-01,41.8
1967-12-01,42.0
1968-01-01,42.2
1968-02-01,42.3
1968-03-01,42.4
1968-04-01,42.5
1968-05-01,42.5
1968-06-01,42.7
1968-07-01,42.9
1968-08-01,43.1
1968-09-01,43.2
1968-10-01,43.3
1968-11-01,43.5
1968-12-01,43.6
1969-01-01,43.7
1969-02-01,44.0
1969-03-01,44.4
1969-04-01,44.4
1969-05-01,44.5
1969-06-01,44.6
1969-07-01,44.8
1969-08-01,44.9
1969-09-01,45.1
1969-10-01,45.3
1969-11-01,45.5
1969-12-01,45.6
1970-01-01,45.7
1970-02-01,45.9
1970-03-01,46.0
