DATE,VALUE
1990-01-01,19.4
1990-02-01,19.6
1990-03-01,19.8
1990-04-01,20.0
1990-05-01,20.6
1990-06-01,21.3
1990-07-01,21.2
1990-08-01,21.0
1990-09-01,20.7
1990-10-01,20.1
1990-11-01,19.6
1990-12-01,19.3
1991-01-01,17.6
1991-02-01,17.7
1991-03-01,18.0
1991-04-01,18.2
1991-05-01,18.7
1991-06-01,19.2
1991-07-01,18.8
1991-08-01,19.0
1991-09-01,19.0
1991-10-01,18.5
1991-11-01,18.1
1991-12-01,17.5
1992-01-01,16.7
1992-02-01,16.8
1992-03-01,16.9
1992-04-01,17.2
1992-05-01,17.9
1992-06-01,18.2
1992-07-01,18.4
1992-08-01,18.8
1992-09-01,18.8
1992-10-01,18.9
1992-11-01,18.5
1992-12-01,18.2
1993-01-01,16.8
1993-02-01,17.2
1993-03-01,17.6
1993-04-01,17.8
1993-05-01,18.4
1993-06-01,19.5
1993-07-01,20.0
1993-08-01,20.1
1993-09-01,20.2
1993-10-01,19.4
1993-11-01,18.9
1993-12-01,18.7
1994-01-01,17.7
1994-02-01,17.9
1994-03-01,18.9
1994-04-01,19.6
1994-05-01,20.2
1994-06-01,21.1
1994-07-01,21.2
1994-08-01,20.9
1994-09-01,21.0
1994-10-01,20.8
1994-11-01,20.7
1994-12-01,20.6
1995-01-01,19.5
1995-02-01,19.6
1995-03-01,20.6
1995-04-01,21.3
1995-05-01,21.6
1995-06-01,22.6
1995-07-01,22.8
1995-08-01,23.2
1995-09-01,23.3
1995-10-01,22.8
1995-11-01,22.4
1995-12-01,22.4
1996-01-01,21.0
1996-02-01,21.1
1996-03-01,21.9
1996-04-01,22.2
1996-05-01,23.0
1996-06-01,23.9
1996-07-01,24.7
1996-08-01,25.2
1996-09-01,25.0
1996-10-01,24.3
1996-11-01,23.8
1996-12-01,23.5
1997-01-01,22.3
1997-02-01,22.7
1997-03-01,23.6
1997-04-01,24.4
1997-05-01,24.8
1997-06-01,25.1
1997-07-01,26.0
1997-08-01,26.4
1997-09-01,26.8
1997-10-01,25.2
1997-11-01,25.0
1997-12-01,24.4
1998-01-01,22.8
1998-02-01,23.2
1998-03-01,23.8
1998-04-01,25.6
1998-05-01,26.1
1998-06-01,27.0
1998-07-01,26.7
1998-08-01,26.6
1998-09-01,26.5
1998-10-01,26.5
1998-11-01,26.1
1998-12-01,25.8
1999-01-01,24.1
1999-02-01,24.6
1999-03-01,25.1
1999-04-01,25.7
1999-05-01,26.2
1999-06-01,27.0
1999-07-01,26.9
1999-08-01,27.0
1999-09-01,27.2
1999-10-01,26.3
1999-11-01,26.0
1999-12-01,25.7
2000-01-01,24.7
2000-02-01,25.0
2000-03-01,26.0
2000-04-01,25.7
2000-05-01,26.3
2000-06-01,26.8
2000-07-01,26.1
2000-08-01,26.3
2000-09-01,26.4
2000-10-01,25.5
2000-11-01,25.2
2000-12-01,24.9
2001-01-01,24.8
2001-02-01,25.0
2001-03-01,25.9
2001-04-01,26.0
2001-05-01,26.3
2001-06-01,26.7
2001-07-01,26.6
2001-08-01,26.5
2001-09-01,26.1
2001-10-01,24.7
2001-11-01,24.8
2001-12-01,24.5
2002-01-01,23.6
2002-02-01,23.2
2002-03-01,23.7
2002-04-01,23.7
2002-05-01,24.4
2002-06-01,24.9
2002-07-01,25.3
2002-08-01,25.1
2002-09-01,25.2
2002-10-01,24.2
2002-11-01,24.1
2002-12-01,23.8
2003-01-01,22.9
2003-02-01,22.7
2003-03-01,23.1
2003-04-01,23.1
2003-05-01,23.6
2003-06-01,24.1
2003-07-01,24.3
2003-08-01,24.6
2003-09-01,24.7
2003-10-01,24.8
2003-11-01,24.5
2003-12-01,24.3
