DATE,VALUE
1947-01-01,0.4
1947-04-01,0.4
1947-07-01,0.4
1947-10-01,0.4
1948-01-01,0.4
1948-04-01,0.5
1948-07-01,0.5
1948-10-01,0.5
1949-01-01,0.5
1949-04-01,0.5
1949-07-01,0.5
1949-10-01,0.5
1950-01-01,0.5
1950-04-01,0.5
1950-07-01,0.5
1950-10-01,0.5
1951-01-01,0.6
1951-04-01,0.6
1951-07-01,0.6
1951-10-01,0.6
1952-01-01,0.6
1952-04-01,0.6
1952-07-01,0.7
1952-10-01,0.7
1953-01-01,0.7
1953-04-01,0.7
1953-07-01,0.7
1953-10-01,0.7
1954-01-01,0.7
1954-04-01,0.7
1954-07-01,0.7
1954-10-01,0.7
1955-01-01,0.7
1955-04-01,0.8
1955-07-01,0.8
1955-10-01,0.8
1956-01-01,0.8
1956-04-01,0.8
1956-07-01,0.9
1956-10-01,0.9
1957-01-01,0.9
1957-04-01,0.9
1957-07-01,0.9
1957-10-01,1.0
1958-01-01,1.0
1958-04-01,1.0
1958-07-01,1.0
1958-10-01,1.0
1959-01-01,1.0
1959-04-01,1.0
1959-07-01,1.0
1959-10-01,1.0
1960-01-01,1.1
1960-04-01,1.1
1960-07-01,1.1
1960-10-01,1.1
1961-01-01,1.1
1961-04-01,1.1
1961-07-01,1.2
1961-10-01,1.2
1962-01-01,1.2
1962-04-01,1.2
1962-07-01,1.2
1962-10-01,1.3
1963-01-01,1.3
1963-04-01,1.3
1963-07-01,1.3
1963-10-01,1.4
1964-01-01,1.4
1964-04-01,1.4
1964-07-01,1.4
1964-10-01,1.4
1965-01-01,1.5
1965-04-01,1.5
1965-07-01,1.5
1965-10-01,1.5
1966-01-01,1.6
1966-04-01,1.6
1966-07-01,1.7
1966-10-01,1.7
1967-01-01,1.7
1967-04-01,1.8
1967-07-01,1.8
1967-10-01,1.8
1968-01-01,1.9
1968-04-01,1.9
1968-07-01,2.0
1968-10-01,2.0
1969-01-01,2.1
1969-04-01,2.2
1969-07-01,2.2
1969-10-01,2.3
1970-01-01,2.4
1970-04-01,2.4
1970-07-01,2.5
1970-10-01,2.6
1971-01-01,2.7
1971-04-01,2.7
1971-07-01,2.8
1971-10-01,2.9
1972-01-01,3.0
1972-04-01,3.1
1972-07-01,3.2
1972-10-01,3.2
1973-01-01,3.3
1973-04-01,3.5
1973-07-01,3.6
1973-10-01,3.7
1974-01-01,3.9
1974-04-01,4.1
1974-07-01,4.4
1974-10-01,4.7
1975-01-01,4.9
1975-04-01,5.0
1975-07-01,5.1
1975-10-01,5.3
1976-01-01,5.3
1976-04-01,5.5
1976-07-01,5.6
1976-10-01,5.7
1977-01-01,5.8
1977-04-01,5.9
1977-07-01,6.1
1977-10-01,6.2
1978-01-01,6.3
1978-04-01,6.6
1978-07-01,6.8
1978-10-01,7.0
1979-01-01,7.2
1979-04-01,7.4
1979-07-01,7.7
1979-10-01,8.0
1980-01-01,8.3
1980-04-01,8.6
1980-07-01,8.9
1980-10-01,9.3
1981-01-01,9.6
1981-04-01,9.8
1981-07-01,10.1
1981-10-01,10.3
1982-01-01,10.5
1982-04-01,10.8
1982-07-01,11.0
1982-10-01,11.2
1983-01-01,11.3
1983-04-01,11.4
1983-07-01,11.6
1983-10-01,11.7
1984-01-01,11.8
1984-04-01,12.1
1984-07-01,12.3
1984-10-01,12.5
1985-01-01,12.7
1985-04-01,12.8
1985-07-01,13.0
1985-10-01,13.2
1986-01-01,13.4
1986-04-01,13.7
1986-07-01,13.9
1986-10-01,14.1
1987-01-01,14.3
1987-04-01,14.5
1987-07-01,14.7
1987-10-01,14.9
1988-01-01,15.2
1988-04-01,15.5
1988-07-01,15.8
1988-10-01,16.0
1989-01-01,16.3
1989-04-01,16.6
1989-07-01,16.9
1989-10-01,17.1
1990-01-01,17.4
1990-04-01,17.7
1990-07-01,18.1
1990-10-01,18.3
1991-01-01,18.5
1991-04-01,18.7
1991-07-01,19.0
1991-10-01,19.1
1992-01-01,19.3
1992-04-01,19.6
1992-07-01,19.9
