DATE,VALUE
2003-01-01,47.0
2003-02-01,46.8
2003-03-01,46.7
2003-04-01,46.4
2003-05-01,46.5
2003-06-01,46.2
2003-07-01,48.0
2003-08-01,48.4
2003-09-01,48.2
2003-10-01,48.2
2003-11-01,47.9
2003-12-01,48.0
2004-01-01,47.7
2004-02-01,47.4
2004-03-01,47.6
2004-04-01,47.0
2004-05-01,47.2
2004-06-01,47.1
2004-07-01,46.3
2004-08-01,46.3
2004-09-01,45.7
2004-10-01,45.7
2004-11-01,46.0
2004-12-01,45.6
2005-01-01,46.0
2005-02-01,46.0
2005-03-01,46.2
2005-04-01,46.7
2005-05-01,46.9
2005-06-01,46.3
2005-07-01,46.5
2005-08-01,46.7
2005-09-01,47.7
2005-10-01,48.1
2005-11-01,48.0
2005-12-01,48.9
2006-01-01,48.5
2006-02-01,48.9
2006-03-01,49.1
2006-04-01,48.1
2006-05-01,48.3
2006-06-01,48.8
2006-07-01,48.7
2006-08-01,48.3
2006-09-01,48.6
2006-10-01,48.4
2006-11-01,48.9
2006-12-01,48.3
2007-01-01,49.3
2007-02-01,49.7
2007-03-01,49.8
2007-04-01,50.6
2007-05-01,50.7
2007-06-01,50.8
2007-07-01,51.7
2007-08-01,51.7
2007-09-01,51.5
2007-10-01,51.5
2007-11-01,51.1
2007-12-01,51.0
2008-01-01,50.7
2008-02-01,50.4
2008-03-01,50.4
2008-04-01,50.0
2008-05-01,49.9
2008-06-01,49.3
2008-07-01,48.5
2008-08-01,48.5
2008-09-01,48.1
2008-10-01,47.7
2008-11-01,47.2
2008-12-01,46.7
2009-01-01,46.2
2009-02-01,45.7
2009-03-01,45.4
2009-04-01,44.4
2009-05-01,44.6
2009-06-01,45.0
2009-07-01,45.4
2009-08-01,45.2
2009-09-01,45.3
2009-10-01,45.6
2009-11-01,46.1
2009-12-01,46.0
2010-01-01,47.0
2010-02-01,46.6
2010-03-01,47.4
2010-04-01,48.2
2010-05-01,48.8
2010-06-01,48.8
2010-07-01,49.2
2010-08-01,49.5
2010-09-01,49.5
2010-10-01,49.6
2010-11-01,49.6
2010-12-01,50.3
2011-01-01,49.9
2011-02-01,50.3
2011-03-01,50.6
2011-04-01,49.6
2011-05-01,49.7
2011-06-01,49.8
2011-07-01,50.2
2011-08-01,50.7
2011-09-01,51.7
2011-10-01,51.1
2011-11-01,51.2
2011-12-01,51.5
2012-01-01,52.0
2012-02-01,52.5
2012-03-01,52.6
2012-04-01,53.0
2012-05-01,53.1
2012-06-01,53.6
2012-07-01,53.7
2012-08-01,53.1
2012-09-01,53.5
2012-10-01,54.0
2012-11-01,54.5
2012-12-01,54.3
2013-01-01,54.3
2013-02-01,54.3
2013-03-01,54.3
2013-04-01,54.7
2013-05-01,54.5
2013-06-01,54.6
2013-07-01,54.7
2013-08-01,54.6
2013-09-01,55.3
2013-10-01,55.6
2013-11-01,56.0
2013-12-01,56.6
2014-01-01,55.9
2014-02-01,56.1
2014-03-01,56.6
2014-04-01,56.2
2014-05-01,56.5
2014-06-01,56.5
2014-07-01,56.4
2014-08-01,56.9
2014-09-01,56.4
2014-10-01,56.1
2014-11-01,56.1
2014-12-01,56.4
2015-01-01,57.0
2015-02-01,57.0
2015-03-01,57.4
2015-04-01,57.4
2015-05-01,57.8
2015-06-01,57.8
2015-07-01,57.8
2015-08-01,57.6
2015-09-01,57.9
2015-10-01,58.7
2015-11-01,59.3
2015-12-01,58.4
2016-01-01,57.7
2016-02-01,58.4
2016-03-01,58.3
2016-04-01,58.9
