DATE,VALUE
2002-12-01,100.0
2003-01-01,100.0
2003-02-01,99.2
2003-03-01,104.1
2003-04-01,102.3
2003-05-01,105.3
2003-06-01,99.2
2003-07-01,94.7
2003-08-01,115.5
2003-09-01,111.0
2003-10-01,112.9
2003-11-01,108.9
2003-12-01,91.7
2004-01-01,94.9
2004-02-01,100.1
2004-03-01,96.1
2004-04-01,110.4
2004-05-01,102.2
2004-06-01,100.7
2004-07-01,112.1
2004-08-01,122.3
2004-09-01,121.9
2004-10-01,122.4
2004-11-01,104.8
2004-12-01,107.8
2005-01-01,108.3
2005-02-01,108.7
2005-03-01,99.8
2005-04-01,106.9
2005-05-01,107.5
2005-06-01,103.0
2005-07-01,108.4
2005-08-01,129.6
2005-09-01,144.8
2005-10-01,129.3
2005-11-01,107.5
2005-12-01,119.1
2006-01-01,110.6
2006-02-01,105.2
2006-03-01,116.4
2006-04-01,117.4
2006-05-01,113.9
2006-06-01,118.9
2006-07-01,128.1
2006-08-01,128.8
2006-09-01,142.8
2006-10-01,135.7
2006-11-01,111.1
2006-12-01,108.3
2007-01-01,105.0
2007-02-01,107.3
2007-03-01,107.5
2007-04-01,101.6
2007-05-01,104.3
2007-06-01,117.8
2007-07-01,112.8
2007-08-01,144.3
2007-09-01,159.5
2007-10-01,136.3
2007-11-01,125.3
2007-12-01,112.1
2008-01-01,119.6
2008-02-01,120.0
2008-03-01,116.0
2008-04-01,114.4
2008-05-01,126.3
2008-06-01,115.4
2008-07-01,117.1
2008-08-01,159.6
2008-09-01,153.7
2008-10-01,135.4
2008-11-01,141.8
2008-12-01,136.7
2009-01-01,128.4
2009-02-01,101.8
2009-03-01,102.4
2009-04-01,107.2
2009-05-01,105.0
2009-06-01,109.7
2009-07-01,107.4
2009-08-01,135.3
2009-09-01,133.3
2009-10-01,126.2
2009-11-01,113.3
2009-12-01,118.7
2010-01-01,114.1
2010-02-01,114.1
2010-03-01,114.6
2010-04-01,113.7
2010-05-01,117.1
2010-06-01,117.1
2010-07-01,118.1
2010-08-01,119.2
2010-09-01,125.1
2010-10-01,122.2
2010-11-01,107.0
2010-12-01,103.9
2011-01-01,104.5
2011-02-01,115.2
2011-03-01,118.8
2011-04-01,120.0
2011-05-01,130.8
2011-06-01,129.6
2011-07-01,127.3
2011-08-01,125.8
2011-09-01,123.7
2011-10-01,134.5
2011-11-01,134.6
2011-12-01,139.9
2012-01-01,146.4
2012-02-01,123.8
2012-03-01,118.5
2012-04-01,129.8
2012-05-01,134.3
2012-06-01,141.1
2012-07-01,140.8
2012-08-01,143.6
2012-09-01,139.5
2012-10-01,139.6
2012-11-01,134.9
2012-12-01,131.1
2013-01-01,135.5
2013-02-01,137.9
2013-03-01,134.6
2013-04-01,135.0
2013-05-01,134.5
2013-06-01,135.2
2013-07-01,132.7
2013-08-01,135.6
2013-09-01,133.0
2013-10-01,141.7
2013-11-01,135.3
2013-12-01,134.5
2014-01-01,133.9
2014-02-01,135.8
2014-03-01,130.9
2014-04-01,142.5
2014-05-01,146.5
2014-06-01,145.6
2014-07-01,137.5
2014-08-01,134.3
2014-09-01,136.1
2014-10-01,146.8
2014-11-01,137.6
2014-12-01,136.4
2015-01-01,121.2
2015-02-01,132.1
2015-03-01,146.1
2015-04-01,139.5
2015-05-01,151.9
2015-06-01,134.5
2015-07-01,135.1
2015-08-01,127.2
2015-09-01,127.2
2015-10-01,134.8
2015-11-01,134.9
2015-12-01,138.7
2016-01-01,135.6
2016-02-01,129.1
2016-03-01,136.7
2016-04-01,144.7
2016-05-01,149.2
2016-06-01,148.1
2016-07-01,142.9
2016-08-01,142.8
2016-09-01,141.6
