DATE,VALUE
1935-03-01,34.4
1935-07-01,32.9
1935-10-01,32.9
1936-01-01,32.9
1936-04-01,32.9
1936-07-01,32.9
1936-09-01,32.9
1936-12-01,32.9
1937-03-01,32.9
1937-06-01,32.9
1937-09-01,32.9
1937-12-01,32.9
1938-03-01,32.9
1938-06-01,32.9
1938-09-01,32.9
1938-12-01,32.9
1939-03-01,32.9
1939-06-01,32.9
1939-09-01,30.7
1939-12-01,30.7
1940-03-01,30.7
1940-06-01,30.7
1940-09-01,28.3
1940-12-01,28.3
1941-01-01,28.3
1941-02-01,28.3
1941-03-01,28.3
1941-04-01,28.3
1941-05-01,28.3
1941-06-01,28.3
1941-07-01,28.3
1941-08-01,28.3
1941-09-01,28.3
1941-10-01,28.3
1941-11-01,28.3
1941-12-01,28.7
1942-01-01,28.7
1942-02-01,28.7
1942-03-01,28.7
1942-04-01,28.7
1942-05-01,28.7
1942-06-01,28.7
1942-07-01,28.7
1942-08-01,28.7
1942-09-01,28.7
1942-10-01,28.7
1942-11-01,28.7
1942-12-01,28.7
1943-01-01,28.7
1943-02-01,28.7
1943-03-01,28.7
1943-04-01,28.7
1943-05-01,28.7
1943-06-01,28.7
1943-07-01,28.7
1943-08-01,28.7
1943-09-01,28.7
1943-10-01,28.7
1943-11-01,28.7
1943-12-01,28.7
1944-01-01,28.7
1944-02-01,28.7
1944-03-01,28.7
1944-04-01,27.5
1944-05-01,27.5
1944-06-01,27.5
1944-07-01,27.5
1944-08-01,27.5
1944-09-01,27.5
1944-10-01,27.5
1944-11-01,27.5
1944-12-01,27.5
1945-01-01,27.5
1945-02-01,27.5
1945-03-01,27.5
1945-04-01,27.5
1945-05-01,27.5
1945-06-01,27.5
1945-07-01,27.5
1945-08-01,27.5
1945-09-01,27.5
1945-10-01,27.5
1945-11-01,27.5
1945-12-01,27.5
1946-01-01,27.5
1946-02-01,27.5
1946-03-01,27.5
1946-04-01,27.5
1946-05-01,27.5
1946-06-01,27.5
1946-07-01,27.5
1946-08-01,27.5
1946-09-01,27.5
1946-10-01,27.5
1946-11-01,27.5
1946-12-01,27.5
1947-01-01,28.1
1947-02-01,28.1
1947-03-01,28.1
1947-04-01,28.1
1947-05-01,28.1
1947-06-01,28.5
1947-07-01,28.5
1947-08-01,28.5
1947-09-01,28.9
1947-10-01,28.9
1947-11-01,28.9
1947-12-01,28.9
1948-01-01,28.9
1948-02-01,28.9
1948-03-01,30.0
1948-04-01,30.0
1948-05-01,30.0
1948-06-01,30.0
1948-07-01,30.0
1948-08-01,30.0
1948-09-01,30.0
1948-10-01,30.0
1948-11-01,30.0
1948-12-01,30.0
1949-01-01,30.5
1949-02-01,30.5
1949-03-01,30.5
