DATE,VALUE
2003-12-01,100.0
2004-01-01,100.4
2004-02-01,101.1
2004-03-01,101.3
2004-04-01,101.6
2004-05-01,102.3
2004-06-01,103.0
2004-07-01,103.4
2004-08-01,103.7
2004-09-01,104.5
2004-10-01,105.0
2004-11-01,105.6
2004-12-01,105.5
2005-01-01,106.0
2005-02-01,106.1
2005-03-01,106.9
2005-04-01,107.6
2005-05-01,108.1
2005-06-01,108.7
2005-07-01,109.1
2005-08-01,109.4
2005-09-01,110.7
2005-10-01,112.1
2005-11-01,111.9
2005-12-01,111.2
2006-01-01,111.3
2006-02-01,111.2
2006-03-01,111.7
2006-04-01,112.3
2006-05-01,113.5
2006-06-01,113.8
2006-07-01,114.0
2006-08-01,114.7
2006-09-01,114.6
2006-10-01,113.8
2006-11-01,113.5
2006-12-01,113.5
2007-01-01,113.8
2007-02-01,113.5
2007-03-01,114.0
2007-04-01,115.0
2007-05-01,115.4
2007-06-01,115.5
2007-07-01,115.3
2007-08-01,115.5
2007-09-01,115.5
2007-10-01,116.1
2007-11-01,117.1
2007-12-01,117.8
2008-01-01,119.0
2008-02-01,119.3
2008-03-01,121.0
2008-04-01,122.4
2008-05-01,124.5
2008-06-01,126.6
2008-07-01,127.1
2008-08-01,126.6
2008-09-01,125.3
2008-10-01,124.2
2008-11-01,121.4
2008-12-01,119.1
2009-01-01,118.5
2009-02-01,117.7
2009-03-01,116.1
2009-04-01,116.5
2009-05-01,116.7
2009-06-01,117.1
2009-07-01,117.6
2009-08-01,117.5
2009-09-01,117.8
2009-10-01,117.4
2009-11-01,117.8
2009-12-01,117.2
2010-01-01,117.3
2010-02-01,117.6
2010-03-01,118.5
2010-04-01,118.9
2010-05-01,119.5
2010-06-01,119.4
2010-07-01,119.3
2010-08-01,119.4
2010-09-01,119.6
2010-10-01,120.1
2010-11-01,121.3
2010-12-01,121.4
2011-01-01,122.2
2011-02-01,123.7
2011-03-01,125.1
2011-04-01,126.6
2011-05-01,127.4
2011-06-01,126.9
2011-07-01,126.7
2011-08-01,126.7
2011-09-01,127.5
2011-10-01,127.5
2011-11-01,128.1
2011-12-01,128.2
2012-01-01,128.7
2012-02-01,129.1
2012-03-01,130.5
2012-04-01,130.9
2012-05-01,130.8
2012-06-01,130.0
2012-07-01,130.0
2012-08-01,131.2
2012-09-01,132.1
2012-10-01,132.2
2012-11-01,132.1
2012-12-01,132.2
2013-01-01,131.8
2013-02-01,132.4
2013-03-01,132.9
2013-04-01,132.2
2013-05-01,132.2
2013-06-01,132.8
2013-07-01,132.7
2013-08-01,132.9
2013-09-01,132.9
2013-10-01,133.0
2013-11-01,133.0
2013-12-01,133.3
2014-01-01,133.5
2014-02-01,133.5
2014-03-01,134.0
2014-04-01,135.0
2014-05-01,135.7
2014-06-01,135.8
2014-07-01,135.8
2014-08-01,135.8
2014-09-01,135.3
2014-10-01,134.8
2014-11-01,134.7
2014-12-01,134.5
2015-01-01,133.0
2015-02-01,132.1
2015-03-01,132.6
2015-04-01,132.3
2015-05-01,132.9
2015-06-01,133.0
2015-07-01,132.9
2015-08-01,132.2
2015-09-01,131.8
2015-10-01,131.4
2015-11-01,132.1
2015-12-01,131.7
2016-01-01,131.8
2016-02-01,131.3
2016-03-01,131.0
2016-04-01,131.3
2016-05-01,131.3
2016-06-01,131.5
2016-07-01,131.6
2016-08-01,131.2
2016-09-01,131.5
