DATE,VALUE
1957-01-01,21.4
1957-02-01,21.5
1957-03-01,21.7
1957-04-01,21.7
1957-05-01,21.8
1957-06-01,21.8
1957-07-01,22.0
1957-08-01,22.0
1957-09-01,22.1
1957-10-01,22.1
1957-11-01,22.3
1957-12-01,22.3
1958-01-01,22.4
1958-02-01,22.5
1958-03-01,22.6
1958-04-01,22.6
1958-05-01,22.7
1958-06-01,22.7
1958-07-01,22.8
1958-08-01,22.8
1958-09-01,22.9
1958-10-01,22.9
1958-11-01,22.9
1958-12-01,22.9
1959-01-01,23.1
1959-02-01,23.1
1959-03-01,23.2
1959-04-01,23.3
1959-05-01,23.3
1959-06-01,23.3
1959-07-01,23.4
1959-08-01,23.5
1959-09-01,23.6
1959-10-01,23.7
1959-11-01,23.7
1959-12-01,23.8
1960-01-01,23.8
1960-02-01,23.9
1960-03-01,24.0
1960-04-01,24.0
1960-05-01,24.1
1960-06-01,24.1
1960-07-01,24.2
1960-08-01,24.2
1960-09-01,24.3
1960-10-01,24.3
1960-11-01,24.4
1960-12-01,24.4
1961-01-01,24.5
1961-02-01,24.5
1961-03-01,24.6
1961-04-01,24.6
1961-05-01,24.7
1961-06-01,24.7
1961-07-01,24.7
1961-08-01,24.7
1961-09-01,24.8
1961-10-01,24.8
1961-11-01,24.8
1961-12-01,24.9
1962-01-01,25.0
1962-02-01,25.0
1962-03-01,25.1
1962-04-01,25.1
1962-05-01,25.2
1962-06-01,25.2
1962-07-01,25.2
1962-08-01,25.3
1962-09-01,25.3
1962-10-01,25.3
1962-11-01,25.3
1962-12-01,25.4
1963-01-01,25.5
1963-02-01,25.5
1963-03-01,25.5
1963-04-01,25.6
1963-05-01,25.6
1963-06-01,25.7
1963-07-01,25.7
1963-08-01,25.8
1963-09-01,25.8
1963-10-01,25.9
1963-11-01,25.9
1963-12-01,26.0
1964-01-01,26.0
1964-02-01,26.1
1964-03-01,26.1
1964-04-01,26.2
1964-05-01,26.2
1964-06-01,26.2
1964-07-01,26.3
1964-08-01,26.3
1964-09-01,26.3
1964-10-01,26.4
1964-11-01,26.4
1964-12-01,26.5
1965-01-01,26.6
1965-02-01,26.7
1965-03-01,26.7
1965-04-01,26.8
1965-05-01,26.8
1965-06-01,26.8
1965-07-01,26.9
1965-08-01,26.9
1965-09-01,27.1
1965-10-01,27.1
1965-11-01,27.2
1965-12-01,27.2
1966-01-01,27.3
1966-02-01,27.3
1966-03-01,27.4
1966-04-01,27.7
1966-05-01,27.8
1966-06-01,27.9
1966-07-01,28.1
1966-08-01,28.2
1966-09-01,28.3
1966-10-01,28.4
1966-11-01,28.6
1966-12-01,28.7
1967-01-01,28.8
1967-02-01,28.9
1967-03-01,29.0
1967-04-01,29.0
1967-05-01,29.2
1967-06-01,29.3
1967-07-01,29.3
1967-08-01,29.4
1967-09-01,29.6
1967-10-01,29.7
1967-11-01,29.8
1967-12-01,29.9
1968-01-01,30.1
1968-02-01,30.2
1968-03-01,30.4
1968-04-01,30.5
1968-05-01,30.6
1968-06-01,30.9
1968-07-01,31.1
1968-08-01,31.2
1968-09-01,31.4
1968-10-01,31.5
1968-11-01,31.7
1968-12-01,31.8
1969-01-01,32.1
1969-02-01,32.3
1969-03-01,32.6
1969-04-01,32.8
1969-05-01,33.0
1969-06-01,33.1
1969-07-01,33.3
1969-08-01,33.5
1969-09-01,33.8
1969-10-01,33.9
1969-11-01,34.1
1969-12-01,34.3
1970-01-01,34.6
1970-02-01,34.9
1970-03-01,35.3
1970-04-01,35.5
1970-05-01,35.7
1970-06-01,36.0
1970-07-01,36.1
1970-08-01,36.3
1970-09-01,36.6
1970-10-01,36.7
1970-11-01,37.0
1970-12-01,37.2
1971-01-01,37.4
1971-02-01,37.4
1971-03-01,37.4
1971-04-01,37.5
1971-05-01,37.7
1971-06-01,37.9
1971-07-01,38.1
1971-08-01,38.2
1971-09-01,38.4
1971-10-01,38.4
1971-11-01,38.5
1971-12-01,38.6
1972-01-01,38.9
1972-02-01,38.9
1972-03-01,39.0
1972-04-01,39.1
1972-05-01,39.2
1972-06-01,39.3
1972-07-01,39.4
1972-08-01,39.5
1972-09-01,39.6
1972-10-01,39.8
1972-11-01,39.9
1972-12-01,40.0
1973-01-01,40.1
1973-02-01,40.2
1973-03-01,40.3
1973-04-01,40.5
1973-05-01,40.6
1973-06-01,40.8
1973-07-01,40.9
1973-08-01,41.2
1973-09-01,41.6
1973-10-01,42.1
1973-11-01,42.2
1973-12-01,42.5
1974-01-01,42.7
1974-02-01,43.0
1974-03-01,43.3
1974-04-01,43.5
1974-05-01,44.0
1974-06-01,44.4
1974-07-01,44.9
1974-08-01,45.4
1974-09-01,45.9
1974-10-01,46.3
1974-11-01,46.7
1974-12-01,47.0
1975-01-01,47.3
1975-02-01,47.7
1975-03-01,47.9
1975-04-01,48.1
1975-05-01,48.2
1975-06-01,48.5
1975-07-01,48.8
1975-08-01,49.0
1975-09-01,49.5
1975-10-01,49.8
1975-11-01,50.3
1975-12-01,50.6
1976-01-01,51.2
1976-02-01,51.5
1976-03-01,51.8
1976-04-01,52.0
1976-05-01,52.1
1976-06-01,52.5
1976-07-01,52.8
1976-08-01,53.1
1976-09-01,53.5
1976-10-01,53.8
1976-11-01,54.0
1976-12-01,54.1
1977-01-01,54.6
1977-02-01,55.0
1977-03-01,55.3
1977-04-01,55.7
