DATE,VALUE
1988-01-01,273.0
1988-02-01,322.0
1988-03-01,357.0
1988-04-01,334.0
1988-05-01,264.0
1988-06-01,346.0
1988-07-01,316.0
1988-08-01,318.0
1988-09-01,267.0
1988-10-01,308.0
1988-11-01,252.0
1988-12-01,272.0
1989-01-01,305.0
1989-02-01,267.0
1989-03-01,243.0
1989-04-01,246.0
1989-05-01,244.0
1989-06-01,217.0
1989-07-01,195.0
1989-08-01,234.0
1989-09-01,235.0
1989-10-01,209.0
1989-11-01,318.0
1989-12-01,203.0
1990-01-01,222.0
1990-02-01,295.0
1990-03-01,209.0
1990-04-01,190.0
1990-05-01,205.0
1990-06-01,194.0
1990-07-01,188.0
1990-08-01,170.0
1990-09-01,157.0
1990-10-01,156.0
1990-11-01,179.0
1990-12-01,289.0
1991-01-01,144.0
1991-02-01,148.0
1991-03-01,140.0
1991-04-01,175.0
1991-05-01,183.0
1991-06-01,175.0
1991-07-01,216.0
1991-08-01,191.0
1991-09-01,216.0
1991-10-01,187.0
1991-11-01,172.0
1991-12-01,176.0
1992-01-01,225.0
1992-02-01,184.0
1992-03-01,217.0
1992-04-01,191.0
1992-05-01,180.0
1992-06-01,168.0
1992-07-01,237.0
1992-08-01,168.0
1992-09-01,160.0
1992-10-01,195.0
1992-11-01,200.0
1992-12-01,210.0
1993-01-01,190.0
1993-02-01,269.0
1993-03-01,201.0
1993-04-01,189.0
1993-05-01,188.0
1993-06-01,203.0
1993-07-01,177.0
1993-08-01,191.0
1993-09-01,219.0
1993-10-01,232.0
1993-11-01,197.0
1993-12-01,190.0
1994-01-01,237.0
1994-02-01,146.0
1994-03-01,168.0
1994-04-01,195.0
1994-05-01,183.0
1994-06-01,215.0
1994-07-01,196.0
1994-08-01,203.0
1994-09-01,207.0
1994-10-01,175.0
1994-11-01,194.0
1994-12-01,209.0
1995-01-01,171.0
1995-02-01,148.0
1995-03-01,180.0
1995-04-01,154.0
1995-05-01,181.0
1995-06-01,174.0
1995-07-01,159.0
1995-08-01,189.0
1995-09-01,172.0
1995-10-01,159.0
1995-11-01,202.0
1995-12-01,123.0
1996-01-01,154.0
1996-02-01,169.0
1996-03-01,170.0
1996-04-01,183.0
1996-05-01,184.0
1996-06-01,171.0
1996-07-01,183.0
1996-08-01,172.0
1996-09-01,160.0
1996-10-01,186.0
1996-11-01,169.0
1996-12-01,167.0
1997-01-01,239.0
1997-02-01,209.0
1997-03-01,184.0
1997-04-01,176.0
1997-05-01,167.0
1997-06-01,174.0
1997-07-01,181.0
1997-08-01,194.0
1997-09-01,193.0
1997-10-01,184.0
1997-11-01,201.0
1997-12-01,201.0
1998-01-01,207.0
1998-02-01,200.0
1998-03-01,220.0
1998-04-01,218.0
1998-05-01,174.0
1998-06-01,202.0
1998-07-01,222.0
1998-08-01,202.0
1998-09-01,180.0
1998-10-01,233.0
1998-11-01,223.0
1998-12-01,214.0
1999-01-01,232.0
1999-02-01,222.0
1999-03-01,216.0
1999-04-01,231.0
1999-05-01,222.0
1999-06-01,225.0
1999-07-01,233.0
1999-08-01,209.0
1999-09-01,213.0
1999-10-01,219.0
1999-11-01,207.0
1999-12-01,219.0
2000-01-01,202.0
2000-02-01,212.0
2000-03-01,232.0
2000-04-01,195.0
2000-05-01,190.0
2000-06-01,185.0
2000-07-01,183.0
2000-08-01,162.0
2000-09-01,175.0
2000-10-01,171.0
2000-11-01,173.0
2000-12-01,180.0
2001-01-01,197.0
2001-02-01,185.0
2001-03-01,170.0
2001-04-01,178.0
2001-05-01,190.0
2001-06-01,195.0
2001-07-01,181.0
2001-08-01,189.0
2001-09-01,170.0
2001-10-01,173.0
2001-11-01,185.0
2001-12-01,188.0
2002-01-01,277.0
2002-02-01,197.0
2002-03-01,189.0
2002-04-01,185.0
2002-05-01,178.0
2002-06-01,181.0
2002-07-01,155.0
2002-08-01,185.0
2002-09-01,165.0
2002-10-01,182.0
2002-11-01,171.0
2002-12-01,153.0
2003-01-01,142.0
2003-02-01,123.0
2003-03-01,156.0
2003-04-01,155.0
2003-05-01,170.0
2003-06-01,145.0
2003-07-01,168.0
2003-08-01,148.0
2003-09-01,194.0
2003-10-01,234.0
2003-11-01,187.0
2003-12-01,144.0
2004-01-01,183.0
2004-02-01,162.0
2004-03-01,180.0
2004-04-01,175.0
2004-05-01,163.0
2004-06-01,160.0
2004-07-01,170.0
2004-08-01,170.0
2004-09-01,158.0
2004-10-01,132.0
2004-11-01,149.0
2004-12-01,137.0
2005-01-01,138.0
2005-02-01,159.0
2005-03-01,134.0
2005-04-01,153.0
2005-05-01,157.0
2005-06-01,177.0
2005-07-01,162.0
2005-08-01,153.0
2005-09-01,153.0
2005-10-01,144.0
2005-11-01,122.0
2005-12-01,139.0
2006-01-01,220.0
2006-02-01,169.0
2006-03-01,145.0
2006-04-01,117.0
2006-05-01,113.0
2006-06-01,128.0
2006-07-01,114.0
2006-08-01,131.0
2006-09-01,88.0
2006-10-01,175.0
2006-11-01,140.0
2006-12-01,99.0
2007-01-01,206.0
2007-02-01,98.0
2007-03-01,144.0
2007-04-01,137.0
2007-05-01,122.0
2007-06-01,124.0
2007-07-01,104.0
2007-08-01,109.0
2007-09-01,106.0
2007-10-01,90.0
2007-11-01,96.0
2007-12-01,122.0
2008-01-01,96.0
2008-02-01,93.0
2008-03-01,57.0
2008-04-01,95.0
2008-05-01,80.0
2008-06-01,57.0
2008-07-01,84.0
2008-08-01,62.0
2008-09-01,63.0
2008-10-01,70.0
2008-11-01,52.0
2008-12-01,91.0
2009-01-01,40.0
2009-02-01,28.0
2009-03-01,45.0
2009-04-01,37.0
2009-05-01,63.0
2009-06-01,60.0
2009-07-01,56.0
2009-08-01,62.0
2009-09-01,56.0
2009-10-01,74.0
2009-11-01,89.0
2009-12-01,55.0
2010-01-01,90.0
2010-02-01,84.0
2010-03-01,71.0
2010-04-01,62.0
2010-05-01,60.0
2010-06-01,84.0
2010-07-01,53.0
2010-08-01,54.0
2010-09-01,65.0
2010-10-01,54.0
2010-11-01,48.0
2010-12-01,58.0
2011-01-01,42.0
2011-02-01,46.0
2011-03-01,58.0
2011-04-01,53.0
2011-05-01,46.0
2011-06-01,44.0
2011-07-01,52.0
2011-08-01,49.0
2011-09-01,55.0
2011-10-01,42.0
2011-11-01,52.0
2011-12-01,47.0
2012-01-01,71.0
2012-02-01,45.0
2012-03-01,50.0
2012-04-01,55.0
2012-05-01,52.0
2012-06-01,51.0
2012-07-01,58.0
2012-08-01,66.0
2012-09-01,52.0
2012-10-01,52.0
2012-11-01,54.0
2012-12-01,65.0
2013-01-01,65.0
2013-02-01,116.0
2013-03-01,61.0
2013-04-01,70.0
2013-05-01,68.0
2013-06-01,63.0
2013-07-01,62.0
2013-08-01,65.0
2013-09-01,48.0
2013-10-01,83.0
2013-11-01,72.0
2013-12-01,66.0
2014-01-01,68.0
2014-02-01,48.0
2014-03-01,73.0
2014-04-01,68.0
2014-05-01,73.0
2014-06-01,77.0
2014-07-01,80.0
2014-08-01,60.0
2014-09-01,64.0
2014-10-01,77.0
2014-11-01,54.0
2014-12-01,77.0
2015-01-01,61.0
2015-02-01,30.0
2015-03-01,58.0
2015-04-01,66.0
2015-05-01,62.0
2015-06-01,90.0
2015-07-01,66.0
2015-08-01,72.0
2015-09-01,79.0
2015-10-01,65.0
2015-11-01,86.0
2015-12-01,68.0
2016-01-01,83.0
2016-02-01,86.0
2016-03-01,83.0
2016-04-01,66.0
2016-05-01,74.0
2016-06-01,66.0
2016-07-01,59.0
2016-08-01,73.0
