DATE,VALUE
1996-01-01,100.0
1996-02-01,100.0
1996-03-01,100.0
1996-04-01,100.0
1996-05-01,100.0
1996-06-01,100.0
1996-07-01,100.0
1996-08-01,100.0
1996-09-01,100.0
1996-10-01,100.0
1996-11-01,100.0
1996-12-01,100.0
1997-01-01,128.21
1997-02-01,128.21
1997-03-01,128.21
1997-04-01,128.21
1997-05-01,128.21
1997-06-01,128.21
1997-07-01,128.21
1997-08-01,128.21
1997-09-01,128.21
1997-10-01,128.21
1997-11-01,225.64
1997-12-01,225.64
1998-01-01,225.64
1998-02-01,225.64
1998-03-01,225.64
1998-04-01,225.64
1998-05-01,225.64
1998-06-01,225.64
1998-07-01,225.64
1998-08-01,225.64
1998-09-01,225.64
1998-10-01,225.64
1998-11-01,225.64
1998-12-01,225.64
1999-01-01,161.54
1999-02-01,161.54
1999-03-01,161.54
1999-04-01,161.54
1999-05-01,161.54
1999-06-01,161.54
1999-07-01,161.54
1999-08-01,161.54
1999-09-01,161.54
1999-10-01,161.54
1999-11-01,161.54
1999-12-01,161.54
2000-01-01,161.54
2000-02-01,161.54
2000-03-01,161.54
2000-04-01,161.54
2000-05-01,161.54
2000-06-01,161.54
2000-07-01,161.54
2000-08-01,161.54
2000-09-01,161.54
2000-10-01,161.54
2000-11-01,161.54
2000-12-01,161.54
2001-01-01,161.54
2001-02-01,161.54
2001-03-01,161.54
2001-04-01,161.54
2001-05-01,161.54
2001-06-01,161.54
2001-07-01,161.54
2001-08-01,161.54
2001-09-01,161.54
2001-10-01,161.54
2001-11-01,153.85
2001-12-01,153.85
2002-01-01,153.85
2002-02-01,153.85
2002-03-01,153.85
2002-04-01,153.85
2002-05-01,153.85
2002-06-01,153.85
2002-07-01,156.41
2002-08-01,156.41
2002-09-01,156.41
2002-10-01,164.1
2002-11-01,164.1
2002-12-01,164.1
