DATE,VALUE
1982-02-01,91.7
1982-04-01,91.5
1982-06-01,92.8
1982-08-01,94.3
1982-10-01,96.9
1982-12-01,97.2
1983-02-01,98.4
1983-04-01,99.5
1983-06-01,99.7
1983-08-01,101.2
1983-10-01,102.9
1983-12-01,103.2
1984-02-01,104.0
1984-04-01,105.0
1984-06-01,105.2
1984-08-01,105.7
1984-10-01,107.5
1984-12-01,107.5
1985-02-01,108.6
1985-04-01,109.9
1985-06-01,109.3
1985-08-01,109.8
1985-10-01,112.0
1985-12-01,111.2
1986-02-01,112.3
1986-04-01,113.5
1986-06-01,113.5
1986-08-01,113.8
1986-10-01,114.9
1986-12-01,114.8
