DATE,VALUE
1990-01-01,10.2
1990-02-01,10.2
1990-03-01,10.2
1990-04-01,10.4
1990-05-01,10.3
1990-06-01,10.3
1990-07-01,10.3
1990-08-01,10.3
1990-09-01,10.4
1990-10-01,10.7
1990-11-01,10.5
1990-12-01,10.5
1991-01-01,10.8
1991-02-01,11.5
1991-03-01,11.5
1991-04-01,11.0
1991-05-01,11.2
1991-06-01,11.1
1991-07-01,11.4
1991-08-01,11.4
1991-09-01,11.4
1991-10-01,11.4
1991-11-01,11.4
1991-12-01,11.3
1992-01-01,11.0
1992-02-01,10.9
1992-03-01,11.0
1992-04-01,10.8
1992-05-01,10.9
1992-06-01,10.8
1992-07-01,11.0
1992-08-01,11.1
1992-09-01,11.0
1992-10-01,11.0
1992-11-01,11.0
1992-12-01,11.0
1993-01-01,11.2
1993-02-01,11.1
1993-03-01,11.1
1993-04-01,11.0
1993-05-01,10.9
1993-06-01,11.0
1993-07-01,11.0
1993-08-01,10.9
1993-09-01,10.9
1993-10-01,10.9
1993-11-01,11.0
1993-12-01,11.0
1994-01-01,11.0
1994-02-01,10.9
1994-03-01,10.9
1994-04-01,11.1
1994-05-01,11.1
1994-06-01,11.0
1994-07-01,10.9
1994-08-01,10.9
1994-09-01,11.0
1994-10-01,10.9
1994-11-01,10.9
1994-12-01,11.1
1995-01-01,10.9
1995-02-01,11.0
1995-03-01,10.9
1995-04-01,11.1
1995-05-01,11.1
1995-06-01,11.1
1995-07-01,11.0
1995-08-01,11.0
1995-09-01,11.0
1995-10-01,11.1
1995-11-01,11.1
1995-12-01,11.0
1996-01-01,11.0
1996-02-01,11.1
1996-03-01,11.3
1996-04-01,10.9
1996-05-01,11.0
1996-06-01,10.8
1996-07-01,11.1
1996-08-01,11.2
1996-09-01,11.2
1996-10-01,11.2
1996-11-01,11.2
1996-12-01,11.2
1997-01-01,11.5
1997-02-01,11.6
1997-03-01,11.7
1997-04-01,11.8
1997-05-01,11.9
1997-06-01,11.9
1997-07-01,11.5
1997-08-01,11.7
1997-09-01,11.7
1997-10-01,12.2
1997-11-01,11.8
