DATE,VALUE
2012-06-01,100.0
2012-07-01,100.2
2012-08-01,100.3
2012-09-01,99.6
2012-10-01,99.7
2012-11-01,99.8
2012-12-01,99.8
2013-01-01,100.1
2013-02-01,99.9
2013-03-01,100.1
2013-04-01,100.1
2013-05-01,100.1
2013-06-01,100.2
2013-07-01,100.1
2013-08-01,100.3
2013-09-01,100.3
2013-10-01,100.5
2013-11-01,100.5
2013-12-01,100.6
2014-01-01,100.6
2014-02-01,100.7
2014-03-01,100.7
2014-04-01,100.8
2014-05-01,101.0
2014-06-01,100.8
2014-07-01,100.8
2014-08-01,100.6
2014-09-01,100.6
2014-10-01,100.6
2014-11-01,100.7
2014-12-01,100.8
2015-01-01,100.7
2015-02-01,100.6
2015-03-01,100.6
2015-04-01,100.6
2015-05-01,100.5
2015-06-01,100.5
2015-07-01,100.5
2015-08-01,100.5
2015-09-01,100.4
2015-10-01,100.3
2015-11-01,100.3
2015-12-01,100.3
2016-01-01,100.2
2016-02-01,100.1
2016-03-01,100.0
2016-04-01,100.0
2016-05-01,100.0
2016-06-01,100.0
2016-07-01,99.9
2016-08-01,99.9
2016-09-01,99.8
