DATE,VALUE
1991-12-01,100.0
1992-01-01,100.0
1992-02-01,100.0
1992-03-01,99.9
1992-04-01,99.0
1992-05-01,99.3
1992-06-01,99.3
1992-07-01,99.4
1992-08-01,99.7
1992-09-01,99.6
1992-10-01,100.5
1992-11-01,100.9
1992-12-01,100.9
1993-01-01,101.1
1993-02-01,100.7
1993-03-01,100.8
1993-04-01,101.3
1993-05-01,101.2
1993-06-01,100.8
1993-07-01,101.4
1993-08-01,101.4
1993-09-01,101.6
1993-10-01,101.2
1993-11-01,101.2
1993-12-01,101.3
1994-01-01,101.3
1994-02-01,101.3
1994-03-01,101.3
1994-04-01,102.5
1994-05-01,102.5
1994-06-01,102.7
1994-07-01,103.0
1994-08-01,102.6
1994-09-01,102.6
1994-10-01,103.2
1994-11-01,103.7
1994-12-01,103.9
1995-01-01,104.1
1995-02-01,104.5
1995-03-01,104.5
1995-04-01,104.5
1995-05-01,104.4
1995-06-01,104.7
1995-07-01,104.7
1995-08-01,104.7
1995-09-01,105.4
1995-10-01,105.4
1995-11-01,105.5
1995-12-01,105.4
1996-01-01,105.5
1996-02-01,105.7
1996-03-01,105.5
1996-04-01,105.5
1996-05-01,105.2
1996-06-01,105.0
1996-07-01,105.6
1996-08-01,105.9
1996-09-01,105.8
1996-10-01,105.7
1996-11-01,104.9
1996-12-01,106.2
1997-01-01,106.6
1997-02-01,106.6
1997-03-01,106.2
1997-04-01,106.2
1997-05-01,106.2
1997-06-01,106.2
1997-07-01,107.3
1997-08-01,107.3
1997-09-01,107.1
1997-10-01,107.4
1997-11-01,108.5
1997-12-01,108.6
1998-01-01,109.2
1998-02-01,109.2
1998-03-01,109.2
1998-04-01,109.4
1998-05-01,109.4
1998-06-01,109.4
1998-07-01,108.6
1998-08-01,108.6
1998-09-01,108.6
1998-10-01,108.9
1998-11-01,109.2
1998-12-01,109.2
1999-01-01,110.5
1999-02-01,110.5
1999-03-01,110.5
1999-04-01,110.5
1999-05-01,108.9
1999-06-01,108.9
1999-07-01,108.2
1999-08-01,107.7
1999-09-01,107.8
1999-10-01,107.9
1999-11-01,108.0
1999-12-01,108.7
2000-01-01,109.5
2000-02-01,109.0
2000-03-01,108.9
2000-04-01,108.9
2000-05-01,109.7
2000-06-01,108.6
2000-07-01,108.4
2000-08-01,108.4
2000-09-01,108.5
2000-10-01,108.5
2000-11-01,108.4
