DATE,VALUE
2002-12-18,29801.0
2002-12-25,30407.0
2003-01-01,30230.0
2003-01-08,29631.0
2003-01-15,29642.0
2003-01-22,29934.0
2003-01-29,29471.0
2003-02-05,29894.0
2003-02-12,30064.0
2003-02-19,30391.0
2003-02-26,30120.0
2003-03-05,30288.0
2003-03-12,30218.0
2003-03-19,30315.0
2003-03-26,30199.0
2003-04-02,30460.0
2003-04-09,30647.0
2003-04-16,30719.0
2003-04-23,30695.0
2003-04-30,30915.0
2003-05-07,30828.0
2003-05-14,30699.0
2003-05-21,30818.0
2003-05-28,31229.0
2003-06-04,30856.0
2003-06-11,31052.0
2003-06-18,31148.0
2003-06-25,30961.0
2003-07-02,31145.0
2003-07-09,31416.0
2003-07-16,30764.0
2003-07-23,30999.0
2003-07-30,30733.0
2003-08-06,30925.0
2003-08-13,30442.0
2003-08-20,30477.0
2003-08-27,30480.0
2003-09-03,30956.0
2003-09-10,30531.0
2003-09-17,30558.0
2003-09-24,30058.0
2003-10-01,30666.0
2003-10-08,30726.0
2003-10-15,31494.0
2003-10-22,31169.0
2003-10-29,31509.0
2003-11-05,32146.0
2003-11-12,32389.0
2003-11-19,32709.0
2003-11-26,33290.0
2003-12-03,33258.0
2003-12-10,33880.0
2003-12-17,34390.0
2003-12-24,35104.0
2003-12-31,35449.0
2004-01-07,34425.0
2004-01-14,34431.0
2004-01-21,34791.0
2004-01-28,35133.0
2004-02-04,35587.0
2004-02-11,35558.0
2004-02-18,36062.0
2004-02-25,35687.0
2004-03-03,35676.0
2004-03-10,35889.0
2004-03-17,36244.0
2004-03-24,36990.0
2004-03-31,37151.0
2004-04-07,37022.0
2004-04-14,36943.0
2004-04-21,36913.0
2004-04-28,37018.0
2004-05-05,37248.0
2004-05-12,37016.0
2004-05-19,37042.0
2004-05-26,37159.0
2004-06-02,37562.0
2004-06-09,37360.0
2004-06-16,37044.0
2004-06-23,36786.0
2004-06-30,37396.0
2004-07-07,37517.0
2004-07-14,37013.0
2004-07-21,37130.0
2004-07-28,37071.0
2004-08-04,37854.0
2004-08-11,37701.0
2004-08-18,37447.0
2004-08-25,37111.0
2004-09-01,37301.0
2004-09-08,37466.0
2004-09-15,37248.0
2004-09-22,37133.0
2004-09-29,37166.0
2004-10-06,37167.0
2004-10-13,37503.0
2004-10-20,36952.0
2004-10-27,36781.0
2004-11-03,36699.0
2004-11-10,36724.0
2004-11-17,36572.0
2004-11-24,36880.0
2004-12-01,36805.0
2004-12-08,36322.0
2004-12-15,36333.0
2004-12-22,36688.0
2004-12-29,36549.0
2005-01-05,36349.0
2005-01-12,35821.0
2005-01-19,36186.0
2005-01-26,35991.0
2005-02-02,36367.0
2005-02-09,36413.0
2005-02-16,36280.0
2005-02-23,36449.0
2005-03-02,35940.0
2005-03-09,35611.0
2005-03-16,35603.0
2005-03-23,35392.0
2005-03-30,35315.0
2005-04-06,35342.0
2005-04-13,34981.0
2005-04-20,34877.0
2005-04-27,34941.0
2005-05-04,35030.0
2005-05-11,34953.0
2005-05-18,34435.0
2005-05-25,34260.0
2005-06-01,34660.0
2005-06-08,34407.0
2005-06-15,34128.0
2005-06-22,35042.0
2005-06-29,35625.0
2005-07-06,36570.0
2005-07-13,37505.0
2005-07-20,38283.0
2005-07-27,38673.0
2005-08-03,38123.0
2005-08-10,37483.0
2005-08-17,35504.0
2005-08-24,33961.0
2005-08-31,33506.0
2005-09-07,34469.0
2005-09-14,34285.0
2005-09-21,34255.0
2005-09-28,34668.0
2005-10-05,34468.0
2005-10-12,34296.0
2005-10-19,33716.0
2005-10-26,33279.0
2005-11-02,33712.0
2005-11-09,34030.0
2005-11-16,35034.0
2005-11-23,35958.0
2005-11-30,35464.0
2005-12-07,35615.0
2005-12-14,35397.0
2005-12-21,35700.0
2005-12-28,36443.0
2006-01-04,36444.0
2006-01-11,35533.0
2006-01-18,35960.0
