DATE,VALUE
1990-01-01,881.0
1990-02-01,870.0
1990-03-01,889.0
1990-04-01,901.0
1990-05-01,926.0
1990-06-01,937.0
1990-07-01,947.0
1990-08-01,896.0
1990-09-01,910.0
1990-10-01,906.0
1990-11-01,870.0
1990-12-01,906.0
1991-01-01,834.0
1991-02-01,829.0
1991-03-01,876.0
1991-04-01,887.0
1991-05-01,909.0
1991-06-01,952.0
1991-07-01,909.0
1991-08-01,883.0
1991-09-01,880.0
1991-10-01,886.0
1991-11-01,850.0
1991-12-01,859.0
1992-01-01,817.0
1992-02-01,825.0
1992-03-01,840.0
1992-04-01,831.0
1992-05-01,861.0
1992-06-01,900.0
1992-07-01,884.0
1992-08-01,860.0
1992-09-01,905.0
1992-10-01,900.0
1992-11-01,881.0
1992-12-01,861.0
1993-01-01,847.0
1993-02-01,829.0
1993-03-01,854.0
1993-04-01,840.0
1993-05-01,888.0
1993-06-01,908.0
1993-07-01,868.0
1993-08-01,835.0
1993-09-01,822.0
1993-10-01,833.0
1993-11-01,827.0
1993-12-01,839.0
1994-01-01,794.0
1994-02-01,824.0
1994-03-01,825.0
1994-04-01,833.0
1994-05-01,841.0
1994-06-01,869.0
1994-07-01,814.0
1994-08-01,796.0
1994-09-01,789.0
1994-10-01,822.0
1994-11-01,826.0
1994-12-01,833.0
1995-01-01,844.0
1995-02-01,907.0
1995-03-01,917.0
1995-04-01,915.0
1995-05-01,930.0
1995-06-01,986.0
1995-07-01,920.0
1995-08-01,901.0
1995-09-01,911.0
1995-10-01,926.0
1995-11-01,891.0
1995-12-01,897.0
1996-01-01,837.0
1996-02-01,873.0
1996-03-01,864.0
1996-04-01,889.0
1996-05-01,894.0
1996-06-01,907.0
1996-07-01,848.0
1996-08-01,847.0
1996-09-01,891.0
1996-10-01,889.0
1996-11-01,862.0
1996-12-01,838.0
1997-01-01,838.0
1997-02-01,840.0
1997-03-01,827.0
1997-04-01,851.0
1997-05-01,883.0
1997-06-01,910.0
1997-07-01,870.0
1997-08-01,870.0
1997-09-01,904.0
1997-10-01,899.0
1997-11-01,876.0
1997-12-01,895.0
1998-01-01,759.0
1998-02-01,759.0
1998-03-01,762.0
1998-04-01,834.0
1998-05-01,864.0
1998-06-01,914.0
1998-07-01,857.0
1998-08-01,838.0
1998-09-01,837.0
1998-10-01,799.0
1998-11-01,800.0
1998-12-01,806.0
1999-01-01,796.0
1999-02-01,783.0
1999-03-01,775.0
1999-04-01,821.0
1999-05-01,856.0
1999-06-01,907.0
1999-07-01,871.0
1999-08-01,860.0
1999-09-01,842.0
1999-10-01,800.0
1999-11-01,792.0
1999-12-01,791.0
2000-01-01,715.0
2000-02-01,730.0
2000-03-01,721.0
2000-04-01,738.0
2000-05-01,773.0
2000-06-01,822.0
2000-07-01,792.0
2000-08-01,749.0
2000-09-01,757.0
2000-10-01,786.0
2000-11-01,756.0
2000-12-01,803.0
2001-01-01,781.0
2001-02-01,766.0
2001-03-01,778.0
2001-04-01,805.0
2001-05-01,806.0
2001-06-01,809.0
2001-07-01,818.0
2001-08-01,770.0
2001-09-01,787.0
2001-10-01,799.0
2001-11-01,765.0
2001-12-01,760.0
2002-01-01,785.0
2002-02-01,769.0
2002-03-01,752.0
2002-04-01,784.0
2002-05-01,794.0
2002-06-01,817.0
2002-07-01,783.0
2002-08-01,758.0
2002-09-01,752.0
2002-10-01,782.0
2002-11-01,770.0
2002-12-01,735.0
2003-01-01,754.0
2003-02-01,763.0
2003-03-01,767.0
2003-04-01,781.0
2003-05-01,804.0
2003-06-01,821.0
2003-07-01,817.0
2003-08-01,784.0
2003-09-01,806.0
2003-10-01,793.0
2003-11-01,786.0
2003-12-01,766.0
2004-01-01,782.0
2004-02-01,774.0
2004-03-01,794.0
2004-04-01,756.0
2004-05-01,763.0
2004-06-01,803.0
2004-07-01,797.0
2004-08-01,754.0
2004-09-01,726.0
2004-10-01,766.0
2004-11-01,767.0
2004-12-01,776.0
2005-01-01,759.0
2005-02-01,741.0
2005-03-01,752.0
2005-04-01,746.0
2005-05-01,735.0
2005-06-01,775.0
2005-07-01,741.0
2005-08-01,712.0
2005-09-01,739.0
2005-10-01,752.0
2005-11-01,730.0
2005-12-01,721.0
2006-01-01,727.0
2006-02-01,717.0
2006-03-01,712.0
2006-04-01,831.0
2006-05-01,797.0
2006-06-01,849.0
2006-07-01,699.0
2006-08-01,674.0
2006-09-01,706.0
2006-10-01,702.0
2006-11-01,687.0
2006-12-01,712.0
2007-01-01,660.0
2007-02-01,650.0
2007-03-01,678.0
2007-04-01,659.0
2007-05-01,673.0
2007-06-01,726.0
2007-07-01,739.0
2007-08-01,693.0
2007-09-01,721.0
2007-10-01,713.0
2007-11-01,718.0
2007-12-01,738.0
2008-01-01,699.0
2008-02-01,686.0
2008-03-01,705.0
2008-04-01,691.0
2008-05-01,706.0
2008-06-01,766.0
2008-07-01,748.0
2008-08-01,746.0
2008-09-01,723.0
2008-10-01,753.0
2008-11-01,762.0
2008-12-01,776.0
2009-01-01,733.0
2009-02-01,722.0
2009-03-01,723.0
2009-04-01,708.0
2009-05-01,729.0
2009-06-01,746.0
2009-07-01,747.0
2009-08-01,729.0
2009-09-01,738.0
2009-10-01,720.0
2009-11-01,746.0
2009-12-01,750.0
2010-01-01,810.0
2010-02-01,831.0
2010-03-01,832.0
2010-04-01,793.0
2010-05-01,785.0
2010-06-01,834.0
2010-07-01,863.0
2010-08-01,841.0
2010-09-01,879.0
2010-10-01,841.0
2010-11-01,821.0
2010-12-01,794.0
2011-01-01,827.0
2011-02-01,835.0
2011-03-01,851.0
2011-04-01,803.0
2011-05-01,817.0
2011-06-01,860.0
2011-07-01,848.0
2011-08-01,844.0
2011-09-01,864.0
2011-10-01,859.0
2011-11-01,864.0
2011-12-01,836.0
2012-01-01,845.0
2012-02-01,826.0
2012-03-01,850.0
2012-04-01,849.0
2012-05-01,863.0
2012-06-01,925.0
2012-07-01,889.0
2012-08-01,865.0
2012-09-01,938.0
2012-10-01,922.0
2012-11-01,920.0
2012-12-01,898.0
2013-01-01,870.0
2013-02-01,872.0
2013-03-01,891.0
2013-04-01,900.0
2013-05-01,908.0
2013-06-01,926.0
2013-07-01,902.0
2013-08-01,874.0
2013-09-01,935.0
2013-10-01,939.0
2013-11-01,944.0
2013-12-01,935.0
2014-01-01,886.0
2014-02-01,839.0
2014-03-01,867.0
2014-04-01,877.0
2014-05-01,857.0
2014-06-01,902.0
2014-07-01,866.0
2014-08-01,876.0
2014-09-01,943.0
2014-10-01,962.0
2014-11-01,971.0
2014-12-01,925.0
2015-01-01,921.0
2015-02-01,932.0
2015-03-01,950.0
2015-04-01,917.0
2015-05-01,902.0
2015-06-01,958.0
2015-07-01,892.0
2015-08-01,907.0
2015-09-01,942.0
2015-10-01,949.0
2015-11-01,937.0
2015-12-01,899.0
2016-01-01,883.0
2016-02-01,900.0
2016-03-01,932.0
2016-04-01,920.0
2016-05-01,903.0
2016-06-01,928.0
2016-07-01,910.0
2016-08-01,947.0
