DATE,VALUE
1997-12-01,100.0
1998-01-01,101.2
1998-02-01,100.9
1998-03-01,101.6
1998-04-01,101.1
1998-05-01,99.8
1998-06-01,101.3
1998-07-01,100.6
1998-08-01,100.5
1998-09-01,101.1
1998-10-01,101.2
1998-11-01,101.0
1998-12-01,101.1
1999-01-01,101.7
1999-02-01,101.7
1999-03-01,101.3
1999-04-01,101.7
1999-05-01,102.4
1999-06-01,102.1
1999-07-01,102.3
1999-08-01,102.2
1999-09-01,103.1
1999-10-01,103.4
1999-11-01,102.9
1999-12-01,103.0
2000-01-01,104.0
2000-02-01,103.9
2000-03-01,104.0
2000-04-01,103.8
2000-05-01,103.3
2000-06-01,103.7
2000-07-01,103.7
2000-08-01,103.6
2000-09-01,103.7
2000-10-01,103.5
2000-11-01,104.0
2000-12-01,104.2
2001-01-01,104.4
2001-02-01,104.2
2001-03-01,104.2
2001-04-01,103.6
2001-05-01,104.1
2001-06-01,104.5
2001-07-01,103.9
2001-08-01,104.3
2001-09-01,104.5
2001-10-01,104.4
2001-11-01,104.3
2001-12-01,105.3
2002-01-01,105.6
2002-02-01,106.0
2002-03-01,105.5
2002-04-01,106.5
2002-05-01,104.9
2002-06-01,105.7
2002-07-01,106.9
2002-08-01,106.5
2002-09-01,106.2
2002-10-01,107.2
2002-11-01,106.7
2002-12-01,107.0
2003-01-01,106.8
2003-02-01,107.8
2003-03-01,108.8
2003-04-01,108.1
2003-05-01,107.5
2003-06-01,108.1
2003-07-01,108.2
2003-08-01,108.0
2003-09-01,107.4
2003-10-01,108.0
2003-11-01,108.1
2003-12-01,107.3
2004-01-01,108.0
2004-02-01,109.0
2004-03-01,108.6
2004-04-01,108.1
2004-05-01,108.0
2004-06-01,108.1
2004-07-01,108.6
2004-08-01,109.1
2004-09-01,108.4
2004-10-01,107.6
2004-11-01,109.3
2004-12-01,107.5
2005-01-01,108.1
2005-02-01,108.7
2005-03-01,108.1
2005-04-01,108.9
2005-05-01,108.1
2005-06-01,109.8
2005-07-01,111.5
2005-08-01,108.5
2005-09-01,109.9
2005-10-01,109.9
2005-11-01,110.6
2005-12-01,111.4
2006-01-01,111.5
2006-02-01,109.3
2006-03-01,112.1
2006-04-01,112.8
2006-05-01,111.4
2006-06-01,112.1
2006-07-01,113.7
2006-08-01,113.1
2006-09-01,111.8
2006-10-01,112.5
2006-11-01,113.0
2006-12-01,113.1
2007-01-01,114.541
2007-02-01,113.538
2007-03-01,113.869
2007-04-01,115.485
2007-05-01,114.793
2007-06-01,115.618
2007-07-01,117.071
2007-08-01,117.427
2007-09-01,117.126
2007-10-01,116.278
2007-11-01,118.601
2007-12-01,118.555
2008-01-01,118.794
2008-02-01,119.131
2008-03-01,120.592
2008-04-01,122.458
2008-05-01,122.203
2008-06-01,122.562
2008-07-01,123.834
2008-08-01,123.594
2008-09-01,124.609
2008-10-01,124.635
2008-11-01,126.857
2008-12-01,128.689
2009-01-01,130.309
2009-02-01,130.193
2009-03-01,129.751
2009-04-01,130.703
2009-05-01,129.538
2009-06-01,130.307
2009-07-01,128.336
2009-08-01,128.719
2009-09-01,129.887
2009-10-01,129.953
2009-11-01,131.924
2009-12-01,132.313
2010-01-01,131.33
2010-02-01,132.935
2010-03-01,130.874
2010-04-01,131.922
2010-05-01,133.549
2010-06-01,131.714
2010-07-01,132.588
2010-08-01,131.848
2010-09-01,133.442
2010-10-01,133.547
2010-11-01,131.801
2010-12-01,134.049
2011-01-01,131.854
2011-02-01,133.675
2011-03-01,134.657
2011-04-01,132.969
2011-05-01,133.95
2011-06-01,135.935
2011-07-01,135.102
2011-08-01,136.979
2011-09-01,140.357
2011-10-01,140.325
2011-11-01,137.607
2011-12-01,138.172
2012-01-01,139.15
2012-02-01,139.448
2012-03-01,141.613
2012-04-01,141.995
2012-05-01,140.251
2012-06-01,141.604
2012-07-01,142.171
2012-08-01,141.117
2012-09-01,141.766
2012-10-01,141.439
2012-11-01,140.022
2012-12-01,140.308
2013-01-01,141.18
2013-02-01,138.897
2013-03-01,139.908
2013-04-01,139.089
2013-05-01,138.744
2013-06-01,140.605
2013-07-01,139.786
2013-08-01,137.602
2013-09-01,138.548
2013-10-01,140.124
2013-11-01,140.768
2013-12-01,139.408
2014-01-01,139.111
2014-02-01,139.178
2014-03-01,141.225
2014-04-01,139.456
2014-05-01,138.311
2014-06-01,138.234
2014-07-01,137.451
2014-08-01,138.271
2014-09-01,141.222
2014-10-01,140.921
2014-11-01,141.043
2014-12-01,141.883
2015-01-01,143.191
2015-02-01,145.625
2015-03-01,145.808
2015-04-01,142.936
2015-05-01,145.266
2015-06-01,144.555
2015-07-01,145.299
2015-08-01,145.817
2015-09-01,146.961
2015-10-01,146.318
2015-11-01,146.485
2015-12-01,145.966
2016-01-01,144.334
2016-02-01,144.378
2016-03-01,145.691
2016-04-01,145.464
2016-05-01,144.792
2016-06-01,145.095
2016-07-01,145.185
2016-08-01,145.329
