DATE,VALUE
1952-01-01,31.2
1952-02-01,30.7
1952-03-01,30.7
1952-04-01,30.8
1952-05-01,30.8
1952-06-01,30.6
1952-07-01,30.8
1952-08-01,30.9
1952-09-01,30.8
1952-10-01,30.8
1952-11-01,31.2
1952-12-01,30.9
1953-01-01,30.6
1953-02-01,30.2
1953-03-01,30.3
1953-04-01,30.1
1953-05-01,30.1
1953-06-01,30.4
1953-07-01,30.1
1953-08-01,30.3
1953-09-01,30.4
1953-10-01,30.4
1953-11-01,30.2
1953-12-01,30.3
1954-01-01,30.5
1954-02-01,30.4
1954-03-01,30.3
1954-04-01,30.3
1954-05-01,30.4
1954-06-01,30.2
1954-07-01,30.2
1954-08-01,30.1
1954-09-01,29.8
1954-10-01,29.8
1954-11-01,29.9
1954-12-01,29.6
1955-01-01,29.6
1955-02-01,29.8
1955-03-01,29.8
1955-04-01,29.8
1955-05-01,29.6
1955-06-01,29.4
1955-07-01,29.4
1955-08-01,29.3
1955-09-01,29.5
1955-10-01,29.4
1955-11-01,29.3
1955-12-01,29.3
1956-01-01,29.1
1956-02-01,29.1
1956-03-01,29.1
1956-04-01,29.2
1956-05-01,29.4
1956-06-01,29.9
1956-07-01,30.1
1956-08-01,29.9
1956-09-01,29.9
1956-10-01,30.0
1956-11-01,30.1
1956-12-01,30.1
1957-01-01,30.1
1957-02-01,30.4
1957-03-01,30.2
1957-04-01,30.3
1957-05-01,30.4
1957-06-01,30.6
1957-07-01,30.8
1957-08-01,31.2
1957-09-01,30.9
1957-10-01,30.8
1957-11-01,30.8
1957-12-01,30.9
1958-01-01,31.6
1958-02-01,31.8
1958-03-01,32.4
1958-04-01,32.5
1958-05-01,32.4
1958-06-01,32.2
1958-07-01,32.0
1958-08-01,32.0
1958-09-01,31.8
1958-10-01,31.7
1958-11-01,31.8
1958-12-01,31.6
1959-01-01,31.7
1959-02-01,31.4
1959-03-01,31.2
1959-04-01,31.1
1959-05-01,31.0
1959-06-01,31.2
1959-07-01,31.2
1959-08-01,31.1
1959-09-01,31.1
1959-10-01,31.2
1959-11-01,31.1
1959-12-01,31.1
1960-01-01,31.0
1960-02-01,30.9
1960-03-01,31.0
1960-04-01,31.4
1960-05-01,31.5
1960-06-01,31.5
1960-07-01,31.4
1960-08-01,31.5
1960-09-01,31.5
1960-10-01,31.8
1960-11-01,32.0
1960-12-01,32.1
1961-01-01,32.0
1961-02-01,32.0
1961-03-01,32.0
1961-04-01,31.9
1961-05-01,31.8
1961-06-01,31.6
1961-07-01,31.7
1961-08-01,31.7
1961-09-01,31.7
1961-10-01,31.7
1961-11-01,31.5
1961-12-01,31.6
1962-01-01,31.7
1962-02-01,31.9
1962-03-01,32.0
1962-04-01,32.0
1962-05-01,32.0
1962-06-01,31.9
1962-07-01,31.7
1962-08-01,31.8
1962-09-01,32.3
1962-10-01,32.2
1962-11-01,32.2
1962-12-01,32.0
1963-01-01,32.4
1963-02-01,32.4
1963-03-01,32.3
1963-04-01,32.2
1963-05-01,32.2
1963-06-01,32.3
1963-07-01,32.5
1963-08-01,32.5
1963-09-01,32.4
1963-10-01,32.3
1963-11-01,32.5
1963-12-01,32.5
1964-01-01,32.7
1964-02-01,32.6
1964-03-01,32.6
1964-04-01,32.6
1964-05-01,32.6
1964-06-01,32.7
1964-07-01,32.7
1964-08-01,32.7
1964-09-01,32.9
1964-10-01,33.0
1964-11-01,33.1
1964-12-01,33.0
1965-01-01,32.8
1965-02-01,32.8
1965-03-01,32.9
1965-04-01,33.1
1965-05-01,33.4
1965-06-01,34.0
1965-07-01,34.0
1965-08-01,33.7
1965-09-01,33.7
1965-10-01,33.8
1965-11-01,33.9
1965-12-01,34.2
1966-01-01,34.4
1966-02-01,35.0
1966-03-01,35.3
1966-04-01,35.4
1966-05-01,35.2
1966-06-01,35.1
1966-07-01,34.9
1966-08-01,35.5
1966-09-01,35.6
1966-10-01,35.6
1966-11-01,35.5
1966-12-01,35.3
1967-01-01,35.1
1967-02-01,35.0
1967-03-01,34.9
1967-04-01,34.7
1967-05-01,34.7
1967-06-01,35.0
1967-07-01,35.2
1967-08-01,35.3
1967-09-01,35.3
1967-10-01,35.4
1967-11-01,35.4
1967-12-01,35.6
1968-01-01,35.6
1968-02-01,35.8
1968-03-01,35.9
1968-04-01,36.0
1968-05-01,36.1
1968-06-01,36.1
1968-07-01,36.2
1968-08-01,36.3
1968-09-01,36.5
1968-10-01,36.9
1968-11-01,36.8
1968-12-01,37.0
1969-01-01,37.0
1969-02-01,37.0
1969-03-01,37.1
1969-04-01,37.3
1969-05-01,37.5
1969-06-01,38.0
1969-07-01,38.2
1969-08-01,38.4
1969-09-01,38.6
1969-10-01,38.7
1969-11-01,39.1
1969-12-01,39.6
1970-01-01,39.6
1970-02-01,39.9
1970-03-01,39.8
1970-04-01,39.8
1970-05-01,40.0
1970-06-01,39.9
1970-07-01,39.9
1970-08-01,39.9
1970-09-01,40.1
1970-10-01,40.2
1970-11-01,40.1
1970-12-01,40.1
1971-01-01,39.9
1971-02-01,40.0
1971-03-01,40.3
1971-04-01,40.7
1971-05-01,40.9
1971-06-01,41.1
1971-07-01,41.1
1971-08-01,41.1
1971-09-01,41.1
1971-10-01,41.2
1971-11-01,41.3
1971-12-01,41.9
1972-01-01,41.7
1972-02-01,42.3
1972-03-01,42.3
1972-04-01,42.2
1972-05-01,42.3
1972-06-01,42.4
1972-07-01,42.6
1972-08-01,42.7
1972-09-01,43.1
1972-10-01,43.4
1972-11-01,43.7
1972-12-01,43.9
1973-01-01,44.8
1973-02-01,45.6
1973-03-01,47.0
1973-04-01,47.8
1973-05-01,48.5
1973-06-01,49.1
1973-07-01,49.1
1973-08-01,52.6
1973-09-01,52.3
1973-10-01,52.4
1973-11-01,53.1
1973-12-01,53.6
1974-01-01,54.3
1974-02-01,55.8
1974-03-01,56.3
1974-04-01,56.0
1974-05-01,56.5
1974-06-01,56.3
1974-07-01,55.9
1974-08-01,56.7
1974-09-01,58.1
1974-10-01,58.8
1974-11-01,59.5
1974-12-01,60.2
1975-01-01,60.4
1975-02-01,60.4
1975-03-01,60.3
1975-04-01,60.1
1975-05-01,60.3
1975-06-01,61.1
1975-07-01,62.5
1975-08-01,62.3
1975-09-01,62.7
1975-10-01,63.3
1975-11-01,63.7
1975-12-01,64.1
1976-01-01,63.7
1976-02-01,63.0
1976-03-01,62.4
1976-04-01,62.4
1976-05-01,62.6
1976-06-01,62.7
1976-07-01,62.9
1976-08-01,63.1
1976-09-01,63.4
1976-10-01,63.7
1976-11-01,63.5
1976-12-01,63.5
1977-01-01,63.8
1977-02-01,65.3
1977-03-01,65.7
1977-04-01,66.5
1977-05-01,66.6
1977-06-01,67.1
1977-07-01,67.2
1977-08-01,67.4
1977-09-01,67.6
1977-10-01,67.7
1977-11-01,68.4
1977-12-01,68.5
1978-01-01,69.2
1978-02-01,70.0
1978-03-01,71.0
1978-04-01,72.4
1978-05-01,73.7
1978-06-01,74.9
1978-07-01,75.1
1978-08-01,75.1
1978-09-01,75.4
1978-10-01,76.0
1978-11-01,76.5
1978-12-01,76.9
1979-01-01,78.5
1979-02-01,80.0
1979-03-01,80.6
1979-04-01,81.1
1979-05-01,81.8
1979-06-01,82.0
1979-07-01,82.3
1979-08-01,81.9
1979-09-01,82.5
1979-10-01,83.0
1979-11-01,83.5
1979-12-01,84.3
1980-01-01,84.8
1980-02-01,84.7
1980-03-01,85.4
1980-04-01,85.9
1980-05-01,86.4
1980-06-01,86.8
1980-07-01,87.9
1980-08-01,89.8
1980-09-01,91.0
1980-10-01,91.7
1980-11-01,92.8
1980-12-01,93.3
1981-01-01,93.4
1981-02-01,93.6
1981-03-01,94.1
1981-04-01,94.1
1981-05-01,93.9
1981-06-01,94.3
1981-07-01,95.1
1981-08-01,95.6
1981-09-01,96.0
1981-10-01,96.0
1981-11-01,96.0
1981-12-01,96.2
1982-01-01,96.4
1982-02-01,97.4
1982-03-01,97.0
1982-04-01,97.1
1982-05-01,98.1
1982-06-01,99.3
1982-07-01,99.2
1982-08-01,98.6
1982-09-01,98.7
1982-10-01,98.6
1982-11-01,98.5
1982-12-01,98.2
1983-01-01,97.9
1983-02-01,98.0
1983-03-01,98.7
1983-04-01,99.0
1983-05-01,99.4
1983-06-01,99.4
1983-07-01,99.3
1983-08-01,99.2
1983-09-01,99.6
1983-10-01,99.7
1983-11-01,99.6
1983-12-01,100.0
1984-01-01,101.7
1984-02-01,102.5
1984-03-01,102.7
1984-04-01,102.5
1984-05-01,102.0
1984-06-01,102.5
1984-07-01,102.6
1984-08-01,103.3
1984-09-01,103.1
1984-10-01,103.3
1984-11-01,103.4
1984-12-01,103.7
1985-01-01,103.8
1985-02-01,104.3
1985-03-01,104.6
1985-04-01,104.2
1985-05-01,103.8
1985-06-01,104.0
1985-07-01,104.0
1985-08-01,103.8
1985-09-01,104.0
1985-10-01,103.9
1985-11-01,104.8
1985-12-01,105.9
1986-01-01,105.9
1986-02-01,105.6
1986-03-01,105.7
1986-04-01,105.8
1986-05-01,106.2
1986-06-01,106.1
1986-07-01,107.2
1986-08-01,108.5
1986-09-01,108.4
1986-10-01,108.8
1986-11-01,109.4
1986-12-01,109.7
1987-01-01,110.2
1987-02-01,110.6
1987-03-01,110.7
1987-04-01,110.9
1987-05-01,111.7
1987-06-01,112.5
1987-07-01,112.1
1987-08-01,112.3
1987-09-01,112.6
1987-10-01,112.8
1987-11-01,112.7
1987-12-01,113.4
1988-01-01,113.9
1988-02-01,113.7
1988-03-01,113.7
1988-04-01,114.4
1988-05-01,114.9
1988-06-01,115.7
1988-07-01,117.3
1988-08-01,118.1
1988-09-01,118.9
1988-10-01,119.1
1988-11-01,119.2
1988-12-01,119.8
1989-01-01,120.3
1989-02-01,121.3
1989-03-01,122.3
1989-04-01,123.1
1989-05-01,124.1
1989-06-01,124.5
1989-07-01,124.9
1989-08-01,125.2
1989-09-01,125.4
1989-10-01,126.0
1989-11-01,126.6
1989-12-01,127.1
1990-01-01,129.8
1990-02-01,131.3
1990-03-01,131.1
1990-04-01,130.5
1990-05-01,130.6
1990-06-01,131.9
1990-07-01,132.8
1990-08-01,133.2
1990-09-01,133.6
1990-10-01,134.2
1990-11-01,134.6
1990-12-01,134.4
1991-01-01,135.0
1991-02-01,135.0
1991-03-01,135.2
1991-04-01,136.2
1991-05-01,136.7
1991-06-01,137.7
1991-07-01,136.3
1991-08-01,135.3
1991-09-01,135.4
1991-10-01,135.0
1991-11-01,135.8
1991-12-01,136.0
1992-01-01,135.2
1992-02-01,136.0
1992-03-01,136.6
1992-04-01,136.4
1992-05-01,135.9
1992-06-01,136.3
1992-07-01,136.1
1992-08-01,137.4
1992-09-01,138.2
1992-10-01,138.1
1992-11-01,137.7
1992-12-01,137.7
1993-01-01,138.1
1993-02-01,138.6
1993-03-01,138.5
1993-04-01,139.0
1993-05-01,140.5
1993-06-01,139.7
1993-07-01,139.6
1993-08-01,140.3
1993-09-01,140.6
1993-10-01,141.4
1993-11-01,141.8
1993-12-01,142.5
1994-01-01,142.7
1994-02-01,142.3
1994-03-01,142.1
1994-04-01,142.3
1994-05-01,142.8
1994-06-01,143.4
1994-07-01,144.6
1994-08-01,145.3
1994-09-01,145.4
1994-10-01,145.3
1994-11-01,145.5
1994-12-01,147.3
1995-01-01,147.0
1995-02-01,147.7
1995-03-01,147.1
1995-04-01,148.7
1995-05-01,148.7
1995-06-01,148.7
1995-07-01,148.8
1995-08-01,148.8
1995-09-01,149.5
1995-10-01,149.9
1995-11-01,149.8
1995-12-01,150.3
1996-01-01,150.9
1996-02-01,151.3
1996-03-01,152.2
1996-04-01,152.9
1996-05-01,152.5
1996-06-01,153.9
1996-07-01,154.4
1996-08-01,155.0
1996-09-01,155.9
1996-10-01,156.9
1996-11-01,157.6
1996-12-01,157.7
1997-01-01,156.9
1997-02-01,157.7
1997-03-01,157.6
1997-04-01,157.3
1997-05-01,157.5
1997-06-01,157.7
1997-07-01,157.9
1997-08-01,158.6
1997-09-01,158.8
1997-10-01,159.0
1997-11-01,159.3
1997-12-01,159.3
1998-01-01,160.3
1998-02-01,160.0
1998-03-01,160.2
1998-04-01,160.2
1998-05-01,160.8
1998-06-01,160.5
1998-07-01,160.9
1998-08-01,161.4
1998-09-01,161.2
1998-10-01,162.5
1998-11-01,162.7
1998-12-01,162.8
1999-01-01,163.4
1999-02-01,163.8
1999-03-01,163.4
1999-04-01,163.6
1999-05-01,164.0
1999-06-01,163.9
1999-07-01,163.9
1999-08-01,164.1
1999-09-01,164.7
1999-10-01,165.1
1999-11-01,165.4
1999-12-01,165.5
2000-01-01,165.3
2000-02-01,166.1
2000-03-01,166.4
2000-04-01,166.6
2000-05-01,167.4
2000-06-01,167.5
2000-07-01,168.5
2000-08-01,169.0
2000-09-01,169.1
2000-10-01,169.0
2000-11-01,169.2
2000-12-01,170.2
2001-01-01,170.4
2001-02-01,171.6
2001-03-01,172.1
2001-04-01,172.5
2001-05-01,172.8
2001-06-01,173.5
2001-07-01,174.0
2001-08-01,174.4
2001-09-01,174.4
2001-10-01,175.1
2001-11-01,175.1
2001-12-01,174.7
2002-01-01,175.4
2002-02-01,175.7
2002-03-01,176.2
2002-04-01,176.7
2002-05-01,175.5
2002-06-01,175.2
2002-07-01,175.3
2002-08-01,175.1
2002-09-01,175.4
2002-10-01,175.0
2002-11-01,175.7
2002-12-01,175.9
2003-01-01,176.0
2003-02-01,177.2
2003-03-01,177.5
2003-04-01,177.6
2003-05-01,177.9
2003-06-01,179.2
2003-07-01,179.0
2003-08-01,180.0
2003-09-01,180.5
2003-10-01,181.4
2003-11-01,182.7
2003-12-01,183.9
2004-01-01,183.3
2004-02-01,183.7
2004-03-01,184.1
2004-04-01,184.3
2004-05-01,186.6
2004-06-01,187.0
2004-07-01,187.2
2004-08-01,187.0
2004-09-01,186.4
2004-10-01,187.7
2004-11-01,188.6
2004-12-01,188.4
2005-01-01,188.1
2005-02-01,187.7
2005-03-01,188.1
2005-04-01,190.0
2005-05-01,190.2
2005-06-01,189.6
2005-07-01,190.0
2005-08-01,189.8
2005-09-01,190.2
2005-10-01,190.6
2005-11-01,191.4
2005-12-01,191.7
2006-01-01,192.5
2006-02-01,192.2
2006-03-01,192.3
2006-04-01,191.8
2006-05-01,191.8
2006-06-01,192.4
2006-07-01,192.8
2006-08-01,193.4
2006-09-01,194.3
2006-10-01,194.8
2006-11-01,194.6
2006-12-01,194.4
2007-01-01,195.918
2007-02-01,197.735
2007-03-01,198.816
2007-04-01,199.25
2007-05-01,200.237
2007-06-01,201.151
2007-07-01,201.596
2007-08-01,202.338
2007-09-01,203.3
2007-10-01,204.081
2007-11-01,205.119
2007-12-01,205.503
2008-01-01,207.1
2008-02-01,207.854
2008-03-01,208.093
2008-04-01,210.897
2008-05-01,211.8
2008-06-01,213.331
2008-07-01,216.028
2008-08-01,217.449
2008-09-01,218.757
2008-10-01,219.532
2008-11-01,219.662
2008-12-01,219.163
2009-01-01,218.953
2009-02-01,217.93
2009-03-01,216.949
2009-04-01,215.807
2009-05-01,215.064
2009-06-01,214.953
2009-07-01,214.047
2009-08-01,213.769
2009-09-01,213.299
2009-10-01,213.472
2009-11-01,213.383
2009-12-01,213.839
2010-01-01,214.738
2010-02-01,214.728
2010-03-01,215.55
2010-04-01,215.721
2010-05-01,215.717
2010-06-01,215.476
2010-07-01,215.451
2010-08-01,215.361
2010-09-01,216.166
2010-10-01,216.534
2010-11-01,217.105
2010-12-01,217.419
2011-01-01,219.251
2011-02-01,220.732
2011-03-01,223.193
2011-04-01,224.098
2011-05-01,225.295
2011-06-01,225.857
2011-07-01,227.178
2011-08-01,228.492
2011-09-01,229.927
2011-10-01,229.992
2011-11-01,229.947
2011-12-01,230.424
2012-01-01,230.934
2012-02-01,230.705
2012-03-01,231.207
2012-04-01,231.595
2012-05-01,231.434
2012-06-01,231.802
2012-07-01,231.602
2012-08-01,231.805
2012-09-01,231.747
2012-10-01,232.201
2012-11-01,232.837
2012-12-01,233.301
2013-01-01,233.512
