DATE,VALUE
1985-01-01,106.92593
1985-02-01,114.69938
1985-03-01,79.5883
1985-04-01,73.37599
1985-05-01,75.60223
1985-06-01,43.14037
1985-07-01,73.39828
1985-08-01,91.57682
1985-09-01,80.44558
1985-10-01,92.56246
1985-11-01,57.91248
1985-12-01,65.76479
1986-01-01,91.10532
1986-02-01,96.9687
1986-03-01,86.90678
1986-04-01,69.22338
1986-05-01,93.35433
1986-06-01,58.49303
1986-07-01,85.99985
1986-08-01,91.52786
1986-09-01,119.69023
1986-10-01,76.77757
1986-11-01,64.25986
1986-12-01,78.66562
1987-01-01,74.68278
1987-02-01,67.59734
1987-03-01,36.30468
1987-04-01,70.42709
1987-05-01,81.23486
1987-06-01,72.81967
1987-07-01,61.87546
1987-08-01,28.53686
1987-09-01,59.65667
1987-10-01,125.18193
1987-11-01,137.51591
1987-12-01,117.40723
1988-01-01,88.00508
1988-02-01,74.21217
1988-03-01,57.29202
1988-04-01,61.04705
1988-05-01,48.37899
1988-06-01,43.19214
1988-07-01,56.56838
1988-08-01,82.51412
1988-09-01,62.3847
1988-10-01,61.03736
1988-11-01,123.8537
1988-12-01,57.62167
1989-01-01,47.27501
1989-02-01,40.65642
1989-03-01,69.56888
1989-04-01,59.65726
1989-05-01,88.94497
1989-06-01,64.56142
1989-07-01,69.98061
1989-08-01,61.02228
1989-09-01,59.10855
1989-10-01,76.84035
1989-11-01,75.00902
1989-12-01,57.92606
1990-01-01,90.4678
1990-02-01,77.06073
1990-03-01,92.68954
1990-04-01,109.27045
1990-05-01,130.70743
1990-06-01,164.17133
1990-07-01,88.38757
1990-08-01,116.57484
1990-09-01,118.00336
1990-10-01,166.11519
1990-11-01,148.14755
1990-12-01,123.48669
1991-01-01,182.07408
1991-02-01,129.96606
1991-03-01,145.0634
1991-04-01,128.06712
1991-05-01,92.58369
1991-06-01,93.4729
1991-07-01,90.35233
1991-08-01,76.42751
1991-09-01,115.77345
1991-10-01,133.40712
1991-11-01,112.89115
1991-12-01,137.79466
1992-01-01,127.42577
1992-02-01,114.88916
1992-03-01,136.23381
1992-04-01,114.84097
1992-05-01,73.99919
1992-06-01,101.01933
1992-07-01,74.15174
1992-08-01,64.91373
1992-09-01,205.45927
1992-10-01,254.35391
1992-11-01,132.29358
1992-12-01,112.21631
1993-01-01,102.59225
1993-02-01,91.44818
1993-03-01,120.15467
1993-04-01,89.43316
1993-05-01,108.10472
1993-06-01,86.66849
1993-07-01,121.66068
1993-08-01,109.61594
1993-09-01,128.02313
1993-10-01,124.16987
1993-11-01,105.74963
1993-12-01,92.60973
1994-01-01,76.55685
1994-02-01,69.11225
1994-03-01,140.49455
1994-04-01,161.95825
1994-05-01,115.25819
1994-06-01,186.3149
1994-07-01,132.9912
1994-08-01,133.95895
1994-09-01,126.11412
1994-10-01,88.68997
1994-11-01,93.3871
1994-12-01,101.59999
1995-01-01,194.27142
1995-02-01,126.4516
1995-03-01,162.71977
1995-04-01,128.56146
1995-05-01,96.17799
1995-06-01,102.16714
1995-07-01,109.08842
1995-08-01,63.02978
1995-09-01,135.6433
1995-10-01,241.13225
1995-11-01,240.97379
1995-12-01,191.77512
1996-01-01,212.95316
1996-02-01,107.99321
1996-03-01,202.92085
1996-04-01,118.0784
1996-05-01,122.1422
1996-06-01,118.05817
1996-07-01,103.0493
1996-08-01,125.92288
1996-09-01,97.34151
1996-10-01,184.98788
1996-11-01,136.50169
1996-12-01,94.35479
1997-01-01,101.64338
1997-02-01,79.92737
1997-03-01,127.80497
1997-04-01,66.19479
1997-05-01,108.81663
1997-06-01,73.33614
1997-07-01,44.0364
1997-08-01,61.28613
1997-09-01,55.58456
1997-10-01,68.98654
1997-11-01,83.78521
1997-12-01,85.26064
1998-01-01,119.92242
1998-02-01,119.86056
1998-03-01,88.21996
1998-04-01,79.16267
1998-05-01,107.92609
1998-06-01,102.99039
1998-07-01,112.55695
1998-08-01,168.67477
1998-09-01,142.73442
1998-10-01,195.25143
1998-11-01,152.68307
1998-12-01,112.93669
1999-01-01,101.68861
1999-02-01,67.56765
1999-03-01,30.09706
1999-04-01,45.12118
1999-05-01,57.52396
1999-06-01,67.041
1999-07-01,65.48011
1999-08-01,30.96128
1999-09-01,62.31437
1999-10-01,44.70095
1999-11-01,51.08799
1999-12-01,60.98645
2000-01-01,46.92811
2000-02-01,45.72284
2000-03-01,39.32267
2000-04-01,53.17447
2000-05-01,54.20769
2000-06-01,45.04951
2000-07-01,40.84016
2000-08-01,55.05391
2000-09-01,45.26046
2000-10-01,58.57308
2000-11-01,90.43128
2000-12-01,65.83185
2001-01-01,99.13819
2001-02-01,77.28691
2001-03-01,128.28313
2001-04-01,108.59222
2001-05-01,106.47536
2001-06-01,50.36757
2001-07-01,83.31136
2001-08-01,73.99868
2001-09-01,194.6783
2001-10-01,215.94151
2001-11-01,183.88478
2001-12-01,119.71716
2002-01-01,122.81771
2002-02-01,84.73721
2002-03-01,89.63251
2002-04-01,82.18275
2002-05-01,70.72486
2002-06-01,92.48936
2002-07-01,94.11073
2002-08-01,120.20204
2002-09-01,119.03201
2002-10-01,167.8322
2002-11-01,137.45602
2002-12-01,94.86824
2003-01-01,162.84676
2003-02-01,175.13614
2003-03-01,195.87244
2003-04-01,138.47827
2003-05-01,125.34247
2003-06-01,98.47302
2003-07-01,76.99554
2003-08-01,61.89989
2003-09-01,71.95837
2003-10-01,85.79253
2003-11-01,82.73161
2003-12-01,55.94576
2004-01-01,56.39822
2004-02-01,77.56686
2004-03-01,68.03522
2004-04-01,55.97213
2004-05-01,80.09578
2004-06-01,71.94154
2004-07-01,60.72385
2004-08-01,72.17057
2004-09-01,73.89449
2004-10-01,62.54638
2004-11-01,89.412
2004-12-01,47.26328
2005-01-01,45.85582
2005-02-01,40.44013
2005-03-01,43.26983
2005-04-01,90.73813
2005-05-01,96.505
2005-06-01,61.12975
2005-07-01,59.32299
2005-08-01,54.65928
2005-09-01,72.60363
2005-10-01,80.48523
2005-11-01,81.47585
2005-12-01,49.71947
2006-01-01,70.63406
2006-02-01,81.58021
2006-03-01,61.46333
2006-04-01,61.7146
2006-05-01,61.25887
2006-06-01,61.3036
2006-07-01,58.82196
2006-08-01,55.00618
2006-09-01,59.16387
2006-10-01,54.64143
2006-11-01,80.3029
2006-12-01,44.75126
2007-01-01,53.39283
2007-02-01,69.19994
2007-03-01,74.0842
2007-04-01,52.7989
2007-05-01,70.11593
2007-06-01,51.59319
2007-07-01,50.65945
2007-08-01,60.79076
2007-09-01,75.69238
2007-10-01,72.28291
2007-11-01,82.84082
2007-12-01,97.91312
2008-01-01,112.48676
2008-02-01,132.20689
2008-03-01,104.61991
2008-04-01,102.56182
2008-05-01,82.21619
2008-06-01,76.64591
2008-07-01,70.8819
2008-08-01,100.20487
2008-09-01,184.16751
2008-10-01,360.29565
2008-11-01,267.13577
2008-12-01,268.98602
2009-01-01,250.743
2009-02-01,193.66957
2009-03-01,166.9875
2009-04-01,136.46243
2009-05-01,120.57724
2009-06-01,91.76109
2009-07-01,91.27557
2009-08-01,96.65852
2009-09-01,93.4132
2009-10-01,110.39066
2009-11-01,127.5927
2009-12-01,102.30807
2010-01-01,118.83469
2010-02-01,97.1227
2010-03-01,141.96585
2010-04-01,103.85632
2010-05-01,143.36072
2010-06-01,139.38206
2010-07-01,153.93521
2010-08-01,144.82898
2010-09-01,202.23102
2010-10-01,211.82932
2010-11-01,182.55609
2010-12-01,142.25426
2011-01-01,128.3674
2011-02-01,180.77666
2011-03-01,172.45854
2011-04-01,142.33188
2011-05-01,171.89311
2011-06-01,161.53824
2011-07-01,203.41888
2011-08-01,337.30731
2011-09-01,280.67029
2011-10-01,300.83356
2011-11-01,399.84625
2011-12-01,309.37491
2012-01-01,235.51642
2012-02-01,184.25955
2012-03-01,187.77971
2012-04-01,173.85983
2012-05-01,258.17249
2012-06-01,249.10641
2012-07-01,187.67165
2012-08-01,177.2663
2012-09-01,211.17249
2012-10-01,218.48059
2012-11-01,382.53922
2012-12-01,238.72571
2013-01-01,223.52661
2013-02-01,174.39272
2013-03-01,258.24167
2013-04-01,206.5309
2013-05-01,220.81041
2013-06-01,143.97372
2013-07-01,135.83992
2013-08-01,143.07607
2013-09-01,133.10944
2013-10-01,264.0228
2013-11-01,135.22498
2013-12-01,132.9837
2014-01-01,132.78745
2014-02-01,165.5119
2014-03-01,199.52417
2014-04-01,123.92581
2014-05-01,126.08412
2014-06-01,111.1764
2014-07-01,143.09218
2014-08-01,155.50932
2014-09-01,140.3446
2014-10-01,159.83575
2014-11-01,216.45084
2014-12-01,147.49512
2015-01-01,286.05151
2015-02-01,240.58942
2015-03-01,131.63589
2015-04-01,177.39941
2015-05-01,213.99815
2015-06-01,174.02782
2015-07-01,179.12131
2015-08-01,176.80305
2015-09-01,205.35664
2015-10-01,199.5714
2015-11-01,142.00075
2015-12-01,128.38042
2016-01-01,156.00354
2016-02-01,186.64317
2016-03-01,218.51526
2016-04-01,156.83357
2016-05-01,151.52386
2016-06-01,276.66891
2016-07-01,260.12512
2016-08-01,235.51364
2016-09-01,160.43784
