DATE,VALUE
1978-01-01,52.8
1978-02-01,53.3
1978-03-01,53.8
1978-04-01,54.2
1978-05-01,54.9
1978-06-01,55.3
1978-07-01,55.8
1978-08-01,56.3
1978-09-01,56.7
1978-10-01,57.1
1978-11-01,57.6
1978-12-01,58.1
1979-01-01,58.4
1979-02-01,58.9
1979-03-01,59.3
1979-04-01,59.9
1979-05-01,60.3
1979-06-01,61.0
1979-07-01,61.4
1979-08-01,61.8
1979-09-01,62.4
1979-10-01,63.0
1979-11-01,63.5
1979-12-01,64.5
1980-01-01,65.0
1980-02-01,65.9
1980-03-01,66.6
1980-04-01,67.3
1980-05-01,68.2
1980-06-01,68.9
1980-07-01,69.8
1980-08-01,70.7
1980-09-01,71.6
1980-10-01,72.6
1980-11-01,73.3
1980-12-01,73.9
1981-01-01,74.8
1981-02-01,75.5
1981-03-01,76.6
1981-04-01,77.1
1981-05-01,77.4
1981-06-01,78.6
1981-07-01,79.1
1981-08-01,80.3
1981-09-01,81.3
1981-10-01,82.5
1981-11-01,83.8
1981-12-01,84.3
1982-01-01,85.4
1982-02-01,86.1
1982-03-01,87.0
1982-04-01,88.1
1982-05-01,89.0
1982-06-01,89.9
1982-07-01,91.0
1982-08-01,91.8
1982-09-01,92.6
1982-10-01,93.2
1982-11-01,94.3
1982-12-01,95.0
1983-01-01,95.6
1983-02-01,97.3
1983-03-01,98.0
1983-04-01,98.6
1983-05-01,99.4
1983-06-01,100.2
1983-07-01,100.9
1983-08-01,101.9
1983-09-01,102.7
1983-10-01,103.2
1983-11-01,103.9
1983-12-01,104.8
1984-01-01,105.4
1984-02-01,106.4
1984-03-01,106.9
1984-04-01,107.6
1984-05-01,108.2
1984-06-01,108.9
1984-07-01,109.7
1984-08-01,110.1
1984-09-01,110.6
1984-10-01,111.4
1984-11-01,112.2
1984-12-01,112.6
1985-01-01,113.3
1985-02-01,113.6
1985-03-01,114.2
1985-04-01,114.7
1985-05-01,115.4
1985-06-01,116.1
1985-07-01,116.1
1985-08-01,116.5
1985-09-01,116.9
1985-10-01,117.4
1985-11-01,117.7
1985-12-01,118.3
1986-01-01,119.0
1986-02-01,119.7
1986-03-01,120.4
1986-04-01,121.0
1986-05-01,121.5
1986-06-01,122.3
1986-07-01,122.8
1986-08-01,123.6
1986-09-01,124.2
1986-10-01,125.1
1986-11-01,125.7
1986-12-01,126.6
1987-01-01,127.0
1987-02-01,127.4
1987-03-01,128.1
1987-04-01,129.1
1987-05-01,130.0
1987-06-01,130.9
1987-07-01,131.6
1987-08-01,132.2
1987-09-01,133.0
1987-10-01,133.6
1987-11-01,134.6
1987-12-01,135.6
1988-01-01,136.6
1988-02-01,137.7
1988-03-01,138.9
1988-04-01,140.1
1988-05-01,141.7
1988-06-01,142.4
1988-07-01,144.0
1988-08-01,145.2
1988-09-01,146.5
1988-10-01,147.7
1988-11-01,148.7
1988-12-01,150.2
1989-01-01,151.6
1989-02-01,153.4
1989-03-01,154.3
1989-04-01,155.6
1989-05-01,156.8
1989-06-01,158.4
1989-07-01,159.9
1989-08-01,161.3
1989-09-01,163.5
1989-10-01,164.6
1989-11-01,166.3
1989-12-01,167.1
1990-01-01,168.1
1990-02-01,169.0
1990-03-01,170.8
1990-04-01,172.1
1990-05-01,173.4
1990-06-01,175.0
1990-07-01,176.5
1990-08-01,178.6
1990-09-01,180.0
1990-10-01,181.6
1990-11-01,183.4
1990-12-01,184.8
1991-01-01,186.4
1991-02-01,187.9
1991-03-01,189.2
1991-04-01,190.3
1991-05-01,191.5
1991-06-01,192.8
1991-07-01,194.1
1991-08-01,195.7
1991-09-01,196.9
1991-10-01,198.3
1991-11-01,200.0
1991-12-01,201.6
1992-01-01,203.3
1992-02-01,205.0
1992-03-01,206.7
1992-04-01,208.0
1992-05-01,209.5
1992-06-01,210.9
1992-07-01,212.4
1992-08-01,213.6
1992-09-01,215.1
1992-10-01,216.6
1992-11-01,218.1
1992-12-01,219.5
1993-01-01,221.2
1993-02-01,223.0
1993-03-01,224.4
1993-04-01,226.3
1993-05-01,227.8
1993-06-01,229.2
1993-07-01,230.4
1993-08-01,231.4
1993-09-01,232.4
1993-10-01,233.7
1993-11-01,234.8
1993-12-01,235.7
1994-01-01,236.7
1994-02-01,237.6
1994-03-01,238.7
1994-04-01,239.6
1994-05-01,240.9
1994-06-01,242.2
1994-07-01,243.3
1994-08-01,244.5
1994-09-01,245.7
1994-10-01,246.8
1994-11-01,247.7
1994-12-01,249.0
1995-01-01,250.0
1995-02-01,250.9
1995-03-01,251.8
1995-04-01,252.8
1995-05-01,253.5
1995-06-01,254.2
1995-07-01,255.1
1995-08-01,256.8
1995-09-01,257.9
1995-10-01,258.8
1995-11-01,259.7
1995-12-01,260.4
1996-01-01,261.7
1996-02-01,262.5
1996-03-01,263.5
1996-04-01,264.4
1996-05-01,265.4
1996-06-01,266.7
1996-07-01,267.4
