DATE,VALUE
1978-11-01,5.7
1978-12-01,7.6
1979-01-01,9.2
1979-02-01,5.6
1979-03-01,3.9
1979-04-01,2.9
1979-05-01,5.8
1979-06-01,8.2
1979-07-01,10.7
1979-08-01,7.1
1979-09-01,10.4
1979-10-01,8.9
1979-11-01,3.2
1979-12-01,7.5
1980-01-01,9.5
1980-02-01,8.8
1980-03-01,5.0
1980-04-01,5.5
1980-05-01,5.6
1980-06-01,7.2
1980-07-01,5.7
1980-08-01,6.9
1980-09-01,11.3
1980-10-01,9.3
1980-11-01,3.9
1980-12-01,6.3
1981-01-01,5.3
1981-02-01,5.3
1981-03-01,7.6
1981-04-01,8.7
1981-05-01,8.8
1981-06-01,9.6
1981-07-01,7.6
1981-08-01,4.5
1981-09-01,7.9
1981-10-01,10.8
1981-11-01,6.5
1981-12-01,8.2
1982-01-01,12.1
1982-02-01,17.1
1982-03-01,12.1
1982-04-01,10.7
1982-05-01,12.0
1982-06-01,7.4
1982-07-01,5.9
1982-08-01,5.7
1982-09-01,9.8
1982-10-01,13.5
1982-11-01,4.9
1982-12-01,8.4
1983-01-01,13.5
1983-02-01,7.0
1983-03-01,10.3
1983-04-01,11.0
1983-05-01,9.1
1983-06-01,10.9
1983-07-01,19.0
1983-08-01,13.4
1983-09-01,15.6
1983-10-01,22.1
1983-11-01,4.7
1983-12-01,7.8
1984-01-01,16.5
1984-02-01,19.2
1984-03-01,14.5
1984-04-01,12.7
1984-05-01,10.0
1984-06-01,8.5
1984-07-01,9.0
1984-08-01,7.5
1984-09-01,14.1
1984-10-01,8.4
1984-11-01,7.5
1984-12-01,9.1
1985-01-01,14.9
1985-02-01,12.7
1985-03-01,9.2
1985-04-01,11.5
1985-05-01,17.8
1985-06-01,11.4
1985-07-01,20.0
1985-08-01,10.6
1985-09-01,13.4
1985-10-01,2.4
1985-11-01,4.8
1985-12-01,11.1
1986-01-01,20.5
1986-02-01,21.0
1986-03-01,12.4
1986-04-01,13.6
1986-05-01,18.7
1986-06-01,12.6
1986-07-01,13.2
1986-08-01,8.1
1986-09-01,14.6
1986-10-01,11.8
1986-11-01,11.9
1986-12-01,15.5
1987-01-01,23.8
1987-02-01,25.2
1987-03-01,13.6
1987-04-01,16.6
1987-05-01,27.4
1987-06-01,21.8
1987-07-01,23.3
1987-08-01,18.6
1987-09-01,21.3
1987-10-01,27.4
1987-11-01,22.6
1987-12-01,18.4
1988-01-01,20.8
1988-02-01,25.1
1988-03-01,18.7
1988-04-01,16.4
1988-05-01,27.1
1988-06-01,16.7
1988-07-01,18.6
1988-08-01,8.9
1988-09-01,20.4
1988-10-01,24.5
1988-11-01,12.8
1988-12-01,18.7
1989-01-01,21.0
1989-02-01,22.2
1989-03-01,14.3
1989-04-01,15.0
1989-05-01,31.0
1989-06-01,21.6
1989-07-01,19.6
1989-08-01,12.7
1989-09-01,19.4
1989-10-01,17.4
1989-11-01,11.2
1989-12-01,14.4
1990-01-01,18.8
1990-02-01,18.5
1990-03-01,13.1
1990-04-01,14.9
1990-05-01,21.8
1990-06-01,15.4
1990-07-01,11.9
1990-08-01,19.7
1990-09-01,25.9
1990-10-01,17.5
1990-11-01,15.4
1990-12-01,18.1
1991-01-01,24.5
1991-02-01,35.1
1991-03-01,23.3
1991-04-01,15.0
1991-05-01,16.2
1991-06-01,18.6
1991-07-01,17.1
1991-08-01,13.5
1991-09-01,21.7
1991-10-01,25.0
1991-11-01,24.2
1991-12-01,20.5
1992-01-01,27.7
1992-02-01,20.4
1992-03-01,15.7
1992-04-01,12.2
1992-05-01,15.6
1992-06-01,20.0
1992-07-01,15.0
1992-08-01,18.4
1992-09-01,23.0
1992-10-01,17.0
1992-11-01,11.9
1992-12-01,14.2
1993-01-01,26.2
1993-02-01,24.8
1993-03-01,13.1
1993-04-01,14.2
1993-05-01,16.9
1993-06-01,21.9
1993-07-01,21.6
1993-08-01,21.4
1993-09-01,24.5
1993-10-01,12.1
1993-11-01,9.9
1993-12-01,16.3
1994-01-01,25.7
1994-02-01,29.2
1994-03-01,18.7
1994-04-01,21.5
1994-05-01,26.7
1994-06-01,21.1
1994-07-01,11.3
1994-08-01,13.0
1994-09-01,18.3
1994-10-01,13.2
1994-11-01,11.3
1994-12-01,13.1
1995-01-01,21.0
1995-02-01,22.0
1995-03-01,9.9
1995-04-01,12.7
1995-05-01,19.8
1995-06-01,19.9
1995-07-01,28.4
1995-08-01,14.4
1995-09-01,17.8
1995-10-01,12.4
1995-11-01,8.2
1995-12-01,15.2
1996-01-01,17.0
1996-02-01,14.2
1996-03-01,10.4
1996-04-01,15.8
1996-05-01,12.9
1996-06-01,14.8
1996-07-01,17.6
1996-08-01,11.5
