DATE,VALUE
2010-12-01,100.0
2011-01-01,100.6
2011-02-01,101.5
2011-03-01,101.8
2011-04-01,102.9
2011-05-01,102.9
2011-06-01,102.1
2011-07-01,101.1
2011-08-01,100.7
2011-09-01,100.7
2011-10-01,100.7
2011-11-01,100.6
2011-12-01,100.5
2012-01-01,100.7
2012-02-01,100.6
2012-03-01,100.6
2012-04-01,100.9
2012-05-01,101.0
2012-06-01,100.8
2012-07-01,100.7
2012-08-01,100.5
2012-09-01,100.6
2012-10-01,100.7
2012-11-01,100.7
2012-12-01,100.8
2013-01-01,100.8
2013-02-01,100.9
2013-03-01,99.5
2013-04-01,97.5
2013-05-01,96.2
2013-06-01,96.2
2013-07-01,96.0
2013-08-01,96.1
2013-09-01,96.8
2013-10-01,97.5
2013-11-01,98.2
2013-12-01,98.2
