DATE,VALUE
1971-01-01,0.7129
1972-01-01,0.7732
1973-01-01,0.6964
1974-01-01,0.6806
1975-01-01,0.7408
1976-01-01,0.8707
1977-01-01,0.8697
1978-01-01,0.8695
1979-01-01,0.8424
1980-01-01,0.7796
1981-01-01,0.8787
1982-01-01,1.0876
1983-01-01,1.1146
1984-01-01,1.4761
1985-01-01,2.2344
1986-01-01,2.2919
1987-01-01,2.0385
1988-01-01,2.277
1989-01-01,2.6243
1990-01-01,2.5885
1991-01-01,2.7633
1992-01-01,2.8524
1993-01-01,3.2721
1994-01-01,3.5526
1995-01-01,3.6284
1996-01-01,4.3011
1997-01-01,4.6072
1998-01-01,5.5417
1999-01-01,6.1191
2000-01-01,6.9468
2001-01-01,8.6093
2002-01-01,10.5176
2003-01-01,7.555
2004-01-01,6.4402
2005-01-01,6.3606
2006-01-01,6.7668
2007-01-01,7.0477
2008-01-01,8.248
2009-01-01,8.4117
2010-01-01,7.3159
2011-01-01,7.251
2012-01-01,8.2014
2013-01-01,9.6436
2014-01-01,10.842
2015-01-01,12.7645
