DATE,VALUE
1947-01-01,23.8
1947-02-01,23.8
1947-03-01,23.8
1947-04-01,23.8
1947-05-01,23.8
1947-06-01,23.8
1947-07-01,24.0
1947-08-01,24.4
1947-09-01,24.9
1947-10-01,24.9
1947-11-01,24.9
1947-12-01,24.9
1948-01-01,25.2
1948-02-01,25.2
1948-03-01,25.2
1948-04-01,25.2
1948-05-01,24.6
1948-06-01,24.5
1948-07-01,24.5
1948-08-01,25.8
1948-09-01,25.8
1948-10-01,25.8
1948-11-01,25.8
1948-12-01,25.8
1949-01-01,25.8
1949-02-01,25.8
1949-03-01,25.8
1949-04-01,25.8
1949-05-01,25.8
1949-06-01,25.8
1949-07-01,25.8
1949-08-01,25.8
1949-09-01,25.8
1949-10-01,25.8
1949-11-01,25.8
1949-12-01,25.8
1950-01-01,25.8
1950-02-01,27.0
1950-03-01,27.0
1950-04-01,27.0
1950-05-01,27.0
1950-06-01,27.0
1950-07-01,27.0
1950-08-01,27.0
1950-09-01,27.0
1950-10-01,29.6
1950-11-01,29.6
1950-12-01,30.7
1951-01-01,31.1
1951-02-01,31.1
1951-03-01,31.1
1951-04-01,31.1
1951-05-01,31.1
1951-06-01,31.1
1951-07-01,30.2
1951-08-01,29.6
1951-09-01,29.6
1951-10-01,29.6
1951-11-01,29.6
1951-12-01,29.6
1952-01-01,29.6
1952-02-01,29.6
1952-03-01,29.6
1952-04-01,29.6
1952-05-01,29.6
1952-06-01,29.6
1952-07-01,29.6
1952-08-01,29.6
1952-09-01,29.6
1952-10-01,29.6
1952-11-01,29.6
1952-12-01,29.6
1953-01-01,29.6
1953-02-01,29.6
1953-03-01,29.6
1953-04-01,29.6
1953-05-01,29.6
1953-06-01,30.0
1953-07-01,32.0
1953-08-01,32.0
1953-09-01,32.0
1953-10-01,32.0
1953-11-01,32.0
1953-12-01,32.0
1954-01-01,32.0
1954-02-01,32.0
1954-03-01,32.0
1954-04-01,32.0
1954-05-01,32.0
1954-06-01,32.0
1954-07-01,32.0
1954-08-01,33.0
1954-09-01,33.3
1954-10-01,33.3
1954-11-01,33.3
1954-12-01,33.3
1955-01-01,33.3
1955-02-01,33.3
1955-03-01,33.3
1955-04-01,33.5
1955-05-01,33.5
1955-06-01,33.5
1955-07-01,36.2
1955-08-01,36.8
1955-09-01,36.8
1955-10-01,36.7
1955-11-01,36.7
1955-12-01,36.7
1956-01-01,36.7
1956-02-01,36.7
1956-03-01,36.7
1956-04-01,36.7
1956-05-01,35.4
1956-06-01,35.4
1956-07-01,35.1
1956-08-01,37.1
1956-09-01,37.3
1956-10-01,37.3
1956-11-01,37.3
1956-12-01,37.3
1957-01-01,35.0
1957-02-01,34.7
1957-03-01,34.7
1957-04-01,34.7
1957-05-01,34.7
1957-06-01,34.7
1957-07-01,35.8
1957-08-01,35.8
1957-09-01,35.8
1957-10-01,35.8
1957-11-01,35.8
1957-12-01,35.8
1958-01-01,35.8
1958-02-01,35.8
1958-03-01,35.8
1958-04-01,35.8
1958-05-01,35.8
1958-06-01,35.8
1958-07-01,35.7
1958-08-01,35.7
1958-09-01,35.2
1958-10-01,35.2
1958-11-01,35.2
1958-12-01,35.2
1959-01-01,35.2
1959-02-01,35.2
1959-03-01,33.7
1959-04-01,33.7
1959-05-01,33.7
1959-06-01,33.7
1959-07-01,33.7
1959-08-01,33.7
1959-09-01,33.7
1959-10-01,33.7
1959-11-01,33.7
1959-12-01,33.7
1960-01-01,33.8
1960-02-01,33.8
1960-03-01,33.9
1960-04-01,33.3
1960-05-01,33.0
1960-06-01,33.1
1960-07-01,33.1
1960-08-01,33.1
1960-09-01,33.1
1960-10-01,33.1
1960-11-01,33.1
1960-12-01,33.2
1961-01-01,33.2
1961-02-01,33.2
1961-03-01,33.2
1961-04-01,33.2
1961-05-01,33.2
1961-06-01,33.2
1961-07-01,33.2
1961-08-01,33.2
1961-09-01,33.2
1961-10-01,33.0
1961-11-01,33.0
1961-12-01,33.3
1962-01-01,33.2
1962-02-01,33.2
1962-03-01,33.2
1962-04-01,33.1
1962-05-01,33.1
1962-06-01,32.9
1962-07-01,32.9
1962-08-01,32.9
1962-09-01,32.9
1962-10-01,32.8
1962-11-01,32.8
1962-12-01,32.8
1963-01-01,32.8
1963-02-01,32.8
1963-03-01,32.7
1963-04-01,31.8
1963-05-01,31.8
1963-06-01,32.0
1963-07-01,32.0
1963-08-01,32.0
1963-09-01,32.0
1963-10-01,32.0
1963-11-01,32.2
1963-12-01,32.2
1964-01-01,32.4
1964-02-01,32.5
1964-03-01,32.2
1964-04-01,32.2
1964-05-01,32.2
1964-06-01,32.3
1964-07-01,32.3
1964-08-01,32.3
1964-09-01,32.4
1964-10-01,32.4
1964-11-01,32.4
1964-12-01,32.4
1965-01-01,32.3
1965-02-01,32.3
1965-03-01,32.1
1965-04-01,32.1
1965-05-01,32.1
1965-06-01,32.0
1965-07-01,32.0
1965-08-01,32.1
1965-09-01,32.1
1965-10-01,32.1
1965-11-01,32.2
1965-12-01,32.2
1966-01-01,32.2
1966-02-01,32.2
1966-03-01,32.2
1966-04-01,32.8
1966-05-01,33.0
1966-06-01,33.0
1966-07-01,33.0
1966-08-01,33.1
