DATE,VALUE
2007-01-01,497.95
2007-02-01,503.88
2007-03-01,474.46
2007-04-01,547.28
2007-05-01,482.58
2007-06-01,520.59
2007-07-01,523.56
2007-08-01,480.28
2007-09-01,511.83
2007-10-01,515.87
2007-11-01,556.98
2007-12-01,584.09
2008-01-01,589.93
2008-02-01,601.26
2008-03-01,604.82
2008-04-01,605.35
2008-05-01,670.46
2008-06-01,692.03
2008-07-01,642.6
2008-08-01,686.05
2008-09-01,626.09
2008-10-01,630.37
2008-11-01,625.17
2008-12-01,607.99
2009-01-01,593.78
2009-02-01,617.22
2009-03-01,605.71
2009-04-01,600.82
2009-05-01,596.78
2009-06-01,597.46
2009-07-01,580.28
2009-08-01,594.81
2009-09-01,579.12
2009-10-01,587.62
2009-11-01,583.6
2009-12-01,589.91
2010-01-01,604.3
2010-02-01,599.72
2010-03-01,592.83
2010-04-01,583.28
2010-05-01,597.31
2010-06-01,604.37
2010-07-01,606.13
2010-08-01,615.33
2010-09-01,598.98
2010-10-01,607.1
2010-11-01,604.01
2010-12-01,578.11
2011-01-01,597.52
2011-02-01,614.07
2011-03-01,613.12
2011-04-01,639.25
2011-05-01,686.21
2011-06-01,760.27
2011-07-01,747.19
2011-08-01,737.86
2011-09-01,763.46
2011-10-01,810.46
2011-11-01,803.52
2011-12-01,789.14
2012-01-01,770.77
2012-02-01,777.58
2012-03-01,770.7
2012-04-01,785.38
2012-05-01,757.71
2012-06-01,762.12
2012-07-01,726.18
2012-08-01,709.45
2012-09-01,730.43
2012-10-01,689.87
2012-11-01,702.46
2012-12-01,698.35
2013-01-01,710.7
2013-02-01,700.75
2013-03-01,695.3
2013-04-01,682.34
2013-05-01,677.24
2013-06-01,701.68
2013-07-01,683.35
2013-08-01,679.36
2013-09-01,675.15
2013-10-01,671.35
2013-11-01,686.48
2013-12-01,668.3
2014-01-01,648.58
2014-02-01,663.35
2014-03-01,669.38
2014-04-01,622.61
2014-05-01,619.42
2014-06-01,616.56
2014-07-01,635.91
2014-08-01,665.51
2014-09-01,638.85
2014-10-01,653.73
2014-11-01,705.18
2014-12-01,722.1
2015-01-01,736.64
2015-02-01,717.77
2015-03-01,727.58
2015-04-01,717.91
2015-05-01,733.31
2015-06-01,724.89
2015-07-01,723.82
2015-08-01,755.99
2015-09-01,719.93
2015-10-01,740.48
2015-11-01,739.26
2015-12-01,739.99
2016-01-01,710.41
2016-02-01,701.84
2016-03-01,719.85
2016-04-01,752.42
